;2025;2024;2023;2022;2021;2020;2019;2018
D.Y;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;
P/L;113.57;572.36;-71.46;-14.0;-110.25;-98.36;;
PEG Ratio;-0,19;-;-;-;-;-;-;-
P/VP;10,32;9,02;5,86;2,83;11,06;9,65;-;-
EV/EBITDA;114,23;90,47;-1.427,69;-15,14;-163,27;-133,50;1,21;2,42
EV/EBIT;525,07;415,83;-66,84;-11,14;-106,54;-95,89;1,15;2,32
P/EBITDA;121,15;98,19;-1.595,01;-18,56;-176,09;-148,19;-;-
P/EBIT;556,89;451,29;-74,67;-13,66;-114,91;-106,44;-;-
VPA;22,03;18,59;16,88;17,25;13,47;14,80;-;-
P/Ativo;5,45;5,48;3,68;1,95;7,58;7,14;-;-
LPA;2.0;0.29;-1.38;-3.49;-1.35;-1.45;;
P/SR;7,76;6,57;4,62;2,90;10,56;15,71;-;-
P/Cap. Giro;18,28;23,88;18,23;8,78;18,39;11,02;-;-
P/Ativo Circ. Liq.;-13,11;-12,90;-7,61;-3,77;-22,99;-54,24;-;-
Dív. líquida/PL;-0,59;-0,71;-0,61;-0,52;-0,81;-0,96;-;-
Dív. líquida/EBITDA;-6,92;-7,71;167,32;3,42;12,82;14,69;1,21;2,42
Dív. líquida/EBIT;-31,82;-35,46;7,83;2,52;8,37;10,55;1,15;2,32
PL/Ativos;0,53;0,61;0,63;0,69;0,69;0,74;-0,62;-0,64
Passivos/Ativos;0,47;0,39;0,37;0,31;0,31;0,26;0,32;0,20
Liq. corrente;2,04;1,66;1,64;1,86;2,59;3,94;2,61;5,17
M. Bruta;11,24%;48,31%;46,86%;45,50%;52,17%;52,60%;40,90%;21,65%
M. EBITDA;6,40%;6,69%;-0,29%;-15,65%;-5,99%;-10,60%;-71,64%;-66,67%
M. EBIT;1,39%;1,45%;-6,18%;-21,25%;-9,19%;-14,76%;-75,25%;-69,76%
M. Líquida;6,83%;1,15%;-6,46%;-20,74%;-9,57%;-15,97%;-75,37%;-70,10%
ROE;9,09%;1,58%;-8,20%;-20,21%;-10,03%;-9,81%;-61,65%;-46,79%
ROA;4,80%;0,96%;-5,15%;-13,94%;-6,87%;-7,26%;-38,51%;-29,87%
ROIC;1,15%;1,50%;-8,30%;-21,17%;-9,73%;-8,47%;61,65%;46,56%
Giro ativos;0,70;0,83;0,80;0,67;0,72;0,45;0,51;0,43
CAGR Receitas 5 anos;64,69%;97,00%;-%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%;-%
