;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;449.18;266.05;827.43;-467.71;;;-668.85;;
PEG Ratio;-4,50;-;-;-;-;-;-;-;-
P/VP;13,94;18,01;19,84;16,63;53,60;31,31;14,29;-;-
EV/EBITDA;332,49;171,63;342,45;453,63;872,67;463,92;-4.411,58;22,96;-58,73
EV/EBIT;793,35;219,47;576,31;-1.036,22;20.910,47;3.535,87;-516,51;4,86;20,31
P/EBITDA;355,93;181,18;358,88;476,92;885,66;478,97;-4.739,81;-;-
P/EBIT;849,28;231,68;603,97;-1.089,41;21.221,87;3.650,53;-554,94;-;-
VPA;9,81;7,93;6,12;4,42;3,32;3,14;2,64;-;-
P/Ativo;7,92;8,45;10,21;7,81;23,44;15,86;10,77;-;-
LPA;0.3;0.54;0.15;-0.16;-0.07;-0.08;-0.06;;
P/SR;14,93;18,21;18,88;14,01;54,25;49,68;30,81;-;-
P/Cap. Giro;13,63;16,04;18,48;14,81;41,58;21,11;15,88;-;-
P/Ativo Circ. Liq.;-39,49;-55,92;-53,02;-35,51;-109,47;-174,08;-83,34;-;-
Dív. líquida/PL;-0,92;-0,95;-0,91;-0,81;-0,79;-0,98;-0,99;-;-
Dív. líquida/EBITDA;-23,44;-9,55;-16,44;-23,29;-13,00;-15,04;328,23;22,96;-58,73
Dív. líquida/EBIT;-55,92;-12,21;-27,66;53,19;-311,39;-114,66;38,43;4,86;20,31
PL/Ativos;0,57;0,47;0,51;0,47;0,44;0,51;0,75;-0,42;-0,60
Passivos/Ativos;0,43;0,53;0,49;0,53;0,56;0,49;0,25;1,42;0,49
Liq. corrente;3,66;2,64;3,17;3,09;3,54;5,77;4,51;1,09;1,75
M. Bruta;79,94%;80,79%;80,74%;79,30%;77,23%;78,43%;75,48%;76,51%;76,76%
M. EBITDA;4,20%;10,05%;5,26%;2,94%;6,13%;10,37%;-0,65%;-1,18%;1,01%
M. EBIT;1,76%;7,86%;3,13%;-1,29%;0,26%;1,36%;-5,55%;-5,57%;-2,93%
M. Líquida;3,32%;6,85%;2,28%;-2,99%;-2,02%;-4,07%;-4,61%;-5,43%;-2,55%
ROE;3,10%;6,77%;2,40%;-3,56%;-1,99%;-2,56%;-2,14%;-14,15%;-3,39%
ROA;1,76%;3,18%;1,23%;-1,67%;-0,87%;-1,30%;-1,61%;-5,99%;-2,02%
ROIC;0,81%;4,41%;1,98%;-1,56%;0,02%;0,38%;-2,67%;15,20%;4,51%
Giro ativos;0,53;0,46;0,54;0,56;0,43;0,32;0,35;1,10;0,79
CAGR Receitas 5 anos;49,22%;60,78%;75,45%;-%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%;-%;-%
