;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,69%;1,42%;1,33%;1,05%;1,14%;1,13%;1,75%;1,84%;1,53%
Div;3.24;6.02;5.32;4.5;3.91;3.04;3.03;2.74;2.39
P/L;24.16;16.25;11.02;17.87;17.72;30.65;16.69;20.07;23.39
PEG Ratio;-0,78;-;-;-;-;-;-;-;-
P/VP;5,04;5,05;5,14;6,29;5,73;6,51;4,75;4,21;5,28
EV/EBITDA;40,05;11,73;9,56;14,38;13,65;15,09;10,57;11,86;14,00
EV/EBIT;76,66;13,71;10,80;17,06;16,91;21,31;14,42;16,19;19,92
P/EBITDA;27,69;7,87;6,41;10,54;9,93;11,63;7,17;6,60;8,75
P/EBIT;52,99;9,19;7,24;12,50;12,30;16,43;9,77;9,01;12,46
VPA;93,09;83,85;77,73;68,19;59,80;41,31;36,44;35,43;29,63
P/Ativo;1,18;1,08;1,08;1,42;1,26;1,12;0,74;0,68;0,77
LPA;19.42;26.07;36.27;24.0;19.35;8.78;10.38;7.43;6.69
P/SR;2,80;2,23;1,83;2,42;2,40;2,37;1,38;1,27;1,70
P/Cap. Giro;3,00;2,92;3,08;4,00;3,35;2,90;2,10;2,11;2,00
P/Ativo Circ. Liq.;-4,33;-3,74;-4,29;-5,19;-4,37;-3,75;-2,44;-2,19;-2,86
Dív. líquida/PL;2,25;2,48;2,52;2,29;2,15;1,93;2,26;3,35;3,17
Dív. líquida/EBITDA;12,37;3,87;3,15;3,84;3,73;3,45;3,41;5,26;5,25
Dív. líquida/EBIT;23,67;4,52;3,56;4,55;4,62;4,88;4,64;7,18;7,47
PL/Ativos;0,23;0,21;0,21;0,23;0,22;0,17;0,16;0,16;0,15
Passivos/Ativos;0,77;0,79;0,79;0,77;0,78;0,83;0,84;0,84;0,85
Liq. corrente;2,16;2,07;1,87;1,95;2,11;2,24;2,04;1,87;2,10
M. Bruta;9,82%;40,49%;38,43%;32,79%;33,86%;33,38%;31,75%;31,55%;33,20%
M. EBITDA;10,11%;28,37%;28,53%;22,98%;24,18%;20,39%;19,29%;19,28%;19,40%
M. EBIT;5,28%;24,27%;25,26%;19,38%;19,52%;14,43%;14,15%;14,12%;13,63%
M. Líquida;11,59%;13,73%;16,60%;13,56%;13,54%;7,74%;8,29%;6,34%;7,26%
ROE;20,86%;31,09%;46,67%;35,19%;32,35%;21,25%;28,49%;20,98%;22,59%
ROA;4,87%;6,62%;9,77%;7,92%;7,09%;3,66%;4,46%;3,38%;3,28%
ROIC;1,25%;11,88%;14,79%;11,34%;10,38%;8,86%;11,29%;6,63%;6,21%
Giro ativos;0,42;0,48;0,59;0,58;0,52;0,47;0,54;0,53;0,45
CAGR Receitas 5 anos;5,67%;10,39%;12,07%;10,57%;4,25%;1,71%;-0,23%;-3,83%;-3,60%
CAGR Lucros 5 anos;16,89%;33,83%;26,99%;31,37%;7,24%;0,57%;-7,71%;-6,77%;-11,46%
