;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;15.8;40.58;33.17;139.68;26.08;29.17;17.87;32.57;449.2
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;6,07;14,63;9,71;41,02;6,91;7,06;4,52;3,96;2,69
EV/EBITDA;10,14;28,16;22,46;101,91;16,20;-;11,01;12,15;43,23
EV/EBIT;10,73;29,87;24,14;109,90;17,52;21,50;12,49;14,77;6.924,24
P/EBITDA;11,58;29,60;23,83;103,29;18,18;-;12,48;13,61;48,09
P/EBIT;12,24;31,40;25,61;111,39;19,66;23,28;14,16;16,54;7.702,41
VPA;17,24;13,89;11,47;9,73;53,01;40,60;37,36;32,30;29,86
P/Ativo;4,28;9,83;6,71;27,07;4,60;4,56;3,31;2,95;2,15
LPA;6.63;5.0;3.36;2.86;14.04;9.83;9.45;3.93;0.18
P/SR;3,06;7,19;4,73;20,04;3,92;3,78;2,34;1,96;1,43
P/Cap. Giro;7,30;17,88;12,14;52,15;8,44;9,02;5,59;5,16;3,88
P/Ativo Circ. Liq.;-21,51;-44,54;-26,54;-108,82;-19,31;-14,10;-14,24;-10,54;-6,91
Dív. líquida/PL;-0,75;-0,71;-0,56;-0,55;-0,75;-0,54;-0,53;-0,42;-0,27
Dív. líquida/EBITDA;-1,43;-1,44;-1,36;-1,38;-1,98;-;-1,47;-1,45;-4,86
Dív. líquida/EBIT;-1,52;-1,53;-1,47;-1,49;-2,15;-1,79;-1,67;-1,77;-778,17
PL/Ativos;0,70;0,67;0,69;0,66;0,67;0,65;0,73;0,74;0,80
Passivos/Ativos;0,30;0,33;0,31;0,34;0,33;0,35;0,27;0,26;0,20
Liq. corrente;3,72;3,39;3,84;3,23;3,52;3,97;4,37;4,81;5,16
M. Bruta;57,88%;55,63%;50,32%;51,03%;53,98%;51,75%;51,49%;48,95%;46,66%
M. EBITDA;26,45%;24,28%;19,84%;19,40%;21,56%;-%;18,74%;14,39%;2,98%
M. EBIT;25,01%;22,89%;18,46%;17,99%;19,94%;16,22%;16,51%;11,84%;0,02%
M. Líquida;19,38%;17,71%;14,25%;14,35%;15,03%;12,95%;13,08%;6,01%;0,32%
ROE;38,44%;36,04%;29,27%;29,37%;26,49%;24,22%;25,29%;12,16%;0,60%
ROA;27,06%;24,22%;20,22%;19,38%;17,65%;15,64%;18,52%;9,05%;0,48%
ROIC;38,58%;36,16%;29,46%;29,51%;26,91%;24,01%;24,98%;12,23%;-1,25%
Giro ativos;1,40;1,37;1,42;1,35;1,17;1,21;1,42;1,51;1,50
CAGR Receitas 5 anos;16,24%;13,77%;11,97%;6,30%;3,26%;46,96%;4,10%;4,82%;6,37%
CAGR Lucros 5 anos;23,51%;35,20%;139,71%;25,63%;11,29%;-%;-4,72%;-46,40%;-9,54%
