;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,14%;0,47%;0,45%;0,38%;0,26%;0,32%;0,44%;0,62%;0,60%
Div;;1.08;1.04;1.01;0.86;0.71;0.67;0.64;0.56
P/L;50.29;42.34;36.05;27.21;37.52;44.96;37.59;27.27;25.91
PEG Ratio;-2,18;-;-;-;-;-;-;-;-
P/VP;3,11;-;3,20;3,86;5,21;3,97;3,65;2,56;2,45
EV/EBITDA;-;33,93;24,46;21,83;25,32;24,70;24,40;18,99;19,59
EV/EBIT;-;33,94;34,44;28,16;32,52;36,26;32,91;26,21;27,75
P/EBITDA;67,37;33,93;22,79;20,39;23,38;22,54;24,01;16,90;16,99
P/EBIT;-;33,94;32,08;26,30;30,02;33,08;32,37;23,32;24,06
VPA;-;-;72,36;68,77;63,17;55,98;42,04;40,25;37,89
P/Ativo;1,99;-;2,02;2,29;2,83;2,07;1,78;1,51;1,38
LPA;;5.42;6.42;9.75;8.77;4.94;4.08;3.78;3.58
P/SR;6,91;6,91;7,16;7,26;7,99;7,08;6,17;4,24;4,16
P/Cap. Giro;38,67;-;30,20;25,79;67,06;24,66;5,35;32,09;31,38
P/Ativo Circ. Liq.;-2,30;-;-2,42;-2,82;-3,29;-2,53;-3,03;-1,77;-1,62
Dív. líquida/PL;-;-;0,23;0,27;0,43;0,38;0,06;0,32;0,38
Dív. líquida/EBITDA;-;-;1,67;1,44;1,95;2,17;0,39;2,09;2,60
Dív. líquida/EBIT;-;-;2,35;1,86;2,50;3,18;0,53;2,89;3,69
PL/Ativos;-;-;0,63;0,59;0,54;0,52;0,49;0,59;0,57
Passivos/Ativos;-;-;0,37;0,41;0,46;0,48;0,51;0,41;0,43
Liq. corrente;-;-;1,68;1,89;1,43;1,86;5,19;1,47;1,43
M. Bruta;-%;59,50%;58,74%;60,76%;60,95%;55,98%;55,74%;55,75%;55,23%
M. EBITDA;-%;20,38%;31,41%;35,59%;34,17%;31,42%;25,70%;25,08%;24,49%
M. EBIT;-%;20,37%;22,31%;27,59%;26,61%;21,41%;19,06%;18,18%;17,29%
M. Líquida;-%;16,33%;19,85%;26,66%;21,28%;15,75%;16,41%;15,55%;16,06%
ROE;-%;-%;8,87%;14,18%;13,88%;8,83%;9,71%;9,40%;9,45%
ROA;-%;-%;5,61%;8,42%;7,54%;4,61%;4,74%;5,54%;5,34%
ROIC;-%;-%;6,27%;9,36%;9,78%;6,43%;4,89%;6,70%;6,27%
Giro ativos;-;-;0,28;0,32;0,35;0,29;0,29;0,36;0,33
CAGR Receitas 5 anos;-%;6,98%;11,42%;11,77%;9,07%;6,84%;-1,39%;-3,20%;0,97%
CAGR Lucros 5 anos;-%;12,44%;23,67%;20,30%;1,66%;2,97%;-0,33%;0,82%;3,29%
