;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,44%;0,85%;0,33%;-%;-%;-%;1,22%;1,57%;1,51%
Div;0.5;0.95;0.3;;;;1.76;1.72;1.62
P/L;16.43;41.34;70.34;50.42;138.28;-114.53;23.58;12.96;18.05
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;1,85;2,04;1,67;1,64;2,97;3,72;2,78;3,09;3,60
EV/EBITDA;12,88;17,76;17,44;-;38,00;43,44;19,81;9,89;10,70
EV/EBIT;18,04;27,79;33,09;29,47;102,64;-187,03;27,56;11,90;12,86
P/EBITDA;10,93;14,87;14,59;-;33,99;39,25;17,60;9,16;9,79
P/EBIT;15,31;23,28;27,70;24,38;91,80;-169,00;24,48;11,03;11,76
VPA;61,54;54,55;54,13;52,88;52,22;48,75;52,09;35,49;29,86
P/Ativo;1,03;1,05;0,81;0,78;1,35;1,63;1,34;1,66;1,69
LPA;6.95;2.69;1.28;1.72;1.12;-1.58;6.13;8.46;5.96
P/SR;2,16;2,25;1,86;1,95;4,09;5,02;3,75;2,75;2,94
P/Cap. Giro;-20,59;-21,97;101,97;220,66;106,92;38,04;-81,03;-157,71;-43,73
P/Ativo Circ. Liq.;-1,18;-1,20;-0,96;-0,92;-1,62;-1,97;-1,57;-2,00;-2,03
Dív. líquida/PL;0,33;0,40;0,32;0,34;0,35;0,40;0,35;0,24;0,34
Dív. líquida/EBITDA;1,95;2,88;2,84;-;4,01;4,19;2,21;0,73;0,91
Dív. líquida/EBIT;2,73;4,51;5,39;5,09;10,84;-18,03;3,07;0,87;1,10
PL/Ativos;0,56;0,51;0,48;0,47;0,46;0,44;0,48;0,54;0,47
Passivos/Ativos;0,44;0,49;0,47;0,53;0,54;0,56;0,52;0,46;0,53
Liq. corrente;0,71;0,73;1,05;1,02;1,08;1,32;0,90;0,94;0,81
M. Bruta;37,76%;35,75%;33,41%;34,43%;33,06%;32,89%;39,57%;44,94%;45,04%
M. EBITDA;19,73%;15,13%;12,76%;-%;12,04%;12,78%;21,28%;29,97%;30,03%
M. EBIT;14,09%;9,66%;6,72%;8,01%;4,46%;-2,97%;15,30%;24,91%;24,98%
M. Líquida;13,14%;5,44%;2,65%;3,87%;2,96%;-4,38%;15,88%;21,20%;16,29%
ROE;11,29%;4,94%;2,37%;3,26%;2,14%;-3,24%;11,77%;23,85%;19,95%
ROA;6,28%;2,53%;1,15%;1,54%;0,98%;-1,42%;5,70%;12,78%;9,37%
ROIC;7,82%;4,80%;3,16%;3,41%;2,11%;-1,87%;5,77%;18,80%;14,59%
Giro ativos;0,48;0,47;0,43;0,40;0,33;0,32;0,36;0,60;0,58
CAGR Receitas 5 anos;8,98%;10,02%;3,92%;3,92%;4,50%;7,36%;5,70%;5,45%;6,35%
CAGR Lucros 5 anos;-16,97%;-23,49%;-26,64%;-26,64%;-%;8,06%;15,47%;9,59%;14,33%
