;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,35%;2,75%;3,63%;4,87%;2,62%;3,21%;3,61%;3,79%;3,27%
Div;3.66;4.88;4.88;4.89;4.63;4.48;4.32;4.03;3.71
P/L;39.34;106.26;46.18;86.64;29.92;148.42;50.69;87.94;135.14
PEG Ratio;0,18;-;-;-;-;-;-;-;-
P/VP;2,32;2,80;2,19;1,66;2,79;2,21;2,53;2,23;2,26
EV/EBITDA;30,00;23,59;17,64;18,67;17,44;-;15,82;17,55;23,46
EV/EBIT;206,98;59,81;38,93;59,33;30,89;58,85;35,40;52,36;65,12
P/EBITDA;23,22;19,27;12,72;11,84;13,72;-;11,22;11,63;17,02
P/EBIT;160,16;48,85;28,08;37,64;24,30;43,69;25,11;34,71;47,24
VPA;67,03;63,39;61,35;60,39;63,30;63,24;47,33;47,79;50,37
P/Ativo;1,10;1,32;0,95;0,70;1,38;1,08;1,08;0,92;1,09
LPA;3.96;1.67;2.91;1.16;5.91;0.94;2.36;1.21;0.84
P/SR;9,04;10,75;7,66;6,22;11,36;10,01;7,79;7,21;9,52
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-1,10;-1,32;-0,95;-0,70;-1,38;-1,08;-1,08;-0,92;-1,09
Dív. líquida/PL;0,68;0,63;0,85;0,96;0,76;0,77;1,04;1,13;0,86
Dív. líquida/EBITDA;6,79;4,32;4,92;6,83;3,72;-;4,60;5,92;6,44
Dív. líquida/EBIT;46,82;10,95;10,85;21,69;6,59;15,17;10,29;17,66;17,87
PL/Ativos;0,47;0,47;0,43;0,42;0,50;0,49;0,43;0,41;0,48
Passivos/Ativos;0,50;0,50;0,54;0,54;0,50;0,51;0,57;0,58;0,51
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;13,07%;54,65%;52,56%;57,00%;59,84%;61,21%;62,83%;63,96%;63,60%
M. EBITDA;38,93%;55,77%;60,17%;52,54%;82,79%;-%;69,42%;62,04%;55,94%
M. EBIT;5,64%;22,00%;27,27%;16,53%;46,76%;22,92%;31,02%;20,79%;20,15%
M. Líquida;22,98%;10,11%;16,58%;7,18%;37,98%;6,75%;15,36%;8,20%;7,04%
ROE;5,90%;2,63%;4,75%;1,92%;9,34%;1,49%;4,99%;2,54%;1,67%
ROA;2,79%;1,24%;2,06%;0,81%;4,62%;0,73%;2,14%;1,05%;0,81%
ROIC;0,68%;3,02%;3,84%;2,15%;6,28%;2,73%;4,87%;2,98%;2,54%
Giro ativos;0,12;0,12;0,12;0,11;0,12;0,11;0,14;0,13;0,11
CAGR Receitas 5 anos;11,60%;12,45%;13,80%;15,63%;17,23%;14,70%;15,50%;13,96%;15,05%
CAGR Lucros 5 anos;0,77%;23,43%;8,75%;32,02%;10,40%;34,30%;4,05%;7,66%;26,63%
