;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;-8.1;-16.14;19.16;23.56;23.56;30.73;-13.99;12.54;28.39
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;6.170,48;2.203,58;3,54;4,05;4,34;4,06;3,94;2,99;4,72
EV/EBITDA;-;-;13,69;13,30;12,97;12,75;10,59;9,58;12,89
EV/EBIT;-;6,69;16,07;18,62;17,71;22,49;-27,78;12,58;18,12
P/EBITDA;-;-;12,56;12,34;12,26;11,41;9,03;8,19;10,61
P/EBIT;16,79;9,08;14,75;17,27;16,75;20,13;-23,69;10,75;14,92
VPA;-;0,03;40,17;34,90;32,39;26,59;23,84;30,18;22,73
P/Ativo;1.316,37;731,72;1,34;1,44;1,53;1,30;1,65;1,32;1,62
LPA;;-4.64;7.41;6.0;5.97;3.52;-6.72;7.2;3.78
P/SR;1,40;0,96;2,01;1,19;1,24;1,08;0,98;0,97;1,23
P/Cap. Giro;47.079,34;11.222,14;14,45;21,84;23,94;35,15;10,13;12,52;13,89
P/Ativo Circ. Liq.;-2.573,45;-1.014,11;-1,86;-1,94;-2,02;-1,66;-2,42;-1,83;-2,16
Dív. líquida/PL;-;-580,95;0,32;0,32;0,25;0,48;0,68;0,51;1,01
Dív. líquida/EBITDA;-;-;1,13;0,96;0,70;1,34;1,56;1,40;2,27
Dív. líquida/EBIT;-;-2,39;1,32;1,34;0,96;2,36;-4,09;1,83;3,20
PL/Ativos;-;0,33;0,38;0,36;0,35;0,32;0,42;0,44;0,34
Passivos/Ativos;-;0,67;0,62;0,64;0,65;0,68;0,58;0,56;0,66
Liq. corrente;-;1,31;1,51;1,34;1,35;1,20;2,05;1,60;1,87
M. Bruta;-%;35,87%;37,51%;29,40%;30,53%;29,82%;30,44%;31,57%;30,86%
M. EBITDA;-%;-%;15,99%;9,63%;10,10%;9,43%;10,80%;11,80%;11,57%
M. EBIT;-%;10,57%;13,62%;6,88%;7,40%;5,35%;-4,12%;8,99%;8,23%
M. Líquida;-%;-5,95%;10,48%;5,04%;5,26%;3,50%;-6,97%;7,71%;4,33%
ROE;-%;-13.652,21%;18,46%;17,20%;18,42%;13,22%;-28,19%;23,87%;16,63%
ROA;-%;-4.533,34%;7,02%;6,11%;6,48%;4,22%;-11,78%;10,50%;5,71%
ROIC;-%;12.834,97%;13,37%;13,53%;14,17%;10,13%;-12,33%;16,65%;10,86%
Giro ativos;-;761,96;0,67;1,21;1,23;1,21;1,69;1,36;1,32
CAGR Receitas 5 anos;-%;-7,08%;4,90%;10,48%;22,38%;23,83%;24,64%;25,59%;21,38%
CAGR Lucros 5 anos;-%;-1,18%;8,18%;36,57%;6,66%;-%;22,58%;12,91%;-6,60%
