;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,89%;7,05%;10,71%;14,65%;4,89%;5,17%;4,86%;5,74%;5,06%
Div;0.33;1.44;2.14;2.12;0.91;0.91;0.92;0.92;0.91
P/L;-288.72;58.5;35.6;15.89;50.39;57.07;48.63;53.18;86.08
PEG Ratio;2,57;-;-;-;-;-;-;-;-
P/VP;1,47;1,69;1,71;1,19;1,49;1,40;1,48;1,23;1,30
EV/EBITDA;19,12;14,79;14,83;10,78;19,53;18,09;17,52;15,26;21,42
EV/EBIT;299,88;41,02;34,04;21,00;41,30;40,49;36,53;35,63;54,22
P/EBITDA;10,62;9,23;9,16;5,97;13,47;13,03;12,02;10,05;14,69
P/EBIT;166,52;25,61;21,03;11,63;28,49;29,17;25,05;23,47;37,19
VPA;10,93;12,01;11,61;12,17;12,62;12,70;12,81;13,07;13,81
P/Ativo;0,57;0,71;0,69;0,50;0,82;0,84;0,82;0,70;0,77
LPA;-0.06;0.35;0.56;0.91;0.37;0.31;0.39;0.3;0.21
P/SR;4,02;5,34;5,02;3,88;9,68;8,85;8,81;7,10;9,61
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,57;-0,71;-0,69;-0,50;-0,82;-0,84;-0,82;-0,70;-0,77
Dív. líquida/PL;1,18;1,02;1,06;0,96;0,67;0,54;0,68;0,64;0,60
Dív. líquida/EBITDA;8,50;5,56;5,67;4,81;6,06;5,06;5,50;5,21;6,73
Dív. líquida/EBIT;133,36;15,41;13,02;9,37;12,81;11,32;11,47;12,17;17,03
PL/Ativos;0,39;0,42;0,40;0,42;0,55;0,60;0,55;0,57;0,59
Passivos/Ativos;0,61;0,58;0,59;0,57;0,45;0,40;0,44;0,42;0,40
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;24,46%;100,00%;100,00%;100,00%;68,55%;69,34%;69,13%;70,17%;71,04%
M. EBITDA;37,89%;57,82%;54,77%;65,03%;71,88%;67,94%;73,32%;70,65%;65,43%
M. EBIT;2,42%;20,85%;23,86%;33,37%;33,99%;30,35%;35,17%;30,27%;25,84%
M. Líquida;-1,39%;9,13%;14,09%;24,43%;19,22%;15,51%;18,12%;13,36%;11,17%
ROE;-0,51%;2,89%;4,79%;7,48%;2,96%;2,46%;3,04%;2,31%;1,51%
ROA;-0,20%;1,22%;1,94%;3,16%;1,62%;1,47%;1,69%;1,32%;0,90%
ROIC;0,34%;3,21%;3,82%;5,14%;3,13%;3,11%;3,52%;3,18%;2,19%
Giro ativos;0,14;0,13;0,14;0,13;0,08;0,09;0,09;0,10;0,08
CAGR Receitas 5 anos;45,71%;39,35%;43,48%;13,48%;26,43%;49,95%;88,99%;91,33%;75,75%
CAGR Lucros 5 anos;26,70%;40,33%;67,33%;22,87%;44,21%;-%;-%;-%;-%
