;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,26%;1,09%;1,32%;1,48%;1,10%;1,56%;1,68%;2,68%;2,22%
Div;0.51;2.04;2.03;2.01;2.0;1.97;1.94;1.9;1.82
P/L;11.97;9.54;20.36;17.76;23.28;26.62;24.7;18.21;15.72
PEG Ratio;0,27;-;-;-;-;-;-;-;-
P/VP;3,51;3,70;4,21;4,41;6,24;5,37;5,52;3,75;2,91
EV/EBITDA;40,67;12,05;15,76;12,98;16,08;-;15,64;11,55;11,94
EV/EBIT;85,63;14,21;19,60;15,82;19,17;21,80;20,04;15,36;15,25
P/EBITDA;38,50;11,56;13,80;11,05;14,55;-;13,49;9,12;9,78
P/EBIT;81,06;13,63;17,15;13,47;17,36;19,08;17,28;12,12;12,50
VPA;55,87;50,68;36,50;30,68;29,08;23,50;20,88;18,92;28,13
P/Ativo;2,01;2,06;1,90;1,74;2,51;1,99;1,93;1,24;1,20
LPA;16.39;19.66;7.55;7.63;7.8;4.74;4.67;3.9;5.21
P/SR;3,40;3,32;2,80;2,22;3,31;2,72;2,35;1,48;1,87
P/Cap. Giro;11,71;11,25;22,04;29,09;32,24;20,66;20,97;15,35;19,68
P/Ativo Circ. Liq.;-3,02;-3,21;-2,70;-2,53;-3,56;-2,78;-2,74;-1,77;-1,62
Dív. líquida/PL;0,20;0,16;0,60;0,77;0,65;0,77;0,88;1,00;0,64
Dív. líquida/EBITDA;2,17;0,49;1,96;1,93;1,52;-;2,15;2,43;2,16
Dív. líquida/EBIT;4,57;0,57;2,44;2,35;1,82;2,72;2,76;3,23;2,76
PL/Ativos;0,57;0,56;0,45;0,39;0,40;0,37;0,35;0,33;0,41
Passivos/Ativos;0,43;0,44;0,55;0,61;0,60;0,63;0,65;0,67;0,59
Liq. corrente;2,04;2,04;1,40;1,23;1,36;1,51;1,46;1,37;1,30
M. Bruta;39,67%;38,20%;37,32%;36,01%;37,56%;37,02%;36,73%;36,61%;37,08%
M. EBITDA;8,82%;28,74%;20,29%;20,12%;22,73%;-%;17,39%;16,29%;19,12%
M. EBIT;4,19%;24,38%;16,32%;16,50%;19,06%;14,27%;13,58%;12,25%;14,97%
M. Líquida;28,37%;34,82%;13,75%;12,52%;14,21%;10,23%;9,50%;8,16%;11,90%
ROE;29,33%;38,79%;20,70%;24,85%;26,82%;20,19%;22,35%;20,60%;18,52%
ROA;16,75%;21,56%;9,31%;9,78%;10,80%;7,47%;7,82%;6,82%;7,62%
ROIC;0,52%;15,49%;12,55%;14,84%;16,82%;12,25%;13,17%;12,17%;11,21%
Giro ativos;0,59;0,62;0,68;0,78;0,76;0,73;0,82;0,84;0,64
CAGR Receitas 5 anos;1,65%;1,91%;2,84%;5,52%;-0,80%;-1,64%;-0,46%;0,58%;-3,89%
CAGR Lucros 5 anos;31,81%;13,13%;5,59%;17,17%;-4,71%;-2,65%;-10,68%;0,01%;-10,68%
