;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,66%;1,44%;1,17%;1,27%;0,67%;0,81%;0,89%;0,89%;0,97%
Div;6.95;6.04;4.82;4.4;3.78;3.11;2.62;2.21;1.83
P/L;23.99;24.63;27.58;27.27;40.2;30.75;29.99;28.49;29.75
PEG Ratio;7,85;-;-;-;-;-;-;-;-
P/VP;-3,57;-3,63;-3,52;-2,84;-4,87;-4,58;-3,52;-3,39;-3,02
EV/EBITDA;49,64;18,67;20,20;-;-;23,66;22,60;21,50;19,36
EV/EBIT;66,09;20,57;22,25;22,80;32,30;25,96;24,92;23,82;21,41
P/EBITDA;37,72;14,23;15,31;-;-;18,98;17,31;16,28;14,34
P/EBIT;50,22;15,67;16,86;16,51;26,29;20,82;19,09;18,04;15,86
VPA;-117,27;-115,58;-117,21;-121,94;-115,77;-83,77;-83,51;-73,09;-62,53
P/Ativo;8,52;8,28;8,55;7,45;12,27;9,64;8,69;11,37;9,88
LPA;17.45;17.04;14.95;12.7;14.04;12.47;9.8;8.7;6.35
P/SR;2,92;3,06;3,20;2,73;4,71;3,67;3,32;3,00;2,97
P/Cap. Giro;43,03;-20,35;53,03;49,51;76,05;37,91;36,00;55,09;45,55
P/Ativo Circ. Liq.;-17,84;-17,30;-16,69;-14,95;-25,29;-21,65;-20,21;-30,30;-32,17
Dív. líquida/PL;-;-;-;-;-;-;-;-;-
Dív. líquida/EBITDA;11,92;4,44;4,89;-;-;4,68;5,29;5,22;5,02
Dív. líquida/EBIT;15,87;4,89;5,38;6,29;6,00;5,14;5,83;5,78;5,55
PL/Ativos;-2,39;-2,28;-2,43;-2,62;-2,52;-2,11;-2,47;-3,35;-3,27
Passivos/Ativos;3,39;3,28;3,43;3,62;3,52;3,11;3,47;4,35;4,27
Liq. corrente;1,61;0,56;1,49;1,43;1,46;1,85;1,74;1,49;1,46
M. Bruta;39,81%;39,28%;38,56%;36,61%;38,74%;38,73%;38,76%;37,95%;31,06%
M. EBITDA;7,73%;21,48%;20,88%;-%;-%;19,34%;19,18%;18,45%;20,68%
M. EBIT;5,81%;19,51%;18,95%;16,55%;17,91%;17,62%;17,39%;16,65%;18,70%
M. Líquida;12,16%;12,41%;11,59%;10,02%;11,72%;11,93%;11,07%;10,54%;9,97%
ROE;-14,88%;-14,74%;-12,75%;-10,42%;-12,13%;-14,89%;-11,73%;-11,91%;-10,16%
ROA;35,51%;33,63%;30,99%;27,31%;30,53%;31,35%;28,99%;39,89%;33,21%
ROIC;12,98%;77,00%;77,78%;73,32%;82,62%;81,14%;83,55%;110,80%;103,34%
Giro ativos;2,92;2,71;2,67;2,73;2,61;2,63;2,62;3,78;3,33
CAGR Receitas 5 anos;5,40%;5,47%;-72,31%;12,00%;13,19%;12,66%;13,75%;10,68%;8,40%
CAGR Lucros 5 anos;7,83%;7,48%;338,83%;18,91%;20,57%;19,77%;20,41%;19,85%;15,30%
