;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,84%;3,44%;3,52%;3,07%;4,15%;3,96%;3,45%;4,72%;3,57%
Div;1.09;4.16;3.88;3.61;4.96;4.13;3.85;4.47;3.36
P/L;19.44;17.82;16.29;22.32;25.54;14.75;18.33;15.39;14.87
PEG Ratio;-2,04;-;-;-;-;-;-;-;-
P/VP;2,21;2,14;2,06;2,32;2,66;1,62;1,81;1,61;1,69
EV/EBITDA;21,19;11,71;10,87;13,23;14,82;10,50;12,30;10,60;10,36
EV/EBIT;91,00;20,72;18,55;24,41;32,29;17,38;21,83;18,38;16,93
P/EBITDA;10,97;6,09;5,66;7,33;8,26;5,40;7,07;6,24;6,04
P/EBIT;47,13;10,78;9,65;13,52;18,01;8,94;12,55;10,81;9,86
VPA;58,54;56,47;53,55;50,56;44,93;64,19;61,61;58,91;55,69
P/Ativo;0,52;0,51;0,51;0,57;0,58;0,44;0,51;0,47;0,50
LPA;6.65;6.78;6.77;5.27;4.68;7.07;6.09;6.16;6.32
P/SR;7,82;2,01;1,79;1,26;1,55;1,66;1,69;1,21;1,34
P/Cap. Giro;54,16;-16,69;-9,71;-24,34;-7,65;25,01;-23,52;-14,63;62,69
P/Ativo Circ. Liq.;-0,56;-0,55;-0,55;-0,63;-0,64;-0,48;-0,55;-0,52;-0,55
Dív. líquida/PL;2,06;1,97;1,90;1,87;2,11;1,53;1,34;1,13;1,21
Dív. líquida/EBITDA;10,22;5,62;5,21;5,90;6,55;5,10;5,23;4,36;4,33
Dív. líquida/EBIT;43,87;9,95;8,90;10,89;14,28;8,44;9,28;7,56;7,07
PL/Ativos;0,23;0,24;0,25;0,24;0,22;0,27;0,28;0,30;0,30
Passivos/Ativos;0,77;0,76;0,75;0,76;0,78;0,73;0,72;0,70;0,70
Liq. corrente;1,15;0,71;0,60;0,81;0,52;1,30;0,77;0,73;1,10
M. Bruta;33,50%;34,82%;33,95%;19,08%;22,29%;31,81%;45,92%;39,41%;43,17%
M. EBITDA;71,25%;32,98%;31,56%;17,15%;18,73%;30,70%;23,92%;19,44%;22,16%
M. EBIT;16,59%;18,63%;18,49%;9,29%;8,59%;18,54%;13,47%;11,22%;13,57%
M. Líquida;40,22%;11,27%;10,96%;5,63%;6,06%;11,23%;9,23%;7,88%;9,00%
ROE;11,37%;12,00%;12,64%;10,42%;10,42%;11,01%;9,88%;10,45%;11,35%
ROA;2,66%;2,87%;3,12%;2,54%;2,28%;3,01%;2,79%;3,09%;3,36%
ROIC;1,51%;6,56%;6,82%;5,88%;4,26%;6,53%;5,60%;6,55%;6,93%
Giro ativos;0,07;0,26;0,28;0,45;0,38;0,27;0,30;0,39;0,37
CAGR Receitas 5 anos;-0,34%;-2,16%;8,81%;7,08%;3,33%;0,59%;8,03%;7,48%;3,71%
CAGR Lucros 5 anos;3,73%;4,52%;-0,92%;0,88%;13,48%;5,25%;11,12%;13,20%;4,07%
