;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,89%;3,84%;4,18%;3,86%;3,72%;4,17%;4,11%;4,21%;4,15%
Div;1.05;4.13;4.06;3.97;3.9;3.83;3.75;3.63;3.49
P/L;18.53;18.99;27.35;32.45;21.22;53.06;17.94;23.08;19.25
PEG Ratio;1,18;-;-;-;-;-;-;-;-
P/VP;1,78;1,67;1,52;1,61;1,64;1,40;1,39;1,40;1,41
EV/EBITDA;18,72;11,17;11,11;12,35;12,60;15,30;11,13;11,96;11,12
EV/EBIT;81,20;19,53;19,80;23,42;24,40;43,27;21,22;23,95;19,12
P/EBITDA;9,54;5,57;5,39;6,42;6,89;7,94;6,11;6,56;6,09
P/EBIT;41,39;9,75;9,61;12,17;13,35;22,45;11,65;13,13;10,47
VPA;66,18;64,60;63,72;64,05;64,10;65,17;65,77;61,49;59,63
P/Ativo;0,48;0,45;0,42;0,45;0,48;0,42;0,42;0,42;0,43
LPA;6.34;5.67;3.55;3.17;4.94;1.73;5.08;3.74;4.37
P/SR;12,42;2,75;2,57;2,76;3,21;2,82;2,65;2,51;2,50
P/Cap. Giro;-12,70;-13,05;-16,57;-14,03;-13,46;-8,84;-11,90;-11,55;-14,61
P/Ativo Circ. Liq.;-0,51;-0,48;-0,46;-0,48;-0,51;-0,44;-0,44;-0,45;-0,45
Dív. líquida/PL;1,71;1,67;1,61;1,49;1,35;1,30;1,14;1,16;1,17
Dív. líquida/EBITDA;9,18;5,60;5,72;5,93;5,71;7,36;5,02;5,40;5,03
Dív. líquida/EBIT;39,81;9,79;10,19;11,25;11,05;20,82;9,58;10,82;8,65
PL/Ativos;0,27;0,27;0,28;0,28;0,29;0,30;0,30;0,30;0,30
Passivos/Ativos;0,73;0,73;0,72;0,72;0,71;0,70;0,70;0,70;0,70
Liq. corrente;0,63;0,67;0,74;0,70;0,62;0,53;0,62;0,65;0,68
M. Bruta;52,92%;50,06%;47,34%;45,11%;48,19%;48,47%;70,28%;69,30%;70,37%
M. EBITDA;130,16%;49,40%;47,71%;42,96%;46,65%;35,56%;43,40%;38,26%;41,04%
M. EBIT;30,01%;28,26%;26,78%;22,65%;24,08%;12,57%;22,76%;19,11%;23,87%
M. Líquida;67,04%;14,50%;9,41%;8,50%;15,15%;5,32%;14,78%;10,87%;12,98%
ROE;9,59%;8,78%;5,57%;4,96%;7,71%;2,65%;7,73%;6,08%;7,33%
ROA;2,57%;2,36%;1,55%;1,37%;2,24%;0,78%;2,33%;1,83%;2,22%
ROIC;1,15%;5,94%;5,71%;5,05%;5,03%;2,50%;5,04%;4,46%;4,88%
Giro ativos;0,04;0,16;0,16;0,16;0,15;0,15;0,16;0,17;0,17
CAGR Receitas 5 anos;3,89%;3,46%;4,07%;1,99%;1,30%;2,19%;1,51%;5,64%;9,38%
CAGR Lucros 5 anos;4,06%;1,28%;-3,57%;12,67%;-13,33%;14,51%;0,01%;11,59%;4,75%
