;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;10.42;12.86;13.46;12.05;11.31;17.0;11.85;53.59;19.96
PEG Ratio;-1,55;-;-;-;-;-;-;-;-
P/VP;-14,07;99,44;8,81;9,48;14,65;9,50;4,51;2,31;2,82
EV/EBITDA;15,64;9,12;8,96;8,98;8,82;10,63;9,11;11,12;10,12
EV/EBIT;42,21;13,43;14,63;15,79;12,77;15,71;13,80;17,38;15,74
P/EBITDA;7,21;5,34;4,84;3,97;5,03;6,75;5,31;5,21;6,08
P/EBIT;19,44;7,87;7,91;6,99;7,29;9,97;8,04;8,15;9,46
VPA;-8,10;1,50;11,89;7,88;7,77;12,35;16,65;22,31;25,58
P/Ativo;0,46;0,70;0,55;0,40;0,65;0,77;0,56;0,45;0,70
LPA;10.93;11.63;7.79;6.2;10.06;6.91;6.33;0.96;3.62
P/SR;0,60;0,94;0,77;0,58;0,95;1,14;0,84;0,75;1,22
P/Cap. Giro;7,35;15,59;18,77;12,61;14,39;19,55;7,29;2,42;2,32
P/Ativo Circ. Liq.;-0,60;-0,89;-0,68;-0,49;-0,79;-0,95;-0,71;-0,80;-1,30
Dív. líquida/PL;-;70,31;7,49;11,94;11,03;5,47;3,23;2,61;1,87
Dív. líquida/EBITDA;8,44;3,78;4,12;5,01;3,79;3,88;3,80;5,91;4,03
Dív. líquida/EBIT;22,77;5,56;6,72;8,80;5,49;5,74;5,76;9,24;6,28
PL/Ativos;-0,03;0,01;0,06;0,04;0,04;0,08;0,12;0,19;0,25
Passivos/Ativos;0,94;0,89;0,85;0,88;0,87;0,84;0,81;0,75;0,70
Liq. corrente;1,36;1,26;1,19;1,20;1,32;1,27;1,56;1,72;2,86
M. Bruta;8,03%;32,91%;31,47%;29,29%;31,38%;30,84%;30,50%;28,14%;29,76%
M. EBITDA;8,38%;17,59%;15,84%;14,63%;18,93%;16,87%;15,90%;14,38%;20,02%
M. EBIT;3,11%;11,94%;9,70%;8,32%;13,07%;11,41%;10,50%;9,19%;12,87%
M. Líquida;5,80%;7,31%;5,70%;4,83%;8,42%;6,70%;7,12%;1,40%;6,10%
ROE;-134,98%;773,06%;65,48%;78,67%;129,51%;55,92%;38,01%;4,30%;14,15%
ROA;4,40%;5,42%;4,09%;3,31%;5,71%;4,55%;4,68%;0,83%;3,50%
ROIC;1,37%;13,07%;10,13%;7,97%;12,54%;10,61%;8,94%;5,72%;7,67%
Giro ativos;0,76;0,74;0,72;0,69;0,68;0,68;0,66;0,60;0,57
CAGR Receitas 5 anos;2,39%;1,26%;1,31%;1,65%;2,96%;-2,30%;-0,62%;5,85%;9,73%
CAGR Lucros 5 anos;2,92%;34,11%;-3,32%;2,15%;23,46%;2,32%;-24,12%;4,36%;12,98%
