;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,65%;4,43%;3,66%;8,11%;4,56%;4,30%;1,35%;1,33%;0,58%
Div;0.24;1.45;1.66;4.99;2.01;0.68;0.35;0.3;0.24
P/L;8.46;7.37;7.69;6.68;10.38;-2.26;-28.1;3.44;24.23
PEG Ratio;-0,42;-;-;-;-;-;-;-;-
P/VP;1,50;1,47;2,39;3,60;3,15;2,10;1,72;1,15;2,35
EV/EBITDA;6,47;4,00;4,56;4,39;6,24;-5,45;7,44;4,53;18,61
EV/EBIT;31,28;7,20;6,91;5,59;10,36;-2,88;88,12;8,26;71,96
P/EBITDA;4,94;2,90;3,86;3,91;5,45;-4,06;5,97;3,80;15,58
P/EBIT;23,89;5,23;5,84;4,97;9,05;-2,14;70,75;6,92;60,27
VPA;24,47;22,27;18,97;17,10;13,97;7,54;15,11;19,62;17,61
P/Ativo;0,74;0,70;1,18;1,69;1,39;0,61;0,73;0,54;0,72
LPA;4.33;4.44;5.89;9.21;4.24;-7.01;-0.92;6.54;1.71
P/SR;1,32;1,34;1,89;2,10;2,39;1,25;1,60;1,19;3,35
P/Cap. Giro;-131,48;180,57;138,45;51,10;25,13;3,32;5,18;4,77;14,74
P/Ativo Circ. Liq.;-0,84;-0,79;-1,35;-2,03;-1,74;-0,91;-1,01;-0,70;-0,85
Dív. líquida/PL;0,46;0,55;0,44;0,45;0,45;0,71;0,42;0,22;0,46
Dív. líquida/EBITDA;1,53;1,10;0,71;0,49;0,79;-1,39;1,47;0,73;3,02
Dív. líquida/EBIT;7,39;1,97;1,07;0,62;1,30;-0,73;17,38;1,34;11,70
PL/Ativos;0,49;0,48;0,49;0,47;0,44;0,29;0,42;0,47;0,31
Passivos/Ativos;0,51;0,52;0,51;0,53;0,56;0,71;0,58;0,53;0,69
Liq. corrente;0,96;1,04;1,07;1,25;1,38;2,26;2,00;1,99;1,45
M. Bruta;20,16%;80,03%;80,81%;85,41%;82,54%;76,74%;80,76%;87,04%;87,83%
M. EBITDA;26,66%;46,04%;48,95%;53,61%;43,90%;-30,82%;26,86%;31,24%;21,47%
M. EBIT;5,51%;25,56%;32,32%;42,17%;26,44%;-58,41%;2,27%;17,13%;5,55%
M. Líquida;15,56%;18,14%;24,56%;31,38%;23,05%;-55,51%;-5,71%;34,44%;13,81%
ROE;17,71%;19,94%;31,07%;53,86%;30,37%;-92,89%;-6,12%;33,36%;9,70%
ROA;8,71%;9,48%;15,30%;25,36%;13,38%;-27,04%;-2,59%;15,66%;2,97%
ROIC;0,74%;14,14%;22,45%;36,04%;20,08%;-46,87%;1,10%;9,49%;2,20%
Giro ativos;0,56;0,52;0,62;0,81;0,58;0,49;0,45;0,45;0,21
CAGR Receitas 5 anos;20,71%;11,39%;24,14%;3,45%;-18,15%;-21,33%;-3,07%;-7,31%;-2,08%
CAGR Lucros 5 anos;-%;4,11%;46,28%;-%;-%;-%;-%;-%;-%
