;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,25%;1,01%;1,09%;1,42%;0,83%;0,87%;0,96%;1,15%;1,13%
Div;0.66;2.36;2.16;2.07;1.95;1.88;1.85;1.7;1.52
P/L;37.71;31.43;41.26;37.93;59.57;-51.25;35.68;29.78;25.77
PEG Ratio;1,80;-;-;-;-;-;-;-;-
P/VP;7,70;7,58;7,04;5,72;9,32;10,02;6,40;5,32;5,11
EV/EBITDA;52,16;19,19;21,47;19,56;30,58;29,67;20,17;16,69;15,76
EV/EBIT;135,81;25,48;31,13;31,12;46,37;46,28;29,57;24,42;22,74
P/EBITDA;48,22;17,52;19,03;16,40;27,19;27,28;18,16;14,36;13,32
P/EBIT;125,56;23,27;27,59;26,09;41,23;42,55;26,62;21,00;19,22
VPA;34,31;30,91;28,18;25,43;25,18;21,60;30,13;27,70;26,25
P/Ativo;3,13;2,97;2,59;1,93;3,17;3,41;2,67;2,12;1,94
LPA;7.01;7.45;4.81;3.84;3.94;-4.22;5.41;4.95;5.21
P/SR;4,71;4,22;3,70;2,92;5,29;5,24;3,73;2,90;2,80
P/Cap. Giro;25,64;53,85;43,61;32,26;59,36;28,26;46,44;42,90;34,64
P/Ativo Circ. Liq.;-4,46;-4,06;-3,49;-2,59;-4,07;-4,75;-3,47;-2,76;-2,52
Dív. líquida/PL;0,63;0,72;0,90;1,10;1,16;0,88;0,71;0,87;0,94
Dív. líquida/EBITDA;3,94;1,66;2,44;3,16;3,39;2,40;2,01;2,34;2,44
Dív. líquida/EBIT;10,26;2,21;3,54;5,03;5,14;3,74;2,95;3,42;3,52
PL/Ativos;0,41;0,39;0,37;0,34;0,34;0,34;0,42;0,40;0,38
Passivos/Ativos;0,59;0,61;0,63;0,66;0,66;0,66;0,58;0,60;0,62
Liq. corrente;1,70;1,26;1,30;1,30;1,32;1,75;1,33;1,27;1,32
M. Bruta;10,93%;43,46%;40,24%;37,76%;40,19%;41,43%;41,48%;41,19%;41,72%
M. EBITDA;9,77%;24,07%;19,42%;17,80%;19,44%;19,20%;20,55%;20,22%;21,04%
M. EBIT;3,75%;18,13%;13,40%;11,19%;12,82%;12,31%;14,02%;13,82%;14,58%
M. Líquida;12,49%;13,42%;8,96%;7,69%;8,87%;-10,22%;10,46%;9,74%;10,87%
ROE;20,42%;24,12%;17,06%;15,09%;15,64%;-19,54%;17,95%;17,86%;19,84%
ROA;8,30%;9,44%;6,28%;5,09%;5,33%;-6,65%;7,47%;7,12%;7,54%
ROIC;1,00%;14,79%;10,41%;8,55%;8,52%;9,92%;11,75%;11,05%;11,90%
Giro ativos;0,66;0,70;0,70;0,66;0,60;0,65;0,71;0,73;0,69
CAGR Receitas 5 anos;1,10%;0,87%;0,50%;-0,64%;-2,74%;0,86%;2,05%;3,17%;14,11%
CAGR Lucros 5 anos;6,27%;-0,81%;-6,21%;-1,67%;-%;5,32%;8,11%;16,42%;21,59%
