;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,18%;0,61%;0,63%;0,80%;0,53%;0,81%;1,11%;1,68%;1,32%
Div;0.39;1.55;1.56;1.55;1.55;1.56;1.55;1.57;1.56
P/L;40.62;52.29;55.92;34.2;48.04;45.1;-42.54;37.46;24.11
PEG Ratio;-0,65;-;-;-;-;-;-;-;-
P/VP;5,42;6,59;6,72;6,02;9,97;7,40;6,58;3,61;4,46
EV/EBITDA;31,51;21,18;22,79;17,43;25,76;-;1.246,72;17,59;14,62
EV/EBIT;111,54;35,04;37,51;26,34;37,29;31,63;-62,08;29,67;19,69
P/EBITDA;26,87;18,36;19,31;14,16;22,56;-;1.060,39;14,48;12,53
P/EBIT;95,10;30,39;31,78;21,40;32,65;28,37;-52,80;24,42;16,87
VPA;40,35;38,70;36,77;32,30;29,36;26,05;21,30;25,77;26,44
P/Ativo;2,26;2,69;2,48;2,06;3,24;2,44;2,15;1,57;1,96
LPA;5.38;4.87;4.42;5.68;6.1;4.28;-3.29;2.49;4.89
P/SR;4,50;5,56;5,79;4,65;7,26;5,68;4,84;3,29;4,21
P/Cap. Giro;-51,41;-70,06;-46,01;-36,93;-30,54;-4.887,01;-113,33;148,73;-20,97
P/Ativo Circ. Liq.;-2,58;-3,04;-2,79;-2,34;-3,60;-3,29;-2,53;-1,80;-2,27
Dív. líquida/PL;0,94;1,01;1,21;1,39;1,41;0,85;1,16;0,78;0,75
Dív. líquida/EBITDA;4,64;2,81;3,48;3,27;3,20;-;186,33;3,11;2,09
Dív. líquida/EBIT;16,44;4,66;5,73;4,94;4,63;3,26;-9,28;5,25;2,82
PL/Ativos;0,42;0,41;0,37;0,34;0,32;0,33;0,33;0,43;0,44
Passivos/Ativos;0,57;0,58;0,62;0,66;0,68;0,67;0,67;0,57;0,56
Liq. corrente;0,74;0,75;0,67;0,68;0,49;1,00;0,89;1,09;0,60
M. Bruta;13,53%;55,67%;55,65%;57,49%;59,77%;57,91%;56,62%;57,79%;63,99%
M. EBITDA;16,76%;30,28%;29,99%;32,82%;32,18%;-%;0,46%;22,73%;33,62%
M. EBIT;4,73%;18,30%;18,22%;21,72%;22,23%;20,03%;-9,16%;13,48%;24,97%
M. Líquida;11,08%;10,63%;10,36%;13,59%;15,11%;12,60%;-11,37%;8,79%;17,47%
ROE;13,34%;12,59%;12,03%;17,60%;20,76%;16,42%;-15,47%;9,65%;18,50%
ROA;5,57%;5,14%;4,44%;6,03%;6,74%;5,41%;-5,04%;4,19%;8,12%
ROIC;0,56%;8,53%;7,74%;9,06%;10,07%;8,85%;-6,06%;7,14%;11,75%
Giro ativos;0,50;0,48;0,43;0,44;0,45;0,43;0,44;0,48;0,46
CAGR Receitas 5 anos;10,12%;9,06%;8,78%;9,38%;9,15%;7,56%;8,17%;10,16%;10,68%
CAGR Lucros 5 anos;-%;12,71%;3,46%;8,77%;3,92%;-%;-3,15%;16,63%;15,98%
