;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,33%;3,11%;1,81%;0,99%;0,59%;0,56%;0,86%;1,21%;1,10%
Div;0.35;2.32;2.65;2.46;2.18;1.49;1.78;1.57;1.4
P/L;-33.34;69.15;52.11;37.07;46.34;140.72;41.63;42.61;37.51
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;9,77;5,08;9,39;15,85;21,96;24,46;16,94;10,07;10,69
EV/EBITDA;288,83;15,87;23,58;22,92;32,16;53,56;24,94;18,20;22,29
EV/EBIT;-61,74;27,26;34,20;28,12;38,13;80,67;30,63;22,79;28,31
P/EBITDA;258,72;13,66;21,88;22,55;32,01;52,95;24,80;17,89;21,45
P/EBIT;-55,30;23,45;31,73;27,66;37,96;79,75;30,46;22,39;27,24
VPA;10,73;14,77;15,58;15,65;16,86;10,88;12,19;12,92;11,91
P/Ativo;1,90;1,24;2,24;4,24;6,05;5,41;5,65;3,76;4,05
LPA;-3.14;1.08;2.81;6.69;7.99;1.89;4.96;3.05;3.39
P/SR;2,64;1,73;3,29;5,00;8,20;6,73;5,00;3,45;3,96
P/Cap. Giro;23,12;12,15;18,08;25,44;29,75;25,92;28,51;16,52;21,88
P/Ativo Circ. Liq.;-2,95;-1,96;-3,67;-7,63;-10,90;-10,83;-12,50;-7,38;-7,09
Dív. líquida/PL;1,14;0,82;0,73;0,26;0,10;0,28;0,10;0,18;0,42
Dív. líquida/EBITDA;30,11;2,22;1,70;0,37;0,15;0,61;0,14;0,31;0,84
Dív. líquida/EBIT;-6,44;3,81;2,47;0,45;0,17;0,92;0,17;0,39;1,06
PL/Ativos;0,19;0,25;0,24;0,27;0,28;0,22;0,33;0,37;0,38
Passivos/Ativos;0,81;0,75;0,73;0,69;0,68;0,78;0,66;0,63;0,62
Liq. corrente;1,30;1,39;1,46;1,60;1,84;1,72;1,57;1,86;1,76
M. Bruta;73,97%;71,66%;71,31%;75,73%;76,36%;75,15%;77,21%;79,22%;79,41%
M. EBITDA;1,02%;12,65%;15,06%;22,16%;25,62%;12,72%;20,16%;19,29%;18,47%
M. EBIT;-4,77%;7,37%;10,38%;18,06%;21,61%;8,44%;16,42%;15,41%;14,55%
M. Líquida;-7,91%;2,50%;6,32%;13,47%;17,70%;4,79%;12,01%;8,10%;10,56%
ROE;-29,31%;7,34%;18,01%;42,75%;47,38%;17,38%;40,70%;23,63%;28,49%
ROA;-5,70%;1,80%;4,30%;11,43%;13,06%;3,85%;13,57%;8,82%;10,80%
ROIC;-6,94%;6,01%;9,23%;23,40%;26,22%;8,51%;24,71%;15,12%;17,08%
Giro ativos;0,72;0,72;0,68;0,85;0,74;0,80;1,13;1,09;1,02
CAGR Receitas 5 anos;0,98%;3,06%;8,45%;7,56%;5,81%;6,26%;6,09%;4,01%;5,03%
CAGR Lucros 5 anos;-26,23%;-1,91%;13,86%;20,82%;-8,88%;8,19%;1,67%;7,83%;9,73%
