;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;0,20%;0,32%;0,36%;0,41%;0,35%;0,37%;0,54%;0,39%
Div;;0.91;0.69;0.53;0.52;0.32;0.32;0.32;0.32
P/L;24.37;20.65;16.01;17.38;17.7;37.79;14.9;12.12;21.16
PEG Ratio;1,11;-;-;-;-;-;-;-;-
P/VP;8,26;7,08;4,10;3,58;3,01;2,45;2,36;1,97;2,87
EV/EBITDA;46,79;12,84;9,25;10,05;9,60;11,92;8,65;6,92;11,11
EV/EBIT;66,86;14,09;10,50;11,98;11,64;16,83;10,37;8,31;14,09
P/EBITDA;47,93;13,72;10,04;10,36;10,47;13,61;8,76;7,10;11,52
P/EBIT;68,49;15,05;11,39;12,34;12,68;19,22;10,51;8,52;14,62
VPA;74,51;64,13;52,50;41,40;42,26;37,37;36,65;30,25;28,46
P/Ativo;3,19;2,69;1,53;1,28;1,25;0,99;1,00;0,84;1,21
LPA;25.25;21.99;13.45;8.52;7.2;2.42;5.79;4.93;3.86
P/SR;1,70;1,43;0,81;0,64;0,69;0,57;0,53;0,42;0,63
P/Cap. Giro;31,36;16,83;10,91;9,97;6,60;5,25;6,72;5,27;7,59
P/Ativo Circ. Liq.;-8,66;-8,93;-4,69;-3,42;-3,31;-2,59;-2,23;-2,02;-2,86
Dív. líquida/PL;-0,20;-0,46;-0,32;-0,11;-0,25;-0,31;-0,03;-0,05;-0,10
Dív. líquida/EBITDA;-1,14;-0,88;-0,78;-0,31;-0,86;-1,70;-0,12;-0,17;-0,41
Dív. líquida/EBIT;-1,63;-0,97;-0,89;-0,37;-1,05;-2,40;-0,14;-0,21;-0,52
PL/Ativos;0,39;0,38;0,37;0,36;0,41;0,41;0,43;0,43;0,42
Passivos/Ativos;0,61;0,62;0,63;0,64;0,59;0,59;0,57;0,57;0,58
Liq. corrente;1,19;1,30;1,26;1,26;1,44;1,44;1,37;1,38;1,38
M. Bruta;19,39%;18,98%;16,60%;14,48%;15,16%;15,86%;14,78%;14,83%;14,92%
M. EBITDA;3,54%;10,41%;8,03%;6,15%;6,55%;4,19%;6,03%;5,95%;5,43%
M. EBIT;2,48%;9,48%;7,07%;5,16%;5,41%;2,97%;5,02%;4,96%;4,28%
M. Líquida;6,96%;6,91%;5,03%;3,67%;3,87%;1,51%;3,54%;3,49%;2,96%
ROE;33,89%;34,28%;25,63%;20,58%;17,03%;6,48%;15,80%;16,28%;13,57%
ROA;13,08%;13,05%;9,58%;7,35%;7,05%;2,63%;6,73%;6,93%;5,73%
ROIC;-0,29%;34,41%;26,34%;18,88%;15,50%;6,09%;14,25%;14,54%;12,10%
Giro ativos;1,88;1,89;1,90;2,00;1,82;1,74;1,90;1,99;1,94
CAGR Receitas 5 anos;9,69%;9,13%;7,58%;5,57%;5,54%;7,38%;5,12%;4,41%;6,11%
CAGR Lucros 5 anos;25,37%;17,42%;12,32%;16,09%;-5,05%;14,03%;18,03%;9,16%;6,82%
