;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,39%;1,70%;2,14%;2,15%;2,18%;2,49%;2,58%;3,26%;2,76%
Div;0.52;2.11;2.08;2.06;2.03;2.0;1.96;1.95;1.93
P/L;32.86;35.51;4.21;16.99;23.98;24.52;20.2;16.9;29.47
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;3,71;3,23;2,69;5,30;5,59;5,73;5,66;4,16;5,13
EV/EBITDA;18,53;17,98;13,98;18,30;14,75;15,65;13,18;11,41;14,77
EV/EBIT;27,41;33,71;18,98;24,17;19,42;21,02;16,75;14,47;18,53
P/EBITDA;16,07;16,98;13,95;15,83;13,69;14,40;12,09;10,39;14,26
P/EBIT;23,76;31,84;18,95;20,90;18,01;19,34;15,36;13,17;17,89
VPA;36,10;38,37;36,19;18,14;16,64;14,02;13,48;14,36;13,58
P/Ativo;1,80;1,58;1,30;1,54;2,23;2,11;2,27;1,83;2,28
LPA;4.08;3.49;23.12;5.65;3.88;3.28;3.77;3.54;2.37
P/SR;4,18;4,00;3,67;3,98;3,03;2,87;2,54;2,14;2,93
P/Cap. Giro;-62,06;15,70;6,33;75,29;25,26;15,95;40,06;81,83;13,95
P/Ativo Circ. Liq.;-2,26;-2,05;-1,92;-2,02;-3,39;-3,42;-3,49;-2,70;-3,95
Dív. líquida/PL;0,57;0,19;0,01;0,83;0,44;0,50;0,51;0,41;0,18
Dív. líquida/EBITDA;2,47;1,00;0,03;2,47;1,07;1,25;1,10;1,02;0,51
Dív. líquida/EBIT;3,65;1,87;0,04;3,26;1,41;1,67;1,39;1,30;0,64
PL/Ativos;0,48;0,49;0,48;0,29;0,40;0,37;0,40;0,44;0,45
Passivos/Ativos;0,52;0,51;0,52;0,71;0,60;0,63;0,60;0,56;0,55
Liq. corrente;0,88;1,77;2,75;1,09;1,35;1,52;1,19;1,07;1,64
M. Bruta;52,84%;50,79%;48,97%;45,68%;41,47%;41,76%;42,54%;42,69%;42,13%
M. EBITDA;26,03%;23,53%;26,30%;25,12%;22,13%;19,93%;20,98%;20,59%;20,55%
M. EBIT;17,60%;12,55%;19,37%;19,02%;16,81%;14,84%;16,51%;16,23%;16,38%
M. Líquida;12,73%;11,25%;87,17%;23,41%;12,63%;11,71%;12,55%;12,66%;9,94%
ROE;11,31%;9,10%;63,89%;31,18%;23,30%;23,38%;28,01%;24,62%;17,41%
ROA;5,46%;4,45%;30,92%;9,06%;9,32%;8,59%;11,25%;10,80%;7,75%
ROIC;7,41%;6,07%;7,96%;10,02%;14,99%;13,50%;17,93%;17,39%;13,76%
Giro ativos;0,43;0,40;0,35;0,39;0,74;0,73;0,90;0,85;0,78
CAGR Receitas 5 anos;-0,98%;-2,72%;-1,99%;4,66%;0,65%;0,71%;-6,73%;-8,96%;-9,73%
CAGR Lucros 5 anos;-3,12%;43,10%;15,82%;7,09%;-6,23%;1,44%;1,91%;-4,66%;-7,99%
