;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;30.66;29.25;41.2;45.05;78.9;61.33;44.69;26.08;77.98
PEG Ratio;-1,78;-;-;-;-;-;-;-;-
P/VP;3,06;3,66;4,95;6,30;15,28;10,12;7,31;4,96;5,82
EV/EBITDA;34,12;16,91;22,58;26,54;53,94;36,84;26,84;19,27;25,22
EV/EBIT;74,13;20,59;28,16;33,87;68,62;49,43;35,90;22,10;29,35
P/EBITDA;38,19;18,69;25,67;29,19;56,00;39,52;29,11;21,88;27,97
P/EBIT;82,97;22,75;32,02;37,25;71,24;53,01;38,95;25,09;32,55
VPA;67,45;63,82;60,06;52,06;43,75;35,42;29,03;23,38;18,46
P/Ativo;2,35;2,80;3,95;4,71;10,79;7,37;5,20;3,89;4,54
LPA;6.73;7.99;7.22;7.27;8.47;5.84;4.75;4.45;1.38
P/SR;2,15;2,81;3,66;3,92;10,11;7,54;5,09;3,40;3,91
P/Cap. Giro;6,75;8,28;7,02;9,39;25,23;13,87;10,73;6,69;7,28
P/Ativo Circ. Liq.;-4,91;-5,72;-13,63;-15,12;-30,31;-24,81;-15,15;-15,18;-19,55
Dív. líquida/PL;-0,33;-0,35;-0,60;-0,57;-0,56;-0,68;-0,57;-0,59;-0,57
Dív. líquida/EBITDA;-4,07;-1,77;-3,09;-2,65;-2,06;-2,67;-2,27;-2,60;-2,75
Dív. líquida/EBIT;-8,84;-2,16;-3,86;-3,38;-2,63;-3,59;-3,04;-2,98;-3,20
PL/Ativos;0,77;0,76;0,80;0,75;0,71;0,73;0,71;0,78;0,78
Passivos/Ativos;0,23;0,24;0,20;0,25;0,29;0,27;0,29;0,22;0,22
Liq. corrente;3,02;2,96;4,79;3,69;2,97;4,11;3,81;4,56;5,31
M. Bruta;7,17%;30,68%;30,57%;31,88%;33,91%;34,85%;35,12%;35,60%;36,48%
M. EBITDA;5,63%;15,05%;14,27%;13,42%;18,06%;19,09%;17,47%;15,54%;13,99%
M. EBIT;2,59%;12,36%;11,44%;10,51%;14,19%;14,23%;13,06%;13,55%;12,02%
M. Líquida;7,01%;9,61%;8,89%;8,69%;12,82%;12,30%;11,38%;13,04%;5,02%
ROE;9,97%;12,52%;12,02%;13,97%;19,37%;16,50%;16,36%;19,03%;7,46%
ROA;7,67%;9,57%;9,58%;10,46%;13,67%;12,02%;11,63%;14,91%;5,82%
ROIC;0,26%;12,44%;11,93%;13,85%;19,01%;16,29%;16,10%;18,66%;7,28%
Giro ativos;1,09;1,00;1,08;1,20;1,07;0,98;1,02;1,14;1,16
CAGR Receitas 5 anos;15,56%;20,54%;27,17%;26,50%;23,81%;25,73%;27,12%;27,30%;28,24%
CAGR Lucros 5 anos;11,73%;11,66%;41,95%;37,15%;31,11%;30,25%;31,12%;7,31%;53,19%
