;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,09%;2,82%;4,33%;4,24%;3,33%;4,07%;2,80%;3,27%;3,16%
Div;0.69;2.02;2.64;2.5;3.01;2.42;2.26;2.16;2.01
P/L;20.88;26.37;27.87;28.85;25.56;24.24;31.07;37.16;39.03
PEG Ratio;0,85;-;-;-;-;-;-;-;-
P/VP;2,18;2,47;2,09;2,00;3,10;2,10;2,85;2,34;2,24
EV/EBITDA;20,73;14,96;14,73;14,67;16,44;13,53;17,40;16,90;18,14
EV/EBIT;62,35;25,65;26,46;26,87;24,99;22,43;28,78;29,67;32,20
P/EBITDA;15,41;11,55;11,20;11,03;13,29;9,93;13,39;12,42;13,14
P/EBIT;46,37;19,81;20,11;20,21;20,20;16,46;22,15;21,81;23,33
VPA;29,13;29,10;29,23;29,53;29,17;28,28;28,39;28,23;28,50
P/Ativo;1,15;1,31;1,16;1,10;1,61;1,09;1,42;1,19;1,14
LPA;3.04;2.72;2.19;2.04;3.54;2.45;2.6;1.78;1.63
P/SR;31,46;9,14;8,07;8,16;13,79;8,58;11,13;9,43;9,48
P/Cap. Giro;-;-;-;-;-;-;-260,29;-206,72;-191,84
P/Ativo Circ. Liq.;-1,15;-1,31;-1,16;-1,10;-1,61;-1,09;-1,42;-1,20;-1,14
Dív. líquida/PL;0,75;0,73;0,66;0,66;0,73;0,76;0,85;0,84;0,85
Dív. líquida/EBITDA;5,32;3,41;3,53;3,64;3,15;3,60;4,01;4,48;5,00
Dív. líquida/EBIT;15,99;5,85;6,35;6,66;4,78;5,97;6,63;7,86;8,87
PL/Ativos;0,53;0,53;0,55;0,55;0,52;0,52;0,50;0,51;0,51
Passivos/Ativos;0,47;0,45;0,43;0,43;0,46;0,46;0,50;0,49;0,49
Liq. corrente;-;-;-;-;-;-;0,28;0,29;0,29
M. Bruta;63,82%;63,27%;63,59%;64,08%;61,49%;64,37%;66,37%;65,88%;66,57%
M. EBITDA;204,12%;79,09%;72,09%;73,99%;103,78%;86,41%;83,08%;75,94%;72,15%
M. EBIT;67,86%;46,13%;40,14%;40,38%;68,27%;52,13%;50,22%;43,26%;40,65%
M. Líquida;150,72%;34,66%;28,96%;28,29%;53,97%;35,41%;35,81%;25,38%;24,29%
ROE;10,43%;9,35%;7,51%;6,93%;12,14%;8,65%;9,17%;6,29%;5,73%
ROA;5,49%;4,96%;4,15%;3,83%;6,28%;4,49%;4,57%;3,21%;2,92%
ROIC;2,65%;7,14%;6,21%;5,91%;8,68%;7,19%;6,92%;5,80%;5,17%
Giro ativos;0,04;0,14;0,14;0,14;0,12;0,13;0,13;0,13;0,12
CAGR Receitas 5 anos;1,99%;2,19%;2,05%;0,31%;-1,30%;0,65%;1,55%;7,18%;9,72%
CAGR Lucros 5 anos;1,38%;5,00%;5,29%;-20,84%;1,14%;9,05%;-18,56%;-6,19%;37,28%
