;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,29%;1,37%;1,57%;1,63%;-%;0,24%;1,10%;0,64%;0,39%
Div;0.15;0.64;0.61;0.55;;0.03;0.12;0.12;0.12
P/L;18.72;119.36;9.36;6.98;-7.1;-3.62;-2.28;-2.14;5.46
PEG Ratio;0,04;-;-;-;-;-;-;-;-
P/VP;1,44;1,34;1,10;1,11;0,82;0,38;0,28;0,44;0,62
EV/EBITDA;12,52;12,87;5,44;4,18;34,33;19,29;41,34;-9,80;9,96
EV/EBIT;54,56;51,58;9,49;6,92;-12,42;-8,96;-5,93;-3,70;38,81
P/EBITDA;10,06;9,55;4,00;2,89;17,72;7,58;13,91;-4,47;5,76
P/EBIT;43,82;38,28;6,99;4,78;-6,41;-3,52;-1,99;-1,69;22,46
VPA;37,10;34,51;35,18;30,58;26,65;33,58;38,35;43,07;50,22
P/Ativo;0,81;0,69;0,64;0,55;0,38;0,19;0,15;0,23;0,28
LPA;2.85;0.39;4.13;4.85;-3.07;-3.51;-4.78;-8.82;5.69
P/SR;4,13;5,27;3,20;1,02;1,20;1,32;0,73;1,01;3,05
P/Cap. Giro;-36,05;-36,85;-680,21;43,80;-2,94;-6,40;6,81;-12,47;-119,01
P/Ativo Circ. Liq.;-0,83;-0,72;-0,70;-0,66;-0,42;-0,21;-0,16;-0,26;-0,29
Dív. líquida/PL;0,35;0,46;0,39;0,49;0,77;0,58;0,56;0,52;0,45
Dív. líquida/EBITDA;2,47;3,32;1,43;1,29;16,60;11,70;27,43;-5,32;4,20
Dív. líquida/EBIT;10,74;13,31;2,50;2,14;-6,01;-5,44;-3,93;-2,01;16,35
PL/Ativos;0,56;0,52;0,58;0,49;0,46;0,51;0,52;0,53;0,45
Passivos/Ativos;0,44;0,48;0,42;0,51;0,54;0,49;0,48;0,47;0,55
Liq. corrente;0,58;0,70;0,99;1,08;0,45;0,69;1,30;0,84;0,94
M. Bruta;15,79%;53,98%;52,43%;80,08%;68,31%;29,81%;49,83%;60,04%;50,16%
M. EBITDA;41,09%;55,18%;79,99%;35,28%;6,77%;17,38%;5,27%;-22,68%;52,91%
M. EBIT;9,43%;13,77%;45,82%;21,29%;-18,71%;-37,42%;-36,78%;-60,14%;13,57%
M. Líquida;22,08%;4,42%;34,23%;14,59%;-16,90%;-36,38%;-32,15%;-47,39%;55,85%
ROE;7,69%;1,12%;11,75%;15,85%;-11,52%;-10,45%;-12,46%;-20,48%;11,33%
ROA;4,32%;0,58%;6,86%;7,81%;-5,35%;-5,34%;-6,50%;-10,83%;5,11%
ROIC;0,54%;2,29%;9,45%;11,18%;-9,61%;-8,81%;-11,59%;-21,25%;-4,25%
Giro ativos;0,20;0,13;0,20;0,54;0,32;0,15;0,20;0,23;0,09
CAGR Receitas 5 anos;6,57%;1,37%;35,07%;33,12%;2,59%;9,00%;20,53%;14,42%;4,33%
CAGR Lucros 5 anos;-%;-%;3,26%;-%;-%;-%;-%;52,42%;-%
