;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,42%;1,24%;1,42%;1,79%;2,15%;2,39%;2,17%;2,52%;2,57%
Div;4.09;5.11;4.76;4.45;4.14;5.87;3.6;3.36;3.13
P/L;23.24;35.91;39.26;43.56;33.82;38.68;24.2;24.19;32.34
PEG Ratio;-0,23;-;-;-;-;-;-;-;-
P/VP;6,52;10,85;10,53;8,98;7,50;9,55;6,77;7,16;7,43
EV/EBITDA;75,54;28,07;30,91;33,99;26,24;30,55;-;-;-
EV/EBIT;75,54;28,07;30,91;33,99;26,24;30,55;20,78;19,75;21,46
P/EBITDA;78,51;28,46;31,17;34,36;26,47;30,72;-;-;-
P/EBIT;78,51;28,46;31,17;34,36;26,47;30,72;21,46;20,24;21,95
VPA;44,16;38,00;31,80;27,70;25,67;25,72;24,54;18,62;16,40
P/Ativo;4,53;7,46;7,08;5,81;4,49;5,36;3,80;3,92;3,82
LPA;12.39;11.48;8.53;5.71;5.7;6.35;6.86;5.51;3.77
P/SR;3,71;5,58;5,31;4,58;3,73;4,42;3,10;2,93;3,77
P/Cap. Giro;-;-;-;-;-;-;18,89;18,85;17,88
P/Ativo Circ. Liq.;-4,53;-7,46;-7,08;-5,81;-4,49;-5,36;-6,33;-6,61;-6,52
Dív. líquida/PL;-0,25;-0,15;-0,09;-0,10;-0,07;-0,06;-0,21;-0,17;-0,16
Dív. líquida/EBITDA;-2,96;-0,39;-0,26;-0,38;-0,24;-0,18;-;-;-
Dív. líquida/EBIT;-2,96;-0,39;-0,26;-0,38;-0,24;-0,18;-0,67;-0,49;-0,49
PL/Ativos;0,69;0,69;0,67;0,65;0,60;0,56;0,56;0,55;0,51
Passivos/Ativos;0,31;0,31;0,33;0,35;0,40;0,44;0,44;0,45;0,49
Liq. corrente;-;-;-;-;-;-;2,02;2,04;2,07
M. Bruta;9,61%;40,16%;39,01%;36,79%;37,90%;38,16%;14,42%;14,45%;17,16%
M. EBITDA;4,72%;19,60%;17,04%;13,32%;14,09%;14,37%;-%;-%;-%
M. EBIT;4,72%;19,60%;17,04%;13,32%;14,09%;14,37%;14,42%;14,45%;17,16%
M. Líquida;15,96%;15,53%;13,53%;10,51%;11,03%;11,42%;12,79%;12,10%;11,64%
ROE;28,06%;30,21%;26,83%;20,61%;22,19%;24,69%;27,96%;29,60%;22,98%
ROA;19,49%;20,78%;18,04%;13,33%;13,29%;13,85%;15,71%;16,21%;11,83%
ROIC;0,85%;30,21%;26,83%;20,75%;21,03%;22,90%;22,57%;24,38%;18,41%
Giro ativos;1,22;1,34;1,33;1,27;1,20;1,21;1,23;1,34;1,02
CAGR Receitas 5 anos;9,30%;6,72%;10,92%;11,09%;11,28%;11,98%;12,29%;-21,04%;-19,84%
CAGR Lucros 5 anos;13,64%;9,13%;8,67%;7,20%;10,92%;13,59%;12,13%;4,25%;4,48%
