;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,12%;4,98%;4,37%;3,04%;2,65%;2,62%;2,52%;3,11%;3,01%
Div;0.75;2.85;2.71;2.55;2.41;2.27;2.15;2.02;1.9
P/L;18.82;25.94;-48.78;20.79;25.67;24.61;30.3;19.95;20.26
PEG Ratio;0,23;-;-;-;-;-;-;-;-
P/VP;1,58;1,40;1,52;1,89;2,15;2,11;2,18;1,79;1,81
EV/EBITDA;19,06;12,05;34,28;12,26;14,61;14,43;15,16;11,89;11,68
EV/EBIT;124,12;21,13;82,47;20,17;23,67;22,40;24,67;18,87;16,73
P/EBITDA;8,84;5,10;15,45;6,98;8,98;9,11;9,82;7,11;7,00
P/EBIT;57,55;8,94;37,17;11,48;14,54;14,14;15,98;11,27;10,03
VPA;42,72;41,02;40,55;44,41;42,39;41,02;39,01;36,25;34,98
P/Ativo;0,41;0,35;0,39;0,55;0,65;0,64;0,67;0,54;0,55
LPA;3.58;2.21;-1.27;4.03;3.54;3.52;2.81;3.26;3.12
P/SR;1,92;1,77;1,81;2,38;3,18;3,33;3,23;2,44;2,58
P/Cap. Giro;-13,04;-12,80;-10,31;-11,34;-12,16;-16,62;-23,13;-11,32;-18,17
P/Ativo Circ. Liq.;-0,44;-0,39;-0,42;-0,60;-0,69;-0,69;-0,71;-0,57;-0,59
Dív. líquida/PL;1,83;1,91;1,85;1,43;1,35;1,23;1,19;1,21;1,21
Dív. líquida/EBITDA;10,22;6,95;18,83;5,28;5,63;5,32;5,34;4,79;4,68
Dív. líquida/EBIT;66,57;12,19;45,30;8,69;9,12;8,26;8,69;7,60;6,70
PL/Ativos;0,26;0,25;0,25;0,29;0,30;0,31;0,31;0,30;0,31
Passivos/Ativos;0,74;0,75;0,74;0,71;0,70;0,69;0,69;0,70;0,69
Liq. corrente;0,71;0,76;0,67;0,62;0,56;0,64;0,67;0,56;0,69
M. Bruta;12,59%;51,69%;40,69%;44,02%;48,17%;49,82%;48,36%;47,04%;50,43%
M. EBITDA;21,76%;34,72%;11,72%;34,07%;35,38%;36,57%;32,88%;34,33%;36,89%
M. EBIT;3,34%;19,79%;4,87%;20,70%;21,85%;23,55%;20,21%;21,64%;25,75%
M. Líquida;10,22%;6,82%;-3,71%;11,43%;12,37%;13,53%;10,66%;12,23%;12,75%
ROE;8,38%;5,40%;-3,12%;9,08%;8,36%;8,57%;7,20%;8,99%;8,91%
ROA;2,18%;1,36%;-0,80%;2,64%;2,52%;2,61%;2,21%;2,70%;2,73%
ROIC;0,62%;4,41%;1,04%;5,51%;5,27%;5,56%;5,25%;6,04%;5,78%
Giro ativos;0,21;0,20;0,21;0,23;0,20;0,19;0,21;0,22;0,21
CAGR Receitas 5 anos;6,90%;7,11%;9,65%;5,24%;2,28%;1,95%;2,96%;4,32%;11,33%
CAGR Lucros 5 anos;-2,24%;-%;7,29%;5,31%;6,53%;2,09%;5,62%;13,44%;19,01%
