;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,86%;2,58%;3,73%;4,15%;2,37%;3,50%;2,59%;3,03%;2,90%
Div;10.16;7.37;9.25;8.79;8.35;8.3;7.8;7.44;7.0
P/L;20.03;24.74;39.23;33.53;47.04;27.21;45.26;41.52;36.81
PEG Ratio;0,23;-;-;-;-;-;-;-;-
P/VP;3,01;3,31;2,94;2,40;3,83;2,58;3,10;2,53;2,49
EV/EBITDA;20,81;14,12;17,43;15,68;22,52;16,01;27,09;23,80;24,12
EV/EBIT;45,00;21,20;31,41;27,80;38,02;25,77;52,88;48,11;48,30
P/EBITDA;14,97;10,41;12,76;10,93;17,70;11,43;21,03;17,81;17,82
P/EBIT;32,37;15,63;22,99;19,39;29,88;18,40;41,05;35,99;35,70
VPA;87,44;86,14;84,46;88,48;91,86;92,02;96,90;96,78;96,87
P/Ativo;1,29;1,42;1,29;1,11;1,77;1,20;1,56;1,31;1,28
LPA;13.14;11.54;6.32;6.32;7.49;8.72;6.65;5.91;6.56
P/SR;9,11;10,34;9,54;8,52;15,95;10,35;13,62;11,57;11,69
P/Cap. Giro;-;-;-;-;-;-;346,11;168,39;461,33
P/Ativo Circ. Liq.;-1,29;-1,42;-1,29;-1,11;-1,77;-1,20;-1,59;-1,33;-1,29
Dív. líquida/PL;1,18;1,18;1,07;1,04;1,04;1,03;0,89;0,85;0,88
Dív. líquida/EBITDA;5,84;3,71;4,67;4,74;4,82;4,58;6,06;6,00;6,29
Dív. líquida/EBIT;12,63;5,57;8,42;8,41;8,14;7,37;11,83;12,12;12,60
PL/Ativos;0,43;0,43;0,44;0,46;0,46;0,46;0,50;0,52;0,51
Passivos/Ativos;0,57;0,57;0,56;0,54;0,54;0,53;0,50;0,48;0,49
Liq. corrente;-;-;-;-;-;-;1,36;1,76;1,27
M. Bruta;69,38%;68,00%;68,17%;68,39%;66,58%;68,25%;70,51%;70,26%;70,27%
M. EBITDA;60,85%;99,31%;74,74%;77,93%;90,15%;90,55%;64,73%;64,98%;65,57%
M. EBIT;28,14%;66,17%;41,47%;43,95%;53,39%;56,25%;33,17%;32,15%;32,74%
M. Líquida;45,46%;41,79%;24,31%;25,41%;33,91%;38,03%;30,08%;27,87%;31,75%
ROE;15,03%;13,39%;7,48%;7,14%;8,15%;9,48%;6,86%;6,10%;6,77%
ROA;6,44%;5,74%;3,28%;3,30%;3,76%;4,40%;3,46%;3,15%;3,47%
ROIC;4,25%;9,66%;5,94%;6,04%;6,25%;6,85%;3,97%;3,75%;3,69%
Giro ativos;0,14;0,14;0,14;0,13;0,11;0,12;0,11;0,11;0,11
CAGR Receitas 5 anos;3,98%;3,58%;3,33%;2,17%;4,60%;8,50%;18,05%;20,58%;22,59%
CAGR Lucros 5 anos;15,86%;3,58%;3,03%;8,96%;22,81%;30,32%;20,94%;29,30%;59,07%
