;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,33%;1,13%;1,43%;2,06%;1,76%;3,04%;3,00%;3,85%;3,04%
Div;1.06;3.75;3.45;3.23;3.04;3.65;2.84;2.64;2.4
P/L;31.65;34.37;29.89;25.36;32.15;34.11;17.71;13.87;11.66
PEG Ratio;7,50;-;-;-;-;-;-;-;-
P/VP;6,60;7,05;5,05;3,66;4,20;3,22;2,43;1,85;2,02
EV/EBITDA;61,25;24,47;20,97;17,59;19,42;-;12,63;10,24;9,16
EV/EBIT;111,14;29,27;25,85;23,09;25,31;29,05;16,59;13,67;11,47
P/EBITDA;56,65;23,21;19,61;15,57;17,40;-;10,55;8,27;7,69
P/EBIT;102,80;27,77;24,18;20,44;22,67;25,38;13,85;11,04;9,63
VPA;48,51;47,06;47,66;42,83;41,16;37,30;38,90;37,18;39,16
P/Ativo;3,06;3,40;2,50;1,78;2,03;1,51;1,19;0,96;1,07
LPA;10.11;9.66;8.06;6.19;5.38;3.52;5.35;4.95;6.77
P/SR;4,67;5,24;4,15;3,01;3,51;2,69;1,83;1,38;1,71
P/Cap. Giro;46,78;33,06;24,49;26,17;230,50;14,59;10,89;12,21;10,67
P/Ativo Circ. Liq.;-4,36;-4,91;-3,59;-2,38;-2,60;-2,12;-1,63;-1,27;-1,43
Dív. líquida/PL;0,54;0,38;0,35;0,48;0,49;0,47;0,48;0,44;0,39
Dív. líquida/EBITDA;4,60;1,26;1,36;2,02;2,02;-;2,08;1,97;1,47
Dív. líquida/EBIT;8,34;1,51;1,67;2,65;2,64;3,67;2,73;2,63;1,84
PL/Ativos;0,46;0,48;0,50;0,49;0,48;0,47;0,49;0,52;0,53
Passivos/Ativos;0,54;0,52;0,50;0,51;0,52;0,53;0,51;0,48;0,47
Liq. corrente;1,28;1,50;1,51;1,38;1,04;1,56;1,70;1,47;1,64
M. Bruta;9,12%;38,20%;36,36%;33,19%;32,28%;30,52%;32,97%;32,85%;32,58%
M. EBITDA;8,24%;22,58%;21,14%;19,32%;20,19%;-%;17,35%;16,65%;22,19%
M. EBIT;4,54%;18,88%;17,15%;14,72%;15,49%;10,61%;13,22%;12,47%;17,71%
M. Líquida;14,74%;15,25%;13,87%;11,86%;10,92%;7,90%;10,34%;9,93%;14,63%
ROE;20,84%;20,52%;16,90%;14,45%;13,06%;9,44%;13,75%;13,32%;17,30%
ROA;9,66%;9,89%;8,37%;7,03%;6,30%;4,43%;6,74%;6,90%;9,15%
ROIC;1,14%;14,21%;11,92%;10,16%;9,16%;6,80%;10,04%;10,23%;12,93%
Giro ativos;0,66;0,65;0,60;0,59;0,58;0,56;0,65;0,70;0,63
CAGR Receitas 5 anos;3,07%;1,43%;0,34%;-0,12%;-3,06%;-1,05%;-0,40%;4,58%;4,23%
CAGR Lucros 5 anos;11,40%;8,45%;-3,78%;2,27%;-6,49%;4,28%;2,88%;19,65%;7,25%
