;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,71%;4,22%;4,75%;3,70%;3,17%;3,69%;2,97%;3,06%;-%
Div;2.7;2.6;2.48;2.33;2.18;2.05;1.93;1.73;
P/L;19.72;16.21;16.4;19.19;17.88;20.36;22.14;27.91;
PEG Ratio;-44,29;-;-;-;-;-;-;-;-
P/VP;1,63;1,42;1,24;1,52;1,70;1,44;1,74;1,50;-
EV/EBITDA;21,18;10,36;10,07;11,64;11,20;10,71;11,00;13,10;3,36
EV/EBIT;142,95;18,90;19,39;21,58;19,33;20,23;19,88;23,01;5,55
P/EBITDA;11,44;5,28;4,88;6,44;6,64;6,02;6,92;9,12;-
P/EBIT;77,21;9,62;9,39;11,95;11,45;11,37;12,51;16,02;-
VPA;44,69;43,29;42,06;41,32;40,32;38,50;37,50;37,92;27,17
P/Ativo;0,50;0,44;0,39;0,49;0,55;0,46;0,57;0,58;-
LPA;3.69;3.8;3.18;3.28;3.84;2.73;2.94;2.03;2.28
P/SR;2,85;2,42;2,18;2,47;2,82;2,56;2,88;3,50;-
P/Cap. Giro;-9,27;-7,76;-6,96;-8,75;-11,30;-17,21;-17,09;-12,61;-
P/Ativo Circ. Liq.;-0,53;-0,47;-0,41;-0,52;-0,59;-0,49;-0,61;-0,63;-
Dív. líquida/PL;1,39;1,37;1,32;1,23;1,17;1,12;1,02;0,65;0,98
Dív. líquida/EBITDA;9,74;5,09;5,19;5,20;4,56;4,69;4,08;3,98;3,36
Dív. líquida/EBIT;65,74;9,28;10,00;9,64;7,88;8,86;7,37;6,99;5,55
PL/Ativos;0,31;0,31;0,31;0,32;0,32;0,32;0,33;0,39;0,33
Passivos/Ativos;0,69;0,69;0,69;0,68;0,68;0,68;0,67;0,61;0,67
Liq. corrente;0,52;0,50;0,51;0,53;0,55;0,69;0,63;0,59;0,88
M. Bruta;10,33%;51,90%;50,21%;44,88%;47,11%;48,61%;70,54%;68,69%;69,30%
M. EBITDA;24,91%;45,88%;44,66%;38,26%;42,43%;42,57%;41,65%;38,35%;43,54%
M. EBIT;3,69%;25,16%;23,19%;20,64%;24,59%;22,55%;23,04%;21,83%;26,40%
M. Líquida;14,45%;14,94%;13,28%;12,85%;15,75%;12,58%;13,01%;12,53%;12,60%
ROE;8,26%;8,77%;7,57%;7,94%;9,52%;7,08%;7,84%;5,36%;8,39%
ROA;2,54%;2,71%;2,36%;2,55%;3,08%;2,28%;2,58%;2,09%;2,79%
ROIC;0,72%;6,10%;5,62%;5,49%;6,25%;5,38%;6,29%;5,24%;6,92%
Giro ativos;0,18;0,18;0,18;0,20;0,20;0,18;0,20;0,17;0,22
CAGR Receitas 5 anos;2,58%;5,20%;17,91%;16,87%;14,85%;14,62%;12,52%;2,60%;3,37%
CAGR Lucros 5 anos;5,45%;6,42%;18,37%;20,48%;16,19%;16,48%;12,93%;3,50%;8,69%
