;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;36.39;10.44;32.68;29.82;53.79;69.05;46.48;44.34;40.87
PEG Ratio;-0,45;-;-;-;-;-;-;-;-
P/VP;4,88;4,36;6,89;7,82;13,85;12,43;11,73;10,20;8,07
EV/EBITDA;82,17;23,33;29,19;23,24;43,11;53,91;37,40;36,44;20,66
EV/EBIT;113,54;25,64;32,23;25,06;46,49;60,11;40,21;40,01;22,26
P/EBITDA;87,90;25,29;29,86;23,56;43,58;54,69;38,12;36,86;20,92
P/EBIT;121,45;27,79;32,97;25,40;47,00;60,97;40,98;40,47;22,54
VPA;17,59;16,99;11,06;9,55;9,35;7,34;6,63;5,01;4,66
P/Ativo;3,75;3,34;4,90;5,47;9,51;7,86;7,50;6,01;4,21
LPA;2.36;7.09;2.33;2.5;2.41;1.32;1.67;1.15;0.92
P/SR;8,46;8,01;9,15;8,43;15,45;12,96;11,19;8,60;6,94
P/Cap. Giro;10,43;9,12;16,14;21,89;37,63;25,88;23,37;22,70;21,12
P/Ativo Circ. Liq.;-7,20;-6,44;-8,60;-8,73;-15,19;-13,71;-13,89;-10,54;-7,65
Dív. líquida/PL;-0,32;-0,34;-0,16;-0,11;-0,15;-0,18;-0,22;-0,12;-0,10
Dív. líquida/EBITDA;-5,73;-1,96;-0,67;-0,32;-0,47;-0,78;-0,72;-0,42;-0,26
Dív. líquida/EBIT;-7,91;-2,15;-0,75;-0,35;-0,51;-0,87;-0,78;-0,46;-0,28
PL/Ativos;0,77;0,77;0,71;0,70;0,69;0,63;0,64;0,59;0,52
Passivos/Ativos;0,23;0,23;0,29;0,30;0,31;0,37;0,36;0,41;0,48
Liq. corrente;4,00;4,18;3,38;3,03;3,08;3,46;3,31;2,61;1,80
M. Bruta;78,19%;79,46%;80,47%;79,93%;76,13%;75,36%;74,37%;74,77%;74,52%
M. EBITDA;9,63%;31,68%;30,64%;35,79%;35,46%;23,70%;29,36%;23,33%;33,18%
M. EBIT;6,97%;28,82%;27,74%;33,19%;32,88%;21,26%;27,30%;21,26%;30,80%
M. Líquida;23,25%;76,75%;27,99%;28,28%;28,73%;18,77%;24,08%;19,40%;16,99%
ROE;13,40%;41,75%;21,09%;26,21%;25,76%;18,00%;25,24%;23,00%;19,74%
ROA;10,31%;31,98%;14,98%;18,35%;17,68%;11,38%;16,14%;13,57%;10,30%
ROIC;1,61%;13,36%;17,08%;24,07%;23,66%;16,23%;22,51%;20,14%;15,20%
Giro ativos;0,44;0,42;0,54;0,65;0,62;0,61;0,67;0,70;0,61
CAGR Receitas 5 anos;4,58%;6,12%;5,38%;12,04%;11,96%;13,36%;12,72%;12,58%;12,04%
CAGR Lucros 5 anos;31,87%;14,19%;21,13%;21,42%;10,72%;5,24%;13,17%;14,89%;19,20%
