;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,66%;4,04%;4,01%;3,12%;5,60%;5,10%;3,18%;3,06%;3,32%
Div;1.6;1.52;1.44;1.35;2.29;1.53;1.45;1.38;1.31
P/L;15.64;15.38;15.41;19.8;23.53;14.9;15.09;21.75;10.02
PEG Ratio;0,97;-;-;-;-;-;-;-;-
P/VP;1,57;1,41;1,39;1,74;1,17;0,90;1,38;1,42;1,27
EV/EBITDA;19,19;10,23;9,96;11,11;7,22;6,46;7,15;8,10;6,74
EV/EBIT;79,06;18,25;17,83;21,31;21,70;17,08;14,54;20,91;13,60
P/EBITDA;9,20;4,63;4,52;5,82;3,54;2,79;3,89;4,47;3,52
P/EBIT;37,91;8,26;8,09;11,16;10,62;7,37;7,91;11,54;7,10
VPA;27,88;26,79;25,78;24,89;35,13;33,40;33,15;31,79;31,11
P/Ativo;0,39;0,35;0,35;0,45;0,30;0,23;0,35;0,36;0,32
LPA;2.8;2.45;2.33;2.18;1.74;2.01;3.02;2.07;3.93
P/SR;1,81;1,64;1,65;2,25;1,10;0,89;1,29;1,21;1,13
P/Cap. Giro;-74,03;-30,83;-19,77;-13,12;-18,64;-139,93;-20,63;22,67;34,49
P/Ativo Circ. Liq.;-0,42;-0,38;-0,38;-0,49;-0,34;-0,25;-0,39;-0,41;-0,36
Dív. líquida/PL;1,70;1,70;1,68;1,58;1,22;1,18;1,15;1,15;1,16
Dív. líquida/EBITDA;9,99;5,60;5,44;5,29;3,69;3,67;3,26;3,63;3,23
Dív. líquida/EBIT;41,15;9,99;9,74;10,15;11,07;9,71;6,62;9,37;6,51
PL/Ativos;0,25;0,25;0,25;0,26;0,26;0,25;0,26;0,26;0,26
Passivos/Ativos;0,75;0,75;0,75;0,74;0,74;0,75;0,74;0,74;0,74
Liq. corrente;0,94;0,87;0,82;0,69;0,87;0,98;0,85;1,17;1,10
M. Bruta;9,82%;40,84%;41,09%;42,10%;28,40%;28,84%;29,98%;27,71%;28,30%
M. EBITDA;19,72%;35,51%;36,53%;38,70%;31,23%;31,77%;33,05%;27,10%;32,07%
M. EBIT;4,79%;19,89%;20,39%;20,18%;10,40%;12,01%;16,26%;10,50%;15,90%
M. Líquida;11,60%;10,68%;10,71%;11,37%;4,69%;5,94%;8,53%;5,57%;11,26%
ROE;10,03%;9,14%;9,04%;8,77%;4,96%;6,02%;9,11%;6,52%;12,64%
ROA;2,48%;2,28%;2,29%;2,28%;1,28%;1,52%;2,35%;1,68%;3,24%
ROIC;0,92%;5,94%;5,81%;5,40%;4,38%;4,98%;6,87%;5,40%;7,93%
Giro ativos;0,21;0,21;0,21;0,20;0,27;0,26;0,28;0,30;0,29
CAGR Receitas 5 anos;-7,73%;-9,59%;-10,68%;2,99%;2,33%;4,66%;7,65%;7,40%;10,47%
CAGR Lucros 5 anos;-3,48%;3,03%;-10,49%;8,76%;-2,86%;12,59%;3,13%;26,64%;-14,79%
