;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,56%;-%;-%;-%;-%;0,26%;1,22%;1,10%;0,97%
Div;1.59;;;;;0.34;1.32;1.24;1.16
P/L;25.13;19.45;26.1;38.15;;-7.17;27.73;41.33;48.32
PEG Ratio;-1,27;-;-;-;-;-;-;-;-
P/VP;26,09;15,41;13,56;5,88;13,67;12,40;3,95;4,09;4,04
EV/EBITDA;20,15;7,91;8,60;6,95;19,79;-15,01;7,62;9,46;11,69
EV/EBIT;84,35;13,64;16,92;16,89;97,68;-8,16;16,86;26,32;31,94
P/EBITDA;20,99;7,78;8,38;6,78;18,21;-12,34;7,46;8,93;11,16
P/EBIT;87,85;13,42;16,47;16,48;89,87;-6,71;16,53;24,86;30,49
VPA;10,91;12,09;11,19;14,89;13,22;10,67;27,38;27,55;29,66
P/Ativo;1,39;1,07;0,96;0,62;1,31;1,00;0,73;0,93;0,99
LPA;11.33;9.58;5.82;2.3;0.08;-18.46;3.9;2.73;2.48
P/SR;2,43;1,75;1,62;1,15;3,27;3,60;1,30;1,50;1,82
P/Cap. Giro;-7,91;-6,32;-8,15;-6,76;-22,17;82,15;-5,26;-5,86;-7,81
P/Ativo Circ. Liq.;-2,85;-1,91;-1,68;-1,05;-2,10;-1,43;-1,15;-1,31;-1,41
Dív. líquida/PL;-1,04;0,25;0,37;0,15;1,19;2,69;0,08;0,24;0,19
Dív. líquida/EBITDA;-0,84;0,13;0,23;0,17;1,58;-2,67;0,15;0,53;0,53
Dív. líquida/EBIT;-3,50;0,22;0,45;0,42;7,81;-1,45;0,34;1,46;1,44
PL/Ativos;0,05;0,07;0,07;0,11;0,10;0,08;0,19;0,23;0,24
Passivos/Ativos;0,95;0,93;0,93;0,89;0,90;0,86;0,81;0,77;0,75
Liq. corrente;0,74;0,72;0,78;0,82;0,87;1,04;0,72;0,64;0,70
M. Bruta;19,83%;89,46%;87,75%;85,80%;82,30%;67,69%;82,79%;83,39%;82,53%
M. EBITDA;11,57%;22,53%;19,34%;16,98%;17,97%;-29,20%;17,39%;16,74%;16,27%
M. EBIT;2,76%;13,06%;9,84%;6,99%;3,64%;-53,68%;7,86%;6,01%;5,95%
M. Líquida;9,66%;9,01%;6,21%;3,02%;0,14%;-50,24%;4,68%;3,62%;3,76%
ROE;103,81%;79,25%;51,96%;15,42%;0,58%;-172,98%;14,24%;9,89%;8,36%
ROA;5,53%;5,51%;3,68%;1,63%;0,06%;-13,98%;2,64%;2,25%;2,04%
ROIC;1,52%;18,79%;11,98%;7,27%;2,47%;-33,05%;8,37%;7,52%;6,32%
Giro ativos;0,57;0,61;0,59;0,54;0,40;0,28;0,56;0,62;0,54
CAGR Receitas 5 anos;2,56%;2,73%;3,01%;-0,40%;-4,87%;15,93%;18,66%;20,07%;20,53%
CAGR Lucros 5 anos;16,91%;14,44%;-1,42%;-46,82%;-%;7,25%;11,76%;6,17%;-9,80%
