;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;4,33%;4,04%;4,08%;1,98%;3,11%;3,37%;3,71%;3,57%
Div;;6.48;6.47;6.01;4.49;3.61;3.56;3.35;3.12
P/L;29.37;37.11;42.17;22.9;36.69;31.08;32.57;27.56;23.0
PEG Ratio;1,58;-;-;-;-;-;-;-;-
P/VP;2,04;2,27;2,35;6,05;9,74;5,88;5,39;4,74;4,69
EV/EBITDA;33,49;18,84;24,66;18,41;27,80;-;21,34;19,04;17,73
EV/EBIT;93,50;29,25;34,97;23,30;34,64;29,35;29,04;25,85;23,25
P/EBITDA;24,04;14,11;19,03;13,91;23,76;-;15,65;13,49;12,71
P/EBIT;67,12;21,91;26,99;17,60;29,60;21,98;21,29;18,32;16,67
VPA;64,16;65,79;68,11;24,34;23,27;19,71;19,61;19,08;18,66
P/Ativo;0,95;1,10;1,23;1,62;2,90;1,59;1,60;1,46;1,48
LPA;4.47;4.03;3.8;6.43;6.18;3.73;3.24;3.28;3.8
P/SR;8,33;9,74;13,23;10,24;19,25;11,04;10,45;9,57;9,97
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,95;-1,10;-1,23;-1,62;-2,90;-1,59;-1,60;-1,46;-1,48
Dív. líquida/PL;0,80;0,76;0,70;1,96;1,66;1,97;1,96;1,95;1,85
Dív. líquida/EBITDA;9,45;4,73;5,63;4,50;4,04;-;5,69;5,55;5,02
Dív. líquida/EBIT;26,38;7,34;7,98;5,70;5,03;7,37;7,75;7,53;6,58
PL/Ativos;0,47;0,48;0,52;0,27;0,30;0,27;0,30;0,31;0,32
Passivos/Ativos;0,53;0,52;0,48;0,73;0,70;0,73;0,70;0,69;0,68
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;17,98%;74,47%;76,09%;77,38%;76,63%;73,41%;74,32%;75,62%;75,39%
M. EBITDA;34,64%;69,00%;69,52%;73,64%;81,03%;-%;66,82%;70,89%;78,44%
M. EBIT;12,41%;44,45%;49,02%;58,20%;65,02%;50,24%;49,10%;52,23%;59,83%
M. Líquida;28,36%;26,24%;31,37%;44,73%;52,47%;35,52%;32,10%;34,71%;43,35%
ROE;6,96%;6,13%;5,58%;26,40%;26,56%;18,91%;16,53%;17,21%;20,38%
ROA;3,24%;2,96%;2,93%;7,07%;7,90%;5,13%;4,92%;5,29%;6,42%
ROIC;1,42%;5,38%;4,85%;10,38%;11,08%;8,05%;8,32%;8,56%;9,69%
Giro ativos;0,11;0,11;0,09;0,16;0,15;0,14;0,15;0,15;0,15
CAGR Receitas 5 anos;20,01%;16,43%;11,73%;9,72%;11,63%;15,12%;18,11%;21,97%;24,63%
CAGR Lucros 5 anos;14,41%;13,58%;12,41%;19,34%;39,22%;37,33%;37,87%;52,94%;69,07%
