;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,36%;0,84%;0,80%;0,87%;0,66%;0,91%;1,04%;1,24%;1,13%
Div;1.05;4.03;3.82;3.49;3.21;3.03;2.79;2.48;2.18
P/L;18.33;34.01;38.81;38.67;45.97;33.87;28.86;28.5;29.19
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;5,00;9,55;11,22;11,53;18,07;14,09;15,14;14,48;13,47
EV/EBITDA;12,38;21,93;24,52;27,86;31,35;23,43;20,80;18,77;19,70
EV/EBIT;15,38;26,68;29,72;35,49;38,45;28,84;23,67;21,71;22,40
P/EBITDA;11,33;20,93;23,06;25,46;31,60;23,49;20,42;17,98;18,83
P/EBIT;14,08;25,46;27,94;32,44;38,75;28,91;23,24;20,79;21,41
VPA;58,43;50,29;42,53;34,81;26,89;23,59;17,72;13,83;14,31
P/Ativo;2,54;4,50;4,58;3,82;8,26;6,06;6,53;5,36;5,33
LPA;15.96;14.12;12.29;10.38;10.57;9.82;9.3;7.02;6.6
P/SR;4,71;8,29;8,71;8,32;11,54;8,45;7,09;5,64;6,17
P/Cap. Giro;52,49;108,22;63,55;35,52;29,73;22,33;27,90;36,29;36,20
P/Ativo Circ. Liq.;-3,06;-5,67;-5,69;-4,88;-14,23;-10,18;-10,43;-7,70;-7,51
Dív. líquida/PL;0,46;0,46;0,71;1,09;-0,14;-0,03;0,28;0,64;0,62
Dív. líquida/EBITDA;1,05;1,00;1,47;2,40;-0,25;-0,06;0,38;0,80;0,87
Dív. líquida/EBIT;1,30;1,22;1,78;3,06;-0,30;-0,07;0,43;0,92;0,99
PL/Ativos;0,51;0,47;0,41;0,33;0,46;0,43;0,43;0,37;0,40
Passivos/Ativos;0,49;0,53;0,59;0,67;0,54;0,57;0,57;0,63;0,60
Liq. corrente;1,40;1,25;1,59;1,99;2,96;3,05;2,67;1,95;2,04
M. Bruta;52,72%;54,07%;53,33%;52,76%;50,59%;53,45%;53,78%;51,17%;53,60%
M. EBITDA;41,60%;39,62%;37,78%;32,69%;36,53%;35,99%;34,73%;31,37%;32,79%
M. EBIT;33,48%;32,56%;31,18%;25,66%;29,78%;29,25%;30,52%;27,12%;28,84%
M. Líquida;25,72%;24,38%;22,45%;21,53%;25,11%;24,96%;24,58%;19,78%;21,15%
ROE;27,31%;28,09%;28,90%;29,81%;39,32%;41,61%;52,48%;50,79%;46,14%
ROA;13,87%;13,25%;11,81%;9,89%;17,96%;17,90%;22,61%;18,82%;18,27%
ROIC;18,38%;18,39%;16,53%;12,87%;25,52%;26,03%;29,59%;25,57%;23,45%
Giro ativos;0,54;0,54;0,53;0,46;0,72;0,72;0,92;0,95;0,86
CAGR Receitas 5 anos;8,95%;9,09%;8,59%;7,14%;8,22%;9,30%;9,49%;8,67%;9,18%
CAGR Lucros 5 anos;8,77%;11,88%;8,98%;3,35%;9,12%;10,77%;6,10%;6,46%;14,65%
