;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,47%;1,92%;1,95%;2,42%;1,12%;1,00%;1,72%;1,52%;0,76%
Div;1.37;5.4;4.93;4.19;2.9;2.6;2.6;2.45;1.9
P/L;16.7;15.65;15.92;11.43;13.1;53.51;73.12;9.21;22.31
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;2,43;2,46;2,42;1,75;2,84;3,76;2,22;2,17;4,16
EV/EBITDA;7,95;7,50;7,52;5,97;7,31;14,43;11,91;6,92;9,62
EV/EBIT;13,39;12,38;12,70;10,22;11,02;36,71;44,04;11,29;15,28
P/EBITDA;6,51;6,23;6,18;4,58;6,09;11,55;8,59;5,26;8,27
P/EBIT;10,97;10,30;10,44;7,83;9,18;29,40;31,76;8,58;13,13
VPA;119,40;114,52;104,40;98,81;91,21;69,02;68,00;74,38;60,00
P/Ativo;0,78;0,78;0,73;0,51;0,83;0,94;0,73;0,80;1,38
LPA;17.4;17.98;15.89;15.16;19.74;4.85;2.07;17.51;11.19
P/SR;0,78;0,77;0,70;0,47;0,82;0,99;0,57;0,64;1,11
P/Cap. Giro;22,97;13,97;12,58;7,18;9,90;11,40;9,69;11,34;14,19
P/Ativo Circ. Liq.;-0,99;-0,98;-0,92;-0,67;-1,10;-1,20;-0,96;-1,08;-1,86
Dív. líquida/PL;0,54;0,50;0,53;0,54;0,57;0,94;0,86;0,69;0,68
Dív. líquida/EBITDA;1,44;1,26;1,34;1,40;1,22;2,87;3,32;1,66;1,36
Dív. líquida/EBIT;2,42;2,08;2,27;2,39;1,85;7,31;12,28;2,71;2,15
PL/Ativos;0,32;0,32;0,30;0,29;0,29;0,25;0,33;0,37;0,33
Passivos/Ativos;0,68;0,68;0,70;0,71;0,71;0,75;0,67;0,63;0,67
Liq. corrente;1,19;1,36;1,37;1,43;1,51;1,58;1,45;1,39;1,59
M. Bruta;61,97%;61,81%;60,30%;60,09%;61,84%;60,66%;61,64%;62,63%;63,50%
M. EBITDA;11,94%;12,39%;11,35%;10,22%;13,41%;8,60%;6,59%;12,23%;13,41%
M. EBIT;7,09%;7,50%;6,72%;5,97%;8,89%;3,38%;1,78%;7,50%;8,44%
M. Líquida;4,65%;4,94%;4,41%;4,09%;6,23%;1,86%;0,77%;6,99%;4,97%
ROE;14,58%;15,70%;15,23%;15,34%;21,64%;7,03%;3,04%;23,55%;18,65%
ROA;4,67%;4,98%;4,56%;4,45%;6,32%;1,75%;0,99%;8,74%;6,17%
ROIC;10,03%;10,62%;10,00%;9,99%;13,37%;4,86%;3,19%;13,03%;11,32%
Giro ativos;1,00;1,01;1,03;1,09;1,01;0,94;1,28;1,25;1,24
CAGR Receitas 5 anos;4,70%;6,61%;9,16%;10,76%;7,84%;8,87%;8,13%;7,16%;5,08%
CAGR Lucros 5 anos;51,65%;-2,77%;5,01%;23,51%;4,14%;-25,32%;10,98%;8,08%;4,62%
