;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,95%;4,24%;4,31%;3,72%;3,75%;5,10%;3,13%;3,83%;4,70%
Div;0.43;1.69;1.58;1.56;1.56;1.56;1.52;1.44;1.44
P/L;19.52;23.45;19.11;59.1;18.49;15.39;28.92;19.58;-7.9
PEG Ratio;0,40;-;-;-;-;-;-;-;-
P/VP;2,03;1,84;2,02;2,36;2,73;2,30;3,76;2,82;3,47
EV/EBITDA;22,82;11,41;12,14;12,25;10,90;11,86;14,15;9,72;8,01
EV/EBIT;84,15;18,61;18,38;18,98;17,55;18,57;22,43;14,97;13,73
P/EBITDA;11,39;5,59;5,58;6,47;5,61;5,01;7,97;4,87;3,34
P/EBIT;42,02;9,12;8,45;10,02;9,04;7,85;12,63;7,49;5,73
VPA;22,15;21,60;18,17;17,77;15,21;13,34;12,91;13,32;8,82
P/Ativo;0,46;0,44;0,43;0,52;0,52;0,37;0,62;0,48;0,32
LPA;2.3;1.7;1.92;0.71;2.25;1.99;1.68;1.92;-3.88
P/SR;1,79;1,70;1,64;1,93;2,13;1,54;2,38;1,71;1,25
P/Cap. Giro;-18,25;-10,33;-7,47;-15,55;-20,12;-12,88;-10,86;-8,57;-13,58
P/Ativo Circ. Liq.;-0,50;-0,47;-0,46;-0,55;-0,56;-0,41;-0,66;-0,51;-0,35
Dív. líquida/PL;2,03;1,92;2,37;2,11;2,58;3,14;2,92;2,81;4,85
Dív. líquida/EBITDA;11,43;5,82;6,56;5,78;5,29;6,85;6,18;4,86;4,67
Dív. líquida/EBIT;42,13;9,49;9,93;8,96;8,51;10,73;9,80;7,48;8,00
PL/Ativos;0,23;0,24;0,21;0,22;0,19;0,16;0,16;0,17;0,09
Passivos/Ativos;0,77;0,76;0,79;0,78;0,81;0,84;0,84;0,83;0,91
Liq. corrente;0,75;0,56;0,48;0,61;0,73;0,74;0,50;0,52;0,76
M. Bruta;15,00%;67,52%;63,90%;63,14%;69,05%;71,55%;68,97%;67,61%;68,68%
M. EBITDA;15,75%;30,46%;29,30%;29,79%;37,96%;30,73%;29,87%;35,05%;37,33%
M. EBIT;4,27%;18,67%;19,36%;19,22%;23,58%;19,62%;18,84%;22,76%;21,77%
M. Líquida;9,19%;7,26%;8,56%;3,26%;11,53%;10,00%;8,23%;8,71%;-15,78%
ROE;10,39%;7,85%;10,56%;3,99%;14,79%;14,91%;13,02%;14,40%;-43,92%
ROA;2,38%;1,88%;2,26%;0,88%;2,82%;2,43%;2,15%;2,45%;-4,08%
ROIC;0,60%;5,86%;6,29%;4,38%;7,09%;6,27%;6,66%;7,85%;2,81%
Giro ativos;0,26;0,26;0,26;0,27;0,25;0,24;0,26;0,28;0,26
CAGR Receitas 5 anos;4,07%;2,71%;2,66%;0,79%;-6,41%;-6,02%;-5,44%;-6,45%;-7,85%
CAGR Lucros 5 anos;1,41%;-3,95%;-%;-%;13,30%;24,99%;28,02%;-%;-%
