;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;21.7;25.79;26.65;26.78;44.85;35.25;19.85;21.65;19.52
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;4,18;4,67;3,76;3,49;6,29;4,86;4,82;7,64;6,68
EV/EBITDA;15,19;16,88;16,24;16,15;28,50;20,35;12,33;13,24;11,30
EV/EBIT;16,93;19,47;20,00;21,00;37,00;25,27;13,89;14,55;12,50
P/EBITDA;16,68;18,22;17,58;17,22;29,57;22,02;13,93;14,81;12,90
P/EBIT;18,59;21,02;21,65;22,39;38,40;27,34;15,69;16,27;14,27
VPA;61,84;53,83;47,63;41,07;38,88;36,24;28,97;21,20;19,64
P/Ativo;2,38;2,60;2,01;1,64;2,97;2,32;2,50;3,77;3,32
LPA;11.92;9.75;6.72;5.36;5.46;4.99;7.04;7.48;6.72
P/SR;4,87;5,19;3,74;3,20;5,71;4,61;3,79;4,54;3,93
P/Cap. Giro;16,58;23,59;27,99;119,37;67,66;21,45;20,91;21,21;17,41
P/Ativo Circ. Liq.;-3,95;-4,17;-3,10;-2,56;-4,39;-3,76;-4,52;-8,27;-7,67
Dív. líquida/PL;-0,37;-0,34;-0,29;-0,22;-0,23;-0,37;-0,55;-0,81;-0,83
Dív. líquida/EBITDA;-1,49;-1,34;-1,34;-1,07;-1,08;-1,67;-1,59;-1,57;-1,60
Dív. líquida/EBIT;-1,66;-1,55;-1,65;-1,39;-1,40;-2,07;-1,80;-1,72;-1,77
PL/Ativos;0,57;0,56;0,53;0,47;0,47;0,48;0,52;0,49;0,50
Passivos/Ativos;0,43;0,44;0,47;0,53;0,53;0,52;0,48;0,51;0,50
Liq. corrente;1,56;1,42;1,26;1,04;1,16;1,39;1,37;1,49;1,50
M. Bruta;81,41%;80,20%;78,91%;79,98%;81,06%;82,65%;84,10%;83,28%;83,09%
M. EBITDA;29,17%;28,50%;21,28%;18,58%;19,30%;20,94%;27,19%;30,69%;30,46%
M. EBIT;26,18%;24,70%;17,28%;14,30%;14,86%;16,86%;24,13%;27,93%;27,54%
M. Líquida;22,42%;20,13%;14,04%;11,95%;12,72%;13,08%;19,07%;20,99%;20,13%
ROE;19,28%;18,11%;14,10%;13,05%;14,03%;13,77%;24,28%;35,29%;34,23%
ROA;10,96%;10,10%;7,53%;6,11%;6,63%;6,57%;12,62%;17,41%;16,99%
ROIC;19,28%;18,11%;14,10%;11,43%;12,14%;11,73%;24,28%;35,29%;34,23%
Giro ativos;0,49;0,50;0,54;0,51;0,52;0,50;0,66;0,83;0,84
CAGR Receitas 5 anos;4,66%;5,41%;5,22%;5,47%;4,13%;5,30%;7,85%;8,70%;11,61%
CAGR Lucros 5 anos;5,79%;-2,74%;-5,20%;-1,97%;-3,37%;6,57%;10,35%;8,86%;8,67%
