;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;9.5;37.0;25.72;25.17;50.57;79.68;88.04;24.67;21.93
PEG Ratio;0,53;-;-;-;-;-;-;-;-
P/VP;1,36;4,28;2,64;2,07;2,18;2,36;2,38;12,77;10,01
EV/EBITDA;13,58;15,78;12,29;12,18;15,67;-;29,75;13,78;16,06
EV/EBIT;42,06;24,46;20,00;22,75;37,25;41,00;63,41;17,67;20,68
P/EBITDA;7,34;13,11;9,62;9,21;12,03;-;23,47;11,59;13,75
P/EBIT;22,73;20,32;15,65;17,21;28,60;32,57;50,04;14,86;17,71
VPA;46,71;47,99;50,26;48,93;47,62;48,22;48,51;5,75;6,55
P/Ativo;0,43;1,50;0,87;0,76;0,88;1,02;1,01;2,60;2,66
LPA;6.71;5.55;5.16;4.02;2.05;1.43;1.31;2.98;2.99
P/SR;1,62;5,66;4,13;3,59;4,16;5,14;7,72;5,03;4,80
P/Cap. Giro;19,22;87,77;62,67;58,63;117,33;131,16;59,60;136,84;738,58
P/Ativo Circ. Liq.;-0,62;-2,16;-1,41;-1,13;-1,18;-1,31;-1,30;-3,24;-3,29
Dív. líquida/PL;1,16;0,87;0,73;0,67;0,66;0,61;0,64;2,42;1,68
Dív. líquida/EBITDA;6,24;2,67;2,67;2,97;3,64;-;6,27;2,19;2,30
Dív. líquida/EBIT;19,33;4,14;4,35;5,54;8,65;8,44;13,37;2,81;2,97
PL/Ativos;0,32;0,35;0,33;0,37;0,41;0,43;0,43;0,20;0,27
Passivos/Ativos;0,68;0,65;0,67;0,63;0,59;0,56;0,57;0,80;0,73
Liq. corrente;1,08;1,06;1,04;1,04;1,03;1,04;1,08;1,11;1,02
M. Bruta;15,27%;60,83%;59,83%;54,94%;49,91%;47,40%;47,88%;47,30%;46,91%
M. EBITDA;22,06%;43,21%;42,96%;38,97%;34,56%;-%;32,88%;43,40%;34,88%
M. EBIT;7,12%;27,87%;26,40%;20,86%;14,54%;15,78%;15,42%;33,85%;27,09%
M. Líquida;17,05%;15,31%;16,07%;14,26%;8,22%;6,45%;8,77%;20,38%;21,88%
ROE;14,36%;11,57%;10,28%;8,21%;4,31%;2,96%;2,71%;51,77%;45,62%
ROA;4,54%;4,06%;3,38%;3,02%;1,75%;1,28%;1,15%;10,54%;12,11%
ROIC;1,27%;9,75%;8,09%;6,03%;3,82%;4,05%;2,50%;19,30%;18,15%
Giro ativos;0,27;0,27;0,21;0,21;0,21;0,20;0,13;0,52;0,55
CAGR Receitas 5 anos;14,96%;26,81%;25,51%;24,13%;21,96%;14,99%;3,88%;5,13%;5,12%
CAGR Lucros 5 anos;28,52%;20,92%;15,22%;7,48%;0,60%;3,44%;12,87%;15,32%;14,53%
