;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;0,01%
Div;;;;;;;;;0.02
P/L;62.79;94.9;67.45;40.31;29.32;62.9;56.48;42.81;34.44
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;-23,45;-50,55;-42,09;-18,78;-103,62;44,91;37,45;18,84;10,77
EV/EBITDA;46,11;66,61;46,22;29,92;23,31;47,18;40,25;27,87;23,33
EV/EBIT;46,84;67,84;47,27;31,05;24,47;51,97;45,23;32,34;27,98
P/EBITDA;43,03;63,91;43,63;26,85;21,34;45,12;37,75;24,79;21,05
P/EBIT;43,72;65,09;44,61;27,87;22,40;49,70;42,42;28,76;25,23
VPA;-73,63;-39,38;-27,65;-31,88;-4,19;11,38;10,01;9,93;14,22
P/Ativo;21,91;28,33;18,38;10,44;7,33;9,26;7,57;4,07;3,66
LPA;27.5;20.98;17.26;14.85;14.79;8.12;6.63;4.37;4.45
P/SR;20,56;28,33;19,13;10,93;8,73;11,49;9,35;5,41;4,91
P/Cap. Giro;-284,17;205,22;153,42;98,25;-1.396,35;124,37;-308,96;-69,85;-292,20
P/Ativo Circ. Liq.;-35,20;-44,22;-28,42;-15,73;-11,31;-13,87;-11,10;-5,80;-4,86
Dív. líquida/PL;-;-;-;-;-;2,04;2,48;2,34;1,17
Dív. líquida/EBITDA;3,07;2,70;2,60;3,07;1,97;2,05;2,50;3,09;2,29
Dív. líquida/EBIT;3,12;2,75;2,66;3,18;2,07;2,26;2,81;3,58;2,74
PL/Ativos;-0,93;-0,56;-0,44;-0,56;-0,07;0,21;0,20;0,22;0,34
Passivos/Ativos;1,93;1,56;1,44;1,56;1,07;0,79;0,80;0,78;0,66
Liq. corrente;0,83;1,62;1,51;1,46;0,99;1,29;0,93;0,84;0,95
M. Bruta;82,23%;79,73%;79,45%;78,06%;74,75%;72,10%;70,96%;68,71%;69,24%
M. EBITDA;47,78%;44,34%;43,86%;40,71%;40,93%;25,46%;24,78%;21,84%;23,35%
M. EBIT;47,03%;43,53%;42,89%;39,23%;38,98%;23,11%;22,05%;18,82%;19,47%
M. Líquida;32,75%;29,86%;28,37%;27,12%;29,78%;18,26%;16,56%;12,65%;14,27%
ROE;-37,34%;-53,27%;-62,41%;-46,58%;-353,41%;71,41%;66,30%;44,00%;31,28%
ROA;34,90%;29,85%;27,26%;25,90%;25,01%;14,72%;13,40%;9,51%;10,63%
ROIC;59,97%;49,62%;44,72%;42,07%;37,64%;23,90%;20,80%;15,01%;15,44%
Giro ativos;1,07;1,00;0,96;0,96;0,84;0,81;0,81;0,75;0,74
CAGR Receitas 5 anos;8,16%;8,64%;8,05%;8,36%;9,07%;8,01%;6,11%;6,69%;7,30%
CAGR Lucros 5 anos;21,70%;27,69%;22,86%;29,07%;22,27%;15,15%;7,02%;7,72%;8,87%
