;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;4,06%;3,41%;3,94%;3,84%;2,62%;3,92%;3,06%;3,14%;1,98%
Div;1.91;1.44;1.36;1.26;1.14;1.08;0.94;0.74;0.6
P/L;13.76;13.14;10.62;9.62;11.18;14.85;9.02;7.28;10.17
PEG Ratio;1,63;-;-;-;-;-;-;-;-
P/VP;1,47;1,44;1,23;1,29;1,34;0,85;1,03;0,95;1,32
EV/EBITDA;-21,67;-8,84;-11,36;-9,02;-10,73;-19,52;-4,49;-5,56;-3,32
EV/EBIT;-33,28;-9,94;-12,68;-10,10;-11,69;-23,76;-5,06;-6,17;-3,65
P/EBITDA;20,24;6,33;5,27;5,52;7,00;7,12;5,15;4,25;5,73
P/EBIT;31,09;7,12;5,88;6,19;7,63;8,67;5,79;4,72;6,31
VPA;31,93;29,33;28,15;25,35;32,53;32,44;29,88;24,79;22,96
P/Ativo;0,15;0,13;0,11;0,11;0,14;0,10;0,13;0,11;0,15
LPA;3.42;3.22;3.25;3.41;3.89;1.86;3.41;3.23;2.98
P/SR;9,53;2,13;1,86;2,40;3,57;2,34;2,23;1,93;2,78
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,15;-0,13;-0,11;-0,11;-0,14;-0,10;-0,13;-0,11;-0,15
Dív. líquida/PL;-3,05;-3,45;-3,87;-3,41;-3,39;-3,18;-1,93;-2,19;-2,09
Dív. líquida/EBITDA;-41,91;-15,17;-16,64;-14,54;-17,73;-26,64;-9,64;-9,81;-9,05
Dív. líquida/EBIT;-64,37;-17,06;-18,56;-16,29;-19,32;-32,43;-10,85;-10,89;-9,96
PL/Ativos;0,10;0,09;0,09;0,08;0,11;0,11;0,13;0,11;0,11
Passivos/Ativos;0,90;0,91;0,91;0,92;0,89;0,89;0,87;0,89;0,89
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
M. EBITDA;47,10%;33,68%;35,23%;43,41%;51,00%;32,81%;43,30%;45,53%;48,41%
M. EBIT;30,67%;29,95%;31,58%;38,75%;46,81%;26,96%;38,48%;41,01%;43,99%
M. Líquida;69,27%;16,23%;17,50%;24,91%;31,92%;15,75%;24,71%;26,56%;27,29%
ROE;10,70%;10,97%;11,54%;13,45%;11,97%;5,72%;11,41%;13,03%;12,99%
ROA;1,06%;1,01%;1,03%;1,12%;1,26%;0,65%;1,43%;1,45%;1,48%
ROIC;1,32%;13,89%;15,09%;13,32%;13,43%;7,70%;13,69%;14,39%;12,72%
Giro ativos;0,02;0,06;0,06;0,05;0,04;0,04;0,06;0,05;0,05
CAGR Receitas 5 anos;6,28%;9,66%;3,93%;3,87%;3,63%;8,53%;2,06%;1,65%;0,64%
CAGR Lucros 5 anos;-1,63%;1,38%;2,33%;12,36%;-2,53%;12,37%;4,04%;7,18%;7,18%
