;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,04%;0,28%;0,41%;0,49%;0,49%;0,81%;0,79%;0,76%;0,68%
Div;0.38;1.19;0.84;0.56;0.48;0.43;0.39;0.33;0.3
P/L;39.54;28.86;22.69;16.73;24.91;12.74;15.96;14.3;29.19
PEG Ratio;0,50;-;-;-;-;-;-;-;-
P/VP;14,83;8,85;5,74;4,12;4,43;2,75;3,12;3,24;3,86
EV/EBITDA;98,81;17,82;14,93;13,02;14,66;8,02;9,39;8,42;11,54
EV/EBIT;172,65;21,68;18,01;17,31;19,85;10,47;12,42;10,80;15,73
P/EBITDA;101,02;18,40;15,27;12,42;13,43;7,32;8,56;8,26;11,37
P/EBIT;176,51;22,40;18,42;16,51;18,18;9,57;11,33;10,59;15,50
VPA;63,32;47,94;35,81;27,96;22,32;19,18;15,99;13,48;11,31
P/Ativo;5,73;3,20;2,22;1,58;1,62;1,09;1,21;1,52;1,83
LPA;23.75;14.69;9.06;6.88;3.97;4.13;3.12;3.06;1.5
P/SR;3,98;2,15;1,41;0,99;1,16;0,67;0,70;0,74;0,90
P/Cap. Giro;49,33;72,68;38,65;30,07;18,72;16,08;10,01;11,32;13,95
P/Ativo Circ. Liq.;-15,96;-7,85;-5,26;-3,19;-3,02;-2,02;-2,55;-3,56;-4,12
Dív. líquida/PL;-0,32;-0,28;-0,13;0,20;0,41;0,26;0,30;0,06;0,06
Dív. líquida/EBITDA;-2,21;-0,59;-0,33;0,60;1,24;0,69;0,82;0,16;0,17
Dív. líquida/EBIT;-3,86;-0,72;-0,40;0,80;1,68;0,90;1,09;0,21;0,23
PL/Ativos;0,39;0,36;0,39;0,38;0,36;0,40;0,39;0,47;0,47
Passivos/Ativos;0,61;0,64;0,61;0,62;0,64;0,60;0,61;0,53;0,53
Liq. corrente;1,22;1,08;1,11;1,12;1,23;1,17;1,30;1,31;1,31
M. Bruta;23,49%;21,01%;19,02%;17,91%;18,32%;19,15%;19,19%;20,44%;20,49%
M. EBITDA;3,94%;11,66%;9,23%;8,00%;8,65%;9,14%;8,15%;8,95%;7,94%
M. EBIT;2,25%;9,58%;7,65%;6,02%;6,39%;7,00%;6,16%;6,98%;5,82%
M. Líquida;10,06%;7,43%;6,21%;5,94%;4,66%;5,26%;4,37%;5,17%;3,09%
ROE;37,50%;30,65%;25,31%;24,60%;17,79%;21,56%;19,53%;22,67%;13,22%
ROA;14,50%;11,09%;9,78%;9,47%;6,49%;8,54%;7,60%;10,63%;6,27%
ROIC;-1,51%;29,84%;25,24%;19,04%;12,53%;17,01%;15,24%;20,28%;12,21%
Giro ativos;1,44;1,49;1,58;1,59;1,39;1,63;1,74;2,05;2,03
CAGR Receitas 5 anos;21,86%;18,99%;18,29%;13,47%;12,57%;13,14%;9,97%;6,08%;6,08%
CAGR Lucros 5 anos;35,51%;23,43%;34,79%;17,17%;24,92%;37,74%;32,86%;32,64%;-%
