;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,75%;1,09%;1,72%;1,61%;1,27%;1,58%;1,73%;-%;-%
Div;0.55;0.53;0.51;0.49;0.47;0.46;0.64;;
P/L;14.43;14.71;11.41;13.51;9.68;17.35;14.43;;
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;2,73;2,06;1,36;1,44;1,87;1,72;2,31;-;-
EV/EBITDA;8,21;8,68;6,77;7,06;5,89;9,69;9,74;-1,00;0,00
EV/EBIT;9,20;10,20;8,25;8,36;6,46;11,18;10,74;-1,10;0,00
P/EBITDA;8,87;8,10;5,94;6,66;5,73;8,20;8,58;-;-
P/EBIT;9,93;9,51;7,23;7,88;6,28;9,46;9,46;-;-
VPA;26,94;23,58;21,78;21,15;19,71;16,95;16,04;-;-
P/Ativo;1,41;1,00;0,65;0,73;0,91;0,80;1,18;-;-
LPA;5.1;3.3;2.6;2.25;3.81;1.68;2.57;;
P/SR;2,00;1,58;0,95;1,17;1,61;1,41;2,02;-;-
P/Cap. Giro;5,90;4,85;4,05;2,72;3,62;3,11;4,83;-;-
P/Ativo Circ. Liq.;-2,21;-1,53;-0,97;-1,17;-1,47;-1,22;-1,77;-;-
Dív. líquida/PL;0,10;0,27;0,28;0,18;0,19;0,33;0,35;-0,26;-
Dív. líquida/EBITDA;0,34;1,06;1,23;0,82;0,57;1,56;1,31;-1,00;-
Dív. líquida/EBIT;0,38;1,24;1,50;0,97;0,62;1,80;1,45;-1,10;-
PL/Ativos;0,52;0,49;0,47;0,51;0,49;0,46;0,51;0,73;-
Passivos/Ativos;0,47;0,50;0,52;0,48;0,50;0,52;0,49;0,27;-
Liq. corrente;2,91;2,54;1,93;3,61;2,91;3,93;3,78;3,17;-
M. Bruta;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;35,67%;35,93%;38,51%
M. EBITDA;22,60%;19,49%;15,97%;17,50%;28,16%;17,19%;23,54%;24,54%;28,08%
M. EBIT;20,17%;16,60%;13,10%;14,78%;25,66%;14,90%;21,35%;22,34%;25,80%
M. Líquida;13,88%;10,74%;8,31%;8,62%;16,66%;8,12%;14,00%;21,54%;13,83%
ROE;18,92%;14,01%;11,94%;10,63%;19,33%;9,90%;16,02%;22,80%;-%
ROA;9,76%;6,83%;5,67%;5,43%;9,38%;4,59%;8,18%;16,67%;-%
ROIC;13,57%;9,88%;8,36%;8,65%;13,61%;7,93%;11,07%;23,04%;-%
Giro ativos;0,70;0,64;0,68;0,63;0,56;0,57;0,58;0,77;-
CAGR Receitas 5 anos;4,18%;7,99%;7,09%;-%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;-1,21%;-10,74%;-2,56%;-%;-%;-%;-%;-%;-%
