;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;20.15;14.6;22.16;-361.57;19.77;26.32;-51.32;30.83;-42.58
PEG Ratio;-0,20;-;-;-;-;-;-;-;-
P/VP;3,13;2,37;2,75;2,74;1,56;1,90;1,16;0,85;1,38
EV/EBITDA;27,56;9,46;13,91;46,72;7,74;16,39;37,42;8,78;12,98
EV/EBIT;58,47;12,24;18,65;651,94;10,49;28,42;-45,20;17,04;19,55
P/EBITDA;29,09;10,10;15,18;54,96;9,34;19,06;52,47;16,49;20,55
P/EBIT;61,72;13,06;20,36;766,89;12,65;33,05;-63,38;32,00;30,94
VPA;84,01;74,51;62,59;54,74;56,05;52,10;48,35;49,73;48,82
P/Ativo;2,10;1,56;1,78;1,94;1,25;1,47;0,78;0,62;1,03
LPA;13.05;12.07;7.78;-0.41;4.41;3.76;-1.09;1.38;-1.59
P/SR;5,59;4,49;5,55;6,10;3,17;3,87;1,93;1,98;2,40
P/Cap. Giro;10,04;6,27;5,53;5,80;3,76;4,84;2,59;1,48;2,22
P/Ativo Circ. Liq.;-3,73;-2,68;-3,21;-3,58;-2,19;-2,56;-1,51;-1,36;-2,33
Dív. líquida/PL;-0,16;-0,15;-0,23;-0,41;-0,27;-0,27;-0,33;-0,40;-0,51
Dív. líquida/EBITDA;-1,53;-0,63;-1,27;-8,24;-1,60;-2,67;-15,06;-7,71;-7,56
Dív. líquida/EBIT;-3,25;-0,82;-1,71;-114,95;-2,17;-4,63;18,19;-14,96;-11,39
PL/Ativos;0,67;0,66;0,65;0,71;0,80;0,78;0,68;0,73;0,74
Passivos/Ativos;0,33;0,34;0,35;0,29;0,20;0,22;0,32;0,27;0,26
Liq. corrente;1,91;2,45;3,55;3,65;4,39;3,56;2,73;4,57;5,89
M. Bruta;40,05%;44,17%;39,19%;2,67%;24,97%;25,10%;17,93%;17,48%;18,66%
M. EBITDA;19,21%;44,43%;36,53%;11,09%;33,95%;20,29%;3,67%;12,02%;11,67%
M. EBIT;9,05%;34,36%;27,25%;0,79%;25,06%;11,70%;-3,04%;6,20%;7,75%
M. Líquida;27,73%;30,72%;25,03%;-1,69%;16,03%;14,69%;-3,75%;6,43%;-5,63%
ROE;15,53%;16,20%;12,42%;-0,76%;7,86%;7,22%;-2,26%;2,77%;-3,25%
ROA;10,41%;10,66%;8,02%;-0,54%;6,32%;5,60%;-1,53%;2,03%;-2,41%
ROIC;3,99%;15,50%;11,64%;-0,53%;10,15%;3,62%;-1,77%;2,39%;-2,62%
Giro ativos;0,38;0,35;0,32;0,32;0,39;0,38;0,41;0,32;0,43
CAGR Receitas 5 anos;6,55%;8,14%;-2,29%;0,13%;-7,99%;-2,01%;-7,48%;-2,68%;0,98%
CAGR Lucros 5 anos;-%;41,91%;-%;-%;-7,66%;-%;-16,27%;-%;-%
