;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;20.45;29.75;10.97;32.68;58.45;-28.13;84.65;142.32;50.05
PEG Ratio;-0,37;-;-;-;-;-;-;-;-
P/VP;184,56;40,27;242,45;-34,69;173,36;-1.079,66;15,02;13,84;14,03
EV/EBITDA;51,25;28,87;-;20,89;28,99;-80,82;30,14;30,66;21,89
EV/EBIT;74,90;33,10;-;28,97;44,23;-40,28;59,07;72,54;45,62
P/EBITDA;43,85;26,32;20,00;16,50;24,45;-69,15;27,08;27,06;17,26
P/EBIT;64,08;30,17;25,88;22,89;37,31;-34,47;53,08;64,02;35,97
VPA;0,68;4,90;-;-2,16;0,49;-0,08;4,52;4,74;3,58
P/Ativo;2,12;3,38;1,99;1,65;1,91;2,17;1,84;1,80;1,19
LPA;6.13;6.63;;2.29;1.45;-2.95;0.8;0.46;1.0
P/SR;3,48;6,09;3,54;2,81;3,71;4,20;3,88;4,13;3,06
P/Cap. Giro;-12,93;-37,33;-10,57;-13,12;-25,90;-13,62;-27,24;-23,91;-9,09
P/Ativo Circ. Liq.;-2,71;-4,44;-2,39;-2,14;-2,56;-2,71;-2,45;-2,36;-1,46
Dív. líquida/PL;31,16;3,91;-;-;32,15;-;1,70;1,84;3,77
Dív. líquida/EBITDA;7,40;2,56;-;4,38;4,53;-11,67;3,06;3,60;4,63
Dív. líquida/EBIT;10,82;2,93;-;6,08;6,92;-5,81;5,99;8,52;9,65
PL/Ativos;0,01;0,08;-;-0,05;0,01;0,00;0,12;0,13;0,08
Passivos/Ativos;0,99;0,92;-;1,05;0,99;1,00;0,88;0,87;0,92
Liq. corrente;0,57;0,72;-;0,64;0,78;0,56;0,79;0,76;0,59
M. Bruta;15,83%;63,88%;-%;63,72%;64,04%;65,07%;65,64%;66,40%;65,25%
M. EBITDA;7,93%;23,16%;-%;17,05%;15,18%;-6,07%;14,33%;15,24%;17,72%
M. EBIT;5,43%;20,20%;-%;12,29%;9,95%;-12,18%;7,31%;6,44%;8,50%
M. Líquida;17,01%;20,49%;-%;8,61%;6,35%;-14,93%;4,58%;2,90%;6,11%
ROE;902,51%;135,37%;-%;-106,15%;296,57%;-3.837,98%;17,75%;9,73%;28,04%
ROA;10,38%;11,38%;-%;5,05%;3,27%;-7,70%;2,17%;1,27%;2,38%
ROIC;3,62%;16,76%;-%;14,27%;9,30%;-13,07%;6,52%;5,07%;5,86%
Giro ativos;0,61;0,56;-;0,59;0,51;0,52;0,47;0,44;0,39
CAGR Receitas 5 anos;8,88%;9,85%;-%;15,61%;15,59%;16,59%;18,66%;19,63%;-%
CAGR Lucros 5 anos;46,89%;77,93%;-%;-%;-%;-%;-%;-%;-%
