;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,12%;0,67%;0,31%;0,47%;0,25%;0,05%;0,04%;0,61%;0,60%
Div;0.37;1.12;0.32;;0.19;0.04;0.04;0.37;0.84
P/L;40.64;27.32;12.12;;-12.82;144.71;-156.6;-23.49;-142.23
PEG Ratio;1,40;-;-;-;-;-;-;-;-
P/VP;17,41;9,26;4,06;2,18;2,07;21,29;27,54;16,95;21,54
EV/EBITDA;89,84;18,77;8,77;20,70;75,46;54,39;75,19;-58,51;-2.537,57
EV/EBIT;133,07;21,35;9,67;109,30;-50,19;93,03;153,44;-34,77;-188,14
P/EBITDA;87,88;18,29;8,80;20,52;69,53;52,24;71,07;-54,47;-2.432,88
P/EBIT;130,16;20,81;9,71;108,35;-46,25;89,36;145,04;-32,37;-180,37
VPA;17,83;18,01;25,18;30,94;36,68;4,06;3,24;3,56;6,46
P/Ativo;2,55;1,45;0,64;0,39;0,42;2,99;2,94;1,69;3,27
LPA;7.64;6.11;8.44;0.05;-5.93;0.6;-0.57;-2.57;-0.98
P/SR;7,45;4,63;3,15;1,26;1,13;9,51;8,19;5,41;12,15
P/Cap. Giro;114,11;55,22;10,65;8,20;5,81;23,40;32,18;38,41;60,27
P/Ativo Circ. Liq.;-3,72;-2,09;-0,85;-0,56;-0,63;-4,59;-4,81;-2,58;-5,33
Dív. líquida/PL;0,39;0,24;-0,01;0,02;0,18;0,88;1,60;1,26;0,93
Dív. líquida/EBITDA;1,97;0,48;-0,03;0,18;5,92;2,15;4,12;-4,04;-104,69
Dív. líquida/EBIT;2,91;0,54;-0,03;0,94;-3,94;3,67;8,40;-2,40;-7,76
PL/Ativos;0,15;0,16;0,16;0,18;0,20;0,14;0,11;0,10;0,15
Passivos/Ativos;0,85;0,84;0,84;0,82;0,80;0,86;0,89;0,90;0,84
Liq. corrente;1,08;1,09;1,33;1,18;1,28;1,58;1,31;1,15;1,16
M. Bruta;8,26%;30,92%;26,94%;19,34%;24,28%;21,10%;26,27%;25,58%;11,60%
M. EBITDA;8,48%;25,30%;35,78%;6,16%;1,62%;18,20%;11,52%;-9,94%;-0,50%
M. EBIT;5,73%;22,24%;32,45%;1,17%;-2,44%;10,64%;5,65%;-16,72%;-6,74%
M. Líquida;18,34%;16,94%;25,99%;0,09%;-8,79%;6,57%;-5,23%;-23,04%;-8,55%
ROE;42,86%;33,90%;33,53%;0,15%;-16,17%;14,71%;-17,58%;-72,16%;-15,14%
ROA;6,29%;5,32%;5,30%;0,03%;-3,28%;2,06%;-1,88%;-7,19%;-2,30%
ROIC;2,79%;19,80%;21,86%;1,17%;-2,77%;7,23%;3,90%;-12,12%;-4,98%
Giro ativos;0,34;0,31;0,20;0,31;0,37;0,31;0,36;0,31;0,27
CAGR Receitas 5 anos;-16,48%;-18,28%;-21,74%;-9,09%;-7,47%;-4,07%;-3,05%;-7,51%;-4,00%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%;-%;-10,58%
