;2025;2024;2023
D.Y;-%;0,08%;-%
Div;;0.26;
P/L;105.02;58.42;
PEG Ratio;1,17;-;-
P/VP;20,70;9,50;-
EV/EBITDA;90,72;23,23;-1,66
EV/EBIT;172,21;34,68;48,47
P/EBITDA;94,93;25,54;-
P/EBIT;180,21;38,13;-
VPA;31,76;34,63;27,26
P/Ativo;3,29;1,76;-
LPA;6.26;5.63;-1.61
P/SR;4,75;2,60;-
P/Cap. Giro;177,88;36,74;-
P/Ativo Circ. Liq.;-9,88;-5,23;-
Dív. líquida/PL;-0,92;-0,86;-0,21
Dív. líquida/EBITDA;-4,21;-2,31;-1,66
Dív. líquida/EBIT;-8,00;-3,45;48,47
PL/Ativos;0,16;0,19;0,16
Passivos/Ativos;0,84;0,81;0,84
Liq. corrente;1,03;1,08;0,94
M. Bruta;19,47%;17,42%;14,50%
M. EBITDA;5,00%;10,16%;2,80%
M. EBIT;2,64%;6,81%;-0,10%
M. Líquida;4,52%;4,44%;-1,32%
ROE;19,71%;16,26%;-5,91%
ROA;3,13%;3,01%;-0,95%
ROIC;-1,73%;15,07%;-5,07%
Giro ativos;0,69;0,68;0,72
CAGR Receitas 5 anos;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%
