;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;26.82;29.22;36.22;15.47;40.73;40.76;24.96;12.95;19.51
PEG Ratio;14,28;-;-;-;-;-;-;-;-
P/VP;3,06;3,71;3,32;2,74;10,13;10,28;6,09;4,06;5,56
EV/EBITDA;25,92;15,27;16,38;10,35;28,39;26,37;16,09;9,36;12,82
EV/EBIT;55,78;20,63;23,58;13,28;32,10;30,30;19,01;10,75;15,70
P/EBITDA;22,76;13,71;13,92;8,55;27,38;25,96;14,74;7,63;10,20
P/EBIT;48,99;18,52;20,04;10,98;30,95;29,82;17,42;8,76;12,50
VPA;45,05;41,84;38,91;36,76;34,74;22,12;16,51;12,26;8,91
P/Ativo;1,44;1,81;1,53;1,20;4,60;4,42;2,36;1,27;1,52
LPA;5.13;5.31;3.57;6.5;8.64;5.58;4.03;3.84;2.54
P/SR;1,86;2,15;1,93;1,35;6,00;5,75;2,85;1,52;1,83
P/Cap. Giro;5,96;9,25;6,96;5,19;32,38;13,90;9,00;5,51;7,19
P/Ativo Circ. Liq.;-2,61;-3,00;-2,51;-2,07;-7,40;-9,13;-4,28;-2,36;-2,56
Dív. líquida/PL;0,42;0,42;0,59;0,58;0,38;0,17;0,56;0,92;1,43
Dív. líquida/EBITDA;3,16;1,56;2,46;1,80;1,02;0,42;1,35;1,73;2,62
Dív. líquida/EBIT;6,79;2,11;3,54;2,30;1,15;0,48;1,59;1,99;3,21
PL/Ativos;0,47;0,49;0,46;0,44;0,45;0,43;0,39;0,31;0,27
Passivos/Ativos;0,53;0,51;0,54;0,54;0,53;0,55;0,59;0,66;0,70
Liq. corrente;2,18;1,97;2,27;2,20;1,60;2,60;2,41;2,00;2,08
M. Bruta;39,45%;38,77%;33,94%;33,34%;36,39%;38,53%;36,19%;35,83%;34,82%
M. EBITDA;8,15%;15,69%;13,88%;15,83%;21,92%;22,15%;19,36%;19,98%;17,98%
M. EBIT;3,79%;11,62%;9,64%;12,34%;19,39%;19,28%;16,38%;17,40%;14,67%
M. Líquida;6,92%;7,36%;5,33%;8,75%;14,73%;14,11%;11,43%;11,77%;9,40%
ROE;11,39%;12,68%;9,17%;17,70%;24,87%;25,22%;24,41%;31,33%;28,48%
ROA;5,38%;6,19%;4,21%;7,73%;11,29%;10,84%;9,45%;9,82%;7,79%
ROIC;2,37%;10,62%;8,04%;12,57%;18,46%;16,71%;15,22%;16,75%;13,64%
Giro ativos;0,78;0,84;0,79;0,88;0,77;0,77;0,83;0,83;0,83
CAGR Receitas 5 anos;14,28%;14,73%;22,14%;20,88%;13,54%;8,58%;6,37%;7,38%;12,82%
CAGR Lucros 5 anos;4,65%;-2,07%;20,41%;41,47%;35,15%;7,61%;6,42%;11,10%;-21,44%
