;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,83%;3,43%;2,74%;2,06%;2,33%;3,15%;2,87%;3,00%;2,84%
Div;1.03;4.0;3.79;3.57;3.27;3.14;3.05;2.88;2.7
P/L;21.27;17.92;14.68;20.68;22.18;-497.85;24.85;17.39;22.59
PEG Ratio;-0,83;-;-;-;-;-;-;-;-
P/VP;3,59;3,74;4,39;6,45;5,71;4,52;4,20;4,08;4,08
EV/EBITDA;31,92;11,90;10,26;13,60;13,92;21,69;15,53;11,91;13,84
EV/EBIT;109,60;15,72;12,25;16,48;17,13;34,19;20,07;14,35;16,05
P/EBITDA;25,50;9,64;8,96;12,26;12,83;19,42;12,90;9,93;11,43
P/EBIT;87,57;12,73;10,70;14,85;15,79;30,63;16,67;11,97;13,26
VPA;34,41;31,25;31,53;26,89;24,55;22,21;25,29;23,51;23,27
P/Ativo;0,83;0,84;1,08;1,48;1,39;1,08;1,05;1,11;1,12
LPA;5.81;6.51;9.43;8.39;6.32;-0.2;4.27;5.52;4.21
P/SR;0,71;0,69;0,84;1,11;1,06;0,88;0,80;0,75;0,85
P/Cap. Giro;13,40;12,21;10,87;21,63;16,97;11,88;9,99;8,41;7,58
P/Ativo Circ. Liq.;-1,72;-1,72;-2,31;-3,18;-3,02;-2,29;-2,30;-2,76;-2,73
Dív. líquida/PL;0,90;0,88;0,64;0,71;0,49;0,53;0,86;0,81;0,86
Dív. líquida/EBITDA;6,42;2,26;1,30;1,34;1,09;2,26;2,63;1,98;2,40
Dív. líquida/EBIT;22,03;2,99;1,55;1,62;1,34;3,57;3,40;2,39;2,79
PL/Ativos;0,23;0,22;0,24;0,23;0,24;0,24;0,25;0,27;0,27
Passivos/Ativos;0,77;0,78;0,76;0,77;0,76;0,76;0,75;0,73;0,73
Liq. corrente;1,14;1,16;1,23;1,15;1,18;1,21;1,24;1,28;1,34
M. Bruta;37,03%;36,29%;35,90%;35,03%;35,16%;34,19%;32,57%;31,94%;30,08%
M. EBITDA;2,80%;7,16%;9,34%;9,03%;8,23%;4,51%;6,17%;7,57%;7,47%
M. EBIT;0,82%;5,42%;7,82%;7,45%;6,69%;2,86%;4,78%;6,29%;6,44%
M. Líquida;3,36%;3,85%;5,70%;5,35%;4,76%;-0,18%;3,20%;4,33%;3,78%
ROE;16,89%;20,84%;29,91%;31,20%;25,75%;-0,91%;16,90%;23,49%;18,08%
ROA;3,91%;4,69%;7,33%;7,17%;6,26%;-0,22%;4,24%;6,39%;4,97%
ROIC;-0,46%;11,61%;16,62%;17,65%;16,29%;4,37%;10,09%;13,84%;9,89%
Giro ativos;1,16;1,22;1,29;1,34;1,31;1,23;1,32;1,48;1,31
CAGR Receitas 5 anos;3,91%;4,27%;6,26%;4,23%;1,59%;4,80%;5,88%;4,62%;4,25%
CAGR Lucros 5 anos;7,80%;10,19%;13,91%;5,51%;-%;-2,68%;3,42%;-0,98%;3,99%
