;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,32%;0,89%;0,79%;1,01%;0,66%;0,36%;0,12%;0,04%;0,04%
Div;0.25;1.0;1.0;0.99;0.89;0.77;0.22;0.04;0.04
P/L;12.78;17.75;33.53;234.36;39.87;110.32;127.42;36.09;34.06
PEG Ratio;0,34;-;-;-;-;-;-;-;-
P/VP;0,81;1,25;1,44;1,17;1,50;2,36;1,97;4,09;4,20
EV/EBITDA;11,56;9,34;12,94;15,67;15,33;27,45;35,52;15,72;18,72
EV/EBIT;29,09;16,81;26,38;56,90;35,18;77,00;76,30;27,63;35,08
P/EBITDA;6,65;6,19;8,87;10,68;12,17;24,52;31,05;12,25;15,00
P/EBIT;16,75;11,14;18,07;38,78;27,93;68,78;66,68;21,53;28,11
VPA;95,75;89,59;88,33;84,78;90,00;91,31;92,68;25,23;23,84
P/Ativo;0,38;0,59;0,65;0,58;0,85;1,46;1,23;1,23;1,23
LPA;6.1;6.31;3.79;0.42;3.39;1.95;1.43;2.86;2.94
P/SR;2,23;2,76;3,43;2,91;4,52;8,69;11,17;4,85;4,01
P/Cap. Giro;-15,05;-129,00;-636,30;-44,70;155,23;1.490,29;69,71;151,66;32,69
P/Ativo Circ. Liq.;-0,45;-0,68;-0,78;-0,68;-0,95;-1,63;-1,37;-1,66;-1,83
Dív. líquida/PL;0,60;0,64;0,66;0,55;0,39;0,28;0,28;1,16;1,04
Dív. líquida/EBITDA;4,90;3,15;4,08;4,99;3,16;2,93;4,48;3,47;3,72
Dív. líquida/EBIT;12,34;5,68;8,31;18,12;7,25;8,22;9,61;6,10;6,98
PL/Ativos;0,47;0,48;0,45;0,50;0,57;0,62;0,63;0,30;0,29
Passivos/Ativos;0,52;0,52;0,54;0,50;0,43;0,38;0,37;0,70;0,71
Liq. corrente;0,85;0,97;0,99;0,92;1,06;1,01;1,22;1,03;1,13
M. Bruta;24,81%;62,79%;61,39%;57,90%;55,73%;50,82%;57,78%;67,47%;51,50%
M. EBITDA;33,54%;44,56%;38,64%;27,25%;37,11%;35,43%;35,98%;39,57%;26,76%
M. EBIT;13,33%;24,77%;18,96%;7,51%;16,17%;12,63%;16,75%;22,51%;14,28%
M. Líquida;17,47%;15,54%;10,22%;1,24%;11,33%;7,87%;8,77%;13,43%;11,78%
ROE;6,37%;7,05%;4,29%;0,50%;3,77%;2,14%;1,55%;11,33%;12,34%
ROA;3,01%;3,35%;1,95%;0,25%;2,13%;1,32%;0,97%;3,42%;3,60%
ROIC;1,60%;5,66%;4,02%;1,39%;3,22%;2,33%;2,03%;6,93%;5,13%
Giro ativos;0,17;0,22;0,19;0,20;0,19;0,17;0,11;0,25;0,31
CAGR Receitas 5 anos;15,52%;23,46%;17,69%;24,08%;21,76%;13,97%;7,22%;12,52%;9,28%
CAGR Lucros 5 anos;29,53%;16,88%;-24,96%;28,87%;16,02%;11,91%;15,90%;20,01%;5,36%
