;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,13%;2,01%;2,72%;2,62%;1,70%;1,90%;1,80%;1,89%;1,14%
Div;9.97;11.51;10.49;8.99;6.5;5.01;4.14;3.16;2.9
P/L;16.71;13.15;15.78;10.68;6.03;10.61;10.31;6.3;26.08
PEG Ratio;0,45;-;-;-;-;-;-;-;-
P/VP;2,13;1,46;1,07;0,98;1,16;0,99;0,90;0,69;1,17
EV/EBITDA;32,74;6,73;5,67;3,79;6,89;13,49;-5,44;-8,60;-8,79
EV/EBIT;35,82;6,90;6,04;4,05;7,31;14,69;-6,31;-9,52;-9,70
P/EBITDA;10,58;1,89;1,60;3,08;3,68;4,06;6,63;4,50;7,82
P/EBIT;11,58;1,94;1,71;3,30;3,90;4,42;7,69;4,98;8,63
VPA;414,77;392,71;361,51;349,90;329,54;267,39;254,92;242,45;218,03
P/Ativo;0,15;0,11;0,08;0,08;0,09;0,08;0,08;0,07;0,10
LPA;52.81;43.54;24.45;32.14;63.41;24.85;22.3;26.51;9.77
P/SR;19,58;3,41;2,76;2,58;2,16;2,28;2,23;1,70;2,94
P/Cap. Giro;-;-;-;-;-;-;-0,52;-1,48;-2,16
P/Ativo Circ. Liq.;-0,15;-0,11;-0,08;-0,08;-0,09;-0,08;-0,18;-0,17;-0,28
Dív. líquida/PL;4,46;3,73;2,70;0,22;1,01;2,29;-1,64;-2,01;-2,48
Dív. líquida/EBITDA;22,16;4,84;4,06;0,70;3,21;9,44;-12,06;-13,10;-16,61
Dív. líquida/EBIT;24,24;4,96;4,33;0,75;3,41;10,27;-14,01;-14,50;-18,33
PL/Ativos;0,07;0,07;0,07;0,08;0,08;0,08;0,09;0,10;0,09
Passivos/Ativos;0,93;0,93;0,93;0,92;0,92;0,92;0,91;0,90;0,91
Liq. corrente;-;-;-;-;-;-;0,77;0,93;0,93
M. Bruta;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;91,10%;91,26%;91,21%
M. EBITDA;185,08%;180,45%;171,93%;83,51%;58,85%;56,24%;33,62%;37,71%;37,53%
M. EBIT;169,15%;175,86%;161,20%;78,01%;55,43%;51,65%;28,96%;34,09%;34,01%
M. Líquida;117,17%;25,93%;17,48%;24,11%;35,86%;21,50%;21,61%;26,93%;11,26%
ROE;12,73%;11,09%;6,76%;9,19%;19,24%;9,29%;8,75%;10,93%;4,48%
ROA;0,88%;0,81%;0,48%;0,75%;1,44%;0,77%;0,80%;1,06%;0,40%
ROIC;1,87%;9,33%;7,87%;4,40%;3,51%;2,75%;2,85%;3,33%;1,43%
Giro ativos;0,01;0,03;0,03;0,03;0,04;0,04;0,04;0,04;0,04
CAGR Receitas 5 anos;7,38%;4,31%;6,41%;13,88%;4,16%;1,14%;1,37%;-0,85%;1,34%
CAGR Lucros 5 anos;12,57%;-2,89%;25,03%;25,01%;11,18%;-0,45%;5,00%;-12,76%;23,07%
