;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,60%;2,50%;1,77%;1,22%;0,79%;1,67%;2,94%;2,71%;1,47%
Div;0.17;0.68;0.64;0.48;0.18;0.32;0.72;0.72;0.72
P/L;18.23;9.44;12.18;22.58;14.06;-5.67;-18.99;14.06;-92.1
PEG Ratio;-0,38;-;-;-;-;-;-;-;-
P/VP;2,34;2,25;3,42;4,47;3,05;3,36;2,68;2,45;5,12
EV/EBITDA;15,35;6,61;8,60;13,47;12,33;-;58,73;9,24;22,90
EV/EBIT;37,04;8,82;11,15;19,47;21,23;-7,44;-26,33;17,41;75,14
P/EBITDA;12,47;5,47;7,37;11,64;9,50;-;42,70;6,81;19,05
P/EBIT;30,09;7,30;9,56;16,82;16,37;-5,19;-19,14;12,84;62,52
VPA;12,12;12,10;10,56;8,81;7,49;5,63;9,13;10,87;9,54
P/Ativo;0,95;0,92;1,30;1,53;0,92;0,81;0,85;0,90;1,70
LPA;1.56;2.88;2.97;1.74;1.63;-3.33;-1.29;1.89;-0.53
P/SR;4,25;1,03;1,40;1,75;1,34;1,16;0,96;0,97;2,07
P/Cap. Giro;4,20;3,73;5,42;6,33;3,64;3,31;3,39;3,67;7,21
P/Ativo Circ. Liq.;-1,76;-1,79;-2,45;-2,89;-1,66;-1,49;-1,52;-1,57;-2,98
Dív. líquida/PL;0,54;0,47;0,57;0,70;0,91;1,46;1,01;0,87;1,03
Dív. líquida/EBITDA;2,88;1,14;1,23;1,83;2,82;-;16,02;2,43;3,84
Dív. líquida/EBIT;6,95;1,52;1,60;2,65;4,86;-2,26;-7,18;4,58;12,62
PL/Ativos;0,41;0,41;0,38;0,34;0,30;0,24;0,32;0,37;0,33
Passivos/Ativos;0,59;0,59;0,62;0,66;0,70;0,76;0,68;0,63;0,67
Liq. corrente;1,95;2,05;2,06;2,05;2,31;2,14;2,30;2,32;2,22
M. Bruta;18,29%;18,75%;18,94%;16,32%;13,18%;10,70%;10,20%;12,44%;11,04%
M. EBITDA;34,12%;18,80%;18,95%;15,03%;14,10%;-%;2,24%;14,25%;10,85%
M. EBIT;14,14%;14,10%;14,61%;10,40%;8,19%;-22,29%;-5,01%;7,56%;3,31%
M. Líquida;23,33%;10,90%;11,46%;7,74%;9,53%;-20,39%;-5,05%;6,90%;-2,25%
ROE;12,83%;23,81%;28,09%;19,78%;21,70%;-59,21%;-14,12%;17,39%;-5,56%
ROA;5,20%;9,77%;10,69%;6,76%;6,53%;-14,24%;-4,46%;6,37%;-1,85%
ROIC;1,02%;13,94%;15,63%;10,05%;6,54%;-23,63%;-6,16%;8,35%;-2,33%
Giro ativos;0,22;0,90;0,93;0,87;0,69;0,70;0,88;0,92;0,82
CAGR Receitas 5 anos;0,47%;-0,83%;-0,32%;-0,76%;-9,38%;-7,38%;-3,98%;-6,27%;-8,54%
CAGR Lucros 5 anos;-%;9,76%;-%;-%;-%;-%;-4,87%;-%;-%
