;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,56%;3,81%;4,87%;4,40%;3,92%;4,75%;3,85%;4,19%;2,40%
Div;0.62;0.62;0.62;0.62;0.6;0.6;0.58;0.5;0.35
P/L;12.99;13.13;10.14;9.58;19.23;17.92;11.65;9.56;14.18
PEG Ratio;0,35;-;-;-;-;-;-;-;-
P/VP;1,23;1,20;0,95;1,15;1,15;0,99;1,32;1,14;1,46
EV/EBITDA;-17,38;-8,44;-7,97;-7,23;-12,35;-12,46;-2,80;-4,45;-2,63
EV/EBIT;-30,63;-9,98;-9,86;-8,36;-15,30;-16,28;-3,32;-5,54;-3,29
P/EBITDA;16,88;5,87;4,43;5,68;10,94;8,21;6,36;5,08;7,65
P/EBIT;29,75;6,94;5,48;6,57;13,56;10,73;7,55;6,34;9,57
VPA;14,13;13,58;13,36;12,29;13,42;12,77;11,42;10,46;10,00
P/Ativo;0,13;0,12;0,10;0,11;0,13;0,10;0,14;0,12;0,15
LPA;1.34;1.24;1.25;1.47;0.8;0.7;1.29;1.25;1.03
P/SR;6,49;1,98;1,70;2,56;3,65;2,45;2,75;2,40;3,32
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,13;-0,12;-0,10;-0,11;-0,13;-0,10;-0,14;-0,12;-0,15
Dív. líquida/PL;-2,50;-2,92;-2,67;-2,61;-2,44;-2,49;-1,90;-2,14;-1,96
Dív. líquida/EBITDA;-34,27;-14,31;-12,40;-12,91;-23,29;-20,67;-9,16;-9,53;-10,28
Dív. líquida/EBIT;-60,38;-16,92;-15,34;-14,93;-28,86;-27,01;-10,88;-11,88;-12,86
PL/Ativos;0,11;0,10;0,10;0,10;0,11;0,11;0,11;0,10;0,10
Passivos/Ativos;0,89;0,90;0,90;0,90;0,89;0,89;0,89;0,90;0,90
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
M. EBITDA;38,45%;33,68%;38,41%;45,04%;33,32%;29,88%;43,29%;47,25%;43,42%
M. EBIT;21,82%;28,48%;31,04%;38,96%;26,89%;22,87%;36,46%;37,89%;34,70%
M. Líquida;49,96%;15,06%;16,77%;26,73%;18,96%;13,69%;23,64%;25,10%;23,42%
ROE;9,48%;9,12%;9,39%;11,98%;5,98%;5,52%;11,34%;11,92%;10,26%
ROA;1,00%;0,88%;0,96%;1,16%;0,66%;0,58%;1,23%;1,22%;1,07%
ROIC;1,93%;14,87%;14,77%;13,07%;6,83%;7,92%;12,60%;13,43%;9,05%
Giro ativos;0,02;0,06;0,06;0,04;0,03;0,04;0,05;0,05;0,05
CAGR Receitas 5 anos;16,16%;15,51%;10,90%;9,96%;10,68%;13,86%;12,90%;9,31%;5,09%
CAGR Lucros 5 anos;6,57%;6,97%;13,54%;12,71%;4,33%;18,63%;17,98%;14,63%;6,83%
