;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,15%;0,88%;0,89%;0,93%;0,75%;0,31%;1,08%;1,12%;-%
Div;0.7;2.64;2.41;2.23;1.93;0.51;1.6;1.39;
P/L;16.8;13.03;13.71;11.8;11.28;14.82;14.3;11.31;14.03
PEG Ratio;2,40;-;-;-;-;-;-;-;-
P/VP;-19,98;-30,02;-40,52;-24,05;-84,12;97,29;-17,85;-8,65;-4,57
EV/EBITDA;24,33;8,34;8,67;7,79;7,82;8,69;8,59;8,00;7,70
EV/EBIT;56,41;10,97;11,46;10,05;9,79;12,10;11,78;10,60;10,45
P/EBITDA;17,28;5,39;5,63;5,00;5,50;5,70;5,17;4,56;3,78
P/EBIT;40,06;7,09;7,45;6,45;6,89;7,93;7,09;6,04;5,12
VPA;-23,38;-10,00;-6,68;-9,98;-3,05;1,69;-8,28;-14,38;-19,22
P/Ativo;1,78;1,26;1,28;1,27;1,55;1,17;1,11;1,09;0,85
LPA;27.8;23.04;19.74;20.34;22.77;11.09;10.33;11.0;6.26
P/SR;1,43;1,06;1,11;1,11;1,34;1,08;0,98;0,92;0,71
P/Cap. Giro;-40,82;60,66;31,64;17,79;19,82;15,33;14,58;16,20;8,14
P/Ativo Circ. Liq.;-2,40;-1,74;-1,74;-1,72;-2,11;-1,58;-1,48;-1,48;-1,17
Dív. líquida/PL;-;-;-;-;-;51,07;-;-;-
Dív. líquida/EBITDA;7,05;2,95;3,03;2,79;2,32;2,99;3,41;3,44;3,93
Dív. líquida/EBIT;16,35;3,88;4,01;3,60;2,91;4,16;4,68;4,56;5,32
PL/Ativos;-0,09;-0,04;-0,03;-0,05;-0,02;0,01;-0,06;-0,13;-0,19
Passivos/Ativos;1,09;1,04;1,03;1,05;1,02;0,99;1,06;1,13;1,19
Liq. corrente;0,85;1,08;1,18;1,38;1,41;1,42;1,44;1,35;1,62
M. Bruta;20,83%;84,77%;84,76%;84,44%;83,86%;83,76%;83,48%;83,45%;83,23%
M. EBITDA;8,30%;19,73%;19,63%;22,11%;24,30%;18,95%;18,88%;20,14%;18,88%
M. EBIT;3,58%;14,99%;14,84%;17,14%;19,40%;13,61%;13,77%;15,19%;13,92%
M. Líquida;8,53%;8,16%;8,07%;9,37%;11,84%;7,28%;6,83%;8,11%;5,08%
ROE;-118,91%;-230,49%;-295,49%;-203,94%;-745,55%;656,29%;-124,82%;-76,51%;-32,56%
ROA;10,62%;9,68%;9,33%;10,76%;13,71%;7,90%;7,78%;9,66%;6,06%
ROIC;1,72%;21,51%;21,23%;24,28%;27,60%;18,91%;19,31%;22,04%;16,89%
Giro ativos;1,24;1,19;1,16;1,15;1,16;1,09;1,14;1,19;1,19
CAGR Receitas 5 anos;6,58%;6,84%;6,67%;7,21%;5,37%;6,82%;6,43%;5,73%;6,93%
CAGR Lucros 5 anos;10,45%;6,72%;20,56%;19,20%;12,01%;13,33%;19,47%;6,66%;3,23%
