;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,66%;2,31%;2,41%;2,41%;1,59%;2,26%;2,49%;2,40%;1,88%
Div;;;;7.61;6.6;6.0;5.43;4.12;3.56
P/L;;25.52;20.16;19.59;33.68;25.44;21.42;22.49;27.81
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;51,95;370,12;220,81;-189,81;131,36;-91,77;-126,85;133,48;51,08
EV/EBITDA;15.492,97;-;-;13,86;-;17,23;14,89;12,93;15,70
EV/EBIT;18.199,89;-;-;15,58;25,24;19,73;16,95;14,74;18,00
P/EBITDA;13.641,19;15,39;12,74;12,41;-;15,77;13,47;11,54;14,34
P/EBIT;16.024,56;17,67;14,32;13,95;23,71;18,05;15,34;13,15;16,44
VPA;6,67;-;-;-1,66;3,16;-2,89;-1,72;1,29;3,71
P/Ativo;3,59;5,05;4,51;4,48;6,14;5,58;5,41;4,36;5,15
LPA;0.01;;;16.12;12.32;10.44;10.19;7.64;6.81
P/SR;2.162,47;2,53;2,19;2,13;3,28;2,59;2,20;1,92;2,34
P/Cap. Giro;114,14;49,79;36,85;889,28;81,60;199,28;131,39;70,86;61,63
P/Ativo Circ. Liq.;-5,35;-8,26;-7,84;-7,52;-10,29;-9,10;-9,35;-7,58;-8,77
Dív. líquida/PL;7,05;-;-;-;8,47;-;-;16,12;4,86
Dív. líquida/EBITDA;1.851,78;-;-;1,45;-;1,46;1,42;1,39;1,36
Dív. líquida/EBIT;2.175,32;-;-;1,64;1,53;1,67;1,61;1,59;1,56
PL/Ativos;0,07;-;-;-0,02;0,05;-0,06;-0,04;0,03;0,10
Passivos/Ativos;0,93;-;-;1,02;0,95;1,06;1,04;0,97;0,90
Liq. corrente;1,11;-;-;1,01;1,23;1,08;1,11;1,17;1,25
M. Bruta;33,42%;-%;-%;33,63%;33,95%;34,09%;34,34%;34,05%;34,16%
M. EBITDA;15,85%;-%;-%;17,16%;-%;16,46%;16,34%;16,67%;16,32%
M. EBIT;13,49%;-%;-%;15,27%;13,84%;14,37%;14,35%;14,62%;14,23%
M. Líquida;9,28%;-%;-%;10,87%;9,74%;10,20%;10,28%;8,55%;8,41%
ROE;0,22%;-%;-%;-968,93%;390,00%;-360,78%;-592,17%;593,54%;183,64%
ROA;0,02%;-%;-%;22,86%;18,23%;21,94%;25,27%;19,38%;18,52%
ROIC;0,03%;-%;-%;46,31%;36,21%;48,41%;48,52%;34,01%;31,96%
Giro ativos;0,00;-;-;2,10;1,87;2,15;2,46;2,27;2,20
CAGR Receitas 5 anos;7,13%;-%;-%;8,34%;5,79%;6,54%;6,18%;6,09%;5,42%
CAGR Lucros 5 anos;6,37%;-%;-%;12,92%;12,12%;15,61%;13,73%;15,43%;15,99%
