;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,40%;2,78%;1,93%;2,07%;2,46%;2,48%;1,44%;1,59%;1,07%
Div;1.37;5.25;5.01;4.78;4.59;4.23;3.61;3.03;2.52
P/L;23.57;13.44;15.11;15.9;13.73;9.92;18.69;9.78;22.27
PEG Ratio;-1,25;-;-;-;-;-;-;-;-
P/VP;2,69;1,58;2,51;2,64;2,66;3,63;6,46;5,39;6,07
EV/EBITDA;32,63;9,18;9,50;9,81;10,02;6,86;11,67;7,46;10,44
EV/EBIT;99,97;13,23;12,98;14,18;14,26;8,74;15,24;8,96;12,99
P/EBITDA;27,70;6,95;7,94;7,75;7,38;5,86;10,44;6,61;9,91
P/EBIT;84,87;10,02;10,85;11,21;10,51;7,47;13,63;7,94;12,32
VPA;127,01;119,25;103,31;87,44;70,20;46,95;38,83;35,29;38,84
P/Ativo;1,09;0,61;0,92;0,85;0,70;0,85;1,46;1,28;1,67
LPA;14.5;14.06;17.19;14.51;13.6;17.19;13.42;19.46;10.58
P/SR;1,12;0,64;0,90;0,86;0,78;0,74;1,15;1,00;1,43
P/Cap. Giro;35,66;31,20;-67,68;-61,77;20,58;31,67;-97,72;-97,32;13,27
P/Ativo Circ. Liq.;-1,45;-0,83;-1,23;-1,13;-0,95;-1,21;-1,96;-1,76;-2,55
Dív. líquida/PL;0,48;0,51;0,49;0,70;0,95;0,62;0,76;0,69;0,33
Dív. líquida/EBITDA;4,93;2,23;1,56;2,05;2,64;1,00;1,23;0,84;0,54
Dív. líquida/EBIT;15,10;3,21;2,13;2,97;3,76;1,27;1,61;1,01;0,67
PL/Ativos;0,40;0,38;0,36;0,32;0,26;0,23;0,23;0,24;0,28
Passivos/Ativos;0,60;0,62;0,64;0,68;0,74;0,77;0,77;0,76;0,72
Liq. corrente;1,14;1,08;0,95;0,95;1,15;1,10;0,94;0,95;1,58
M. Bruta;2,67%;12,57%;14,37%;13,49%;14,36%;17,84%;17,20%;21,91%;21,88%
M. EBITDA;4,03%;9,22%;11,31%;11,12%;10,63%;12,58%;11,05%;15,12%;14,47%
M. EBIT;1,32%;6,40%;8,28%;7,69%;7,47%;9,87%;8,46%;12,59%;11,64%
M. Líquida;4,74%;4,77%;5,95%;5,42%;5,71%;7,44%;6,17%;10,23%;6,44%
ROE;11,42%;11,79%;16,64%;16,60%;19,37%;36,61%;34,57%;55,15%;27,25%
ROA;4,62%;4,53%;6,07%;5,33%;5,12%;8,53%;7,81%;13,10%;7,51%
ROIC;0,22%;8,20%;11,87%;10,65%;10,37%;22,58%;21,54%;31,94%;18,87%
Giro ativos;0,98;0,95;1,02;0,98;0,90;1,15;1,27;1,28;1,17
CAGR Receitas 5 anos;5,33%;6,98%;7,49%;6,15%;5,92%;5,05%;3,69%;2,10%;1,46%
CAGR Lucros 5 anos;0,04%;-4,02%;3,86%;-1,03%;11,49%;10,19%;26,22%;26,82%;-%
