;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,05%;0,24%;0,33%;0,36%;-%;0,13%;0,54%;0,84%;0,75%
Div;0.14;0.59;0.6;0.46;;0.14;0.6;0.6;0.6
P/L;40.32;38.93;40.45;26.97;106.18;-43.17;35.52;27.87;23.57
PEG Ratio;0,97;-;-;-;-;-;-;-;-
P/VP;-13,61;-16,04;-19,56;-30,71;-53,03;-20,72;-64,93;38,65;15,14
EV/EBITDA;105,78;27,11;23,06;17,47;42,57;-322,82;18,87;15,46;21,39
EV/EBIT;157,48;29,57;25,27;19,22;53,07;-76,95;23,32;19,39;28,52
P/EBITDA;91,45;23,30;19,54;14,31;36,49;-261,60;15,27;11,72;17,36
P/EBIT;136,16;25,41;21,41;15,75;45,49;-62,36;18,88;14,70;23,14
VPA;-21,22;-15,41;-9,31;-4,11;-2,94;-5,37;-1,71;1,86;5,28
P/Ativo;4,03;3,62;3,00;2,18;2,82;1,84;2,09;1,52;1,80
LPA;7.16;6.35;4.5;4.69;1.47;-2.58;3.12;2.58;3.39
P/SR;5,72;5,35;4,51;3,86;7,52;7,17;3,31;2,39;3,14
P/Cap. Giro;-42,51;-41,85;-41,66;-67,42;-294,16;17,43;-40,22;-33,69;-56,16
P/Ativo Circ. Liq.;-4,96;-4,51;-3,61;-2,68;-3,46;-2,46;-2,43;-1,77;-2,09
Dív. líquida/PL;-;-;-;-;-;-;-;12,34;3,51
Dív. líquida/EBITDA;14,32;3,81;3,52;3,15;6,08;-61,22;3,59;3,74;4,03
Dív. líquida/EBIT;21,32;4,16;3,86;3,47;7,58;-14,59;4,44;4,69;5,37
PL/Ativos;-0,30;-0,23;-0,15;-0,07;-0,05;-0,09;-0,03;0,04;0,12
Passivos/Ativos;1,30;1,22;1,15;1,07;1,05;1,09;1,03;0,96;0,88
Liq. corrente;0,66;0,70;0,70;0,85;0,95;1,73;0,73;0,76;0,82
M. Bruta;65,22%;89,92%;88,85%;88,61%;88,27%;85,60%;86,73%;85,04%;84,39%
M. EBITDA;6,25%;22,96%;23,08%;26,96%;20,61%;-2,74%;21,68%;20,40%;18,10%
M. EBIT;4,20%;21,05%;21,06%;24,50%;16,53%;-11,49%;17,54%;16,27%;13,58%
M. Líquida;14,19%;13,74%;11,15%;14,31%;7,08%;-16,60%;9,32%;8,58%;13,33%
ROE;-33,76%;-41,19%;-48,35%;-113,88%;-49,94%;-47,99%;-182,78%;138,66%;64,22%
ROA;10,01%;9,29%;7,41%;8,09%;2,66%;-4,27%;5,89%;5,46%;7,62%
ROIC;2,71%;28,39%;23,62%;21,87%;10,12%;-7,77%;17,31%;14,55%;9,26%
Giro ativos;0,71;0,68;0,66;0,57;0,37;0,26;0,63;0,64;0,57
CAGR Receitas 5 anos;3,40%;2,82%;1,53%;-2,52%;-9,60%;-2,08%;-1,76%;-2,60%;-5,62%
CAGR Lucros 5 anos;11,74%;8,35%;2,97%;3,94%;-%;5,53%;12,98%;25,23%;5,96%
