;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;29.37;20.6;36.75;14.17;10.3;16.78;-67.92;-106.8;15.6
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;3,29;3,17;3,34;3,78;4,57;6,92;6,54;4,89;4,23
EV/EBITDA;15,42;12,71;15,19;8,97;7,40;14,10;47,24;57,53;7,39
EV/EBIT;21,21;16,69;21,43;11,26;8,62;18,84;-129,47;-58,62;9,81
P/EBITDA;15,13;12,54;15,09;8,73;6,74;12,53;40,75;49,04;6,48
P/EBIT;20,81;16,47;21,29;10,96;7,86;16,74;-111,69;-49,96;8,60
VPA;22,65;22,74;21,39;19,78;16,75;10,53;7,99;8,40;10,10
P/Ativo;1,84;1,78;1,83;2,03;2,16;2,60;2,15;1,64;1,48
LPA;2.54;3.5;1.94;5.28;7.43;4.34;-0.77;-0.38;2.74
P/SR;4,05;4,03;4,16;3,79;3,42;4,96;4,11;3,69;3,85
P/Cap. Giro;6,17;5,84;5,63;6,31;10,47;19,04;19,13;37,08;-30,46
P/Ativo Circ. Liq.;-3,11;-3,05;-3,38;-3,54;-3,35;-3,76;-2,97;-2,16;-1,81
Dív. líquida/PL;0,06;0,04;0,02;0,10;0,45;0,87;1,04;0,85;0,59
Dív. líquida/EBITDA;0,29;0,17;0,10;0,24;0,66;1,58;6,49;8,49;0,91
Dív. líquida/EBIT;0,40;0,22;0,14;0,30;0,77;2,11;-17,78;-8,65;1,21
PL/Ativos;0,56;0,56;0,55;0,54;0,47;0,38;0,33;0,34;0,35
Passivos/Ativos;0,44;0,44;0,45;0,46;0,53;0,62;0,67;0,66;0,65
Liq. corrente;3,75;3,69;3,47;4,12;2,39;1,79;1,68;1,23;0,79
M. Bruta;51,65%;55,28%;51,40%;61,64%;67,39%;58,98%;34,77%;52,73%;52,99%
M. EBITDA;26,78%;32,16%;27,56%;43,46%;50,81%;39,57%;10,08%;7,53%;59,48%
M. EBIT;19,47%;24,49%;19,53%;34,62%;43,58%;29,62%;-3,68%;-7,39%;44,80%
M. Líquida;13,80%;19,59%;11,31%;26,77%;33,23%;29,53%;-6,05%;-3,46%;24,70%
ROE;11,21%;15,39%;9,09%;26,70%;44,36%;41,22%;-9,62%;-4,58%;27,13%
ROA;6,28%;8,62%;4,99%;14,35%;20,98%;15,50%;-3,16%;-1,54%;9,47%
ROIC;9,02%;11,87%;7,22%;18,10%;27,00%;17,52%;-3,62%;-10,58%;17,98%
Giro ativos;0,45;0,44;0,44;0,54;0,63;0,52;0,52;0,45;0,38
CAGR Receitas 5 anos;3,66%;4,61%;9,72%;14,74%;6,90%;5,88%;5,24%;8,84%;9,62%
CAGR Lucros 5 anos;-%;-%;11,50%;41,42%;53,33%;-%;-%;-%;16,05%
