;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,33%;2,04%;2,64%;2,33%;1,81%;1,71%;1,90%;3,71%;1,80%
Div;4.58;4.37;5.25;4.99;3.77;3.64;3.36;4.9;2.74
P/L;20.36;24.39;22.9;28.81;25.76;31.23;20.59;14.46;74.64
PEG Ratio;2,59;-;-;-;-;-;-;-;-
P/VP;7,44;7,47;8,17;8,57;7,69;8,50;6,84;5,38;6,99
EV/EBITDA;47,95;18,64;17,03;20,11;17,84;22,30;15,27;11,99;15,17
EV/EBIT;96,16;22,08;19,82;23,91;20,85;26,02;17,47;13,77;17,61
P/EBITDA;40,31;16,28;15,55;18,87;16,88;21,28;14,63;11,37;14,30
P/EBIT;80,82;19,29;18,10;22,43;19,74;24,83;16,73;13,06;16,59
VPA;26,43;28,65;24,33;25,01;27,12;25,01;25,88;24,56;21,80
P/Ativo;1,54;1,85;2,11;2,30;2,21;2,31;2,16;1,69;1,94
LPA;9.65;8.78;8.68;7.44;8.09;6.81;8.6;9.14;2.04
P/SR;3,07;3,61;3,53;4,03;4,15;4,57;3,45;2,34;2,84
P/Cap. Giro;15,39;20,92;26,11;28,36;24,35;16,62;20,38;17,99;16,15
P/Ativo Circ. Liq.;-2,49;-2,94;-3,41;-3,84;-3,65;-4,10;-3,68;-2,93;-3,45
Dív. líquida/PL;1,41;1,08;0,78;0,57;0,43;0,41;0,30;0,29;0,43
Dív. líquida/EBITDA;7,65;2,36;1,48;1,25;0,95;1,02;0,65;0,62;0,88
Dív. líquida/EBIT;15,34;2,79;1,72;1,48;1,12;1,19;0,74;0,71;1,02
PL/Ativos;0,21;0,25;0,26;0,27;0,29;0,27;0,32;0,31;0,28
Passivos/Ativos;0,79;0,75;0,74;0,73;0,71;0,73;0,68;0,69;0,72
Liq. corrente;1,36;1,31;1,27;1,25;1,30;1,47;1,34;1,29;1,38
M. Bruta;9,02%;38,09%;37,28%;36,99%;31,98%;32,07%;33,70%;30,52%;30,57%
M. EBITDA;7,61%;22,20%;22,73%;21,38%;24,59%;21,49%;23,56%;20,58%;19,90%
M. EBIT;3,80%;18,74%;19,53%;17,99%;21,04%;18,42%;20,59%;17,91%;17,15%
M. Líquida;15,07%;14,82%;15,43%;14,00%;16,11%;14,64%;16,73%;16,18%;3,81%
ROE;36,52%;30,64%;35,68%;29,74%;29,85%;27,23%;33,22%;37,21%;9,36%
ROA;7,57%;7,59%;9,20%;7,97%;8,60%;7,40%;10,47%;11,71%;2,60%
ROIC;0,39%;11,55%;15,63%;13,70%;14,70%;12,18%;18,06%;19,85%;4,62%
Giro ativos;0,50;0,51;0,60;0,57;0,53;0,51;0,63;0,72;0,68
CAGR Receitas 5 anos;0,96%;-2,59%;-2,64%;-2,63%;-3,29%;-1,85%;1,37%;1,48%;1,47%
CAGR Lucros 5 anos;-1,47%;-3,51%;26,30%;2,87%;0,05%;7,70%;11,51%;-11,99%;18,41%
