;2025;2024;2023;2022;2021;2020;2019
D.Y;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;
P/L;46.68;23.36;-20.54;-7.07;-4.16;;
PEG Ratio;0,15;-;-;-;-;-;-
P/VP;11,96;4,13;1,66;1,04;2,10;-;-
EV/EBITDA;139,43;20,95;-3,96;2,14;-1,39;-266,35;30,20
EV/EBIT;160,67;22,46;-3,43;2,01;-1,38;-458,44;28,66
P/EBITDA;159,29;28,88;-24,05;-7,52;-4,19;-;-
P/EBIT;183,56;30,97;-20,85;-7,08;-4,16;-;-
VPA;9,53;9,01;7,68;7,79;8,44;-;-
P/Ativo;2,47;1,26;0,63;0,31;0,78;-;-
LPA;2.44;1.6;-0.62;-1.15;-4.27;;
P/SR;24,36;11,17;5,96;5,35;8,45;-;-
P/Cap. Giro;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-2,47;-1,26;-0,63;-0,31;-0,78;-;-
Dív. líquida/PL;-1,49;-1,14;-1,39;-1,34;-1,41;-;-
Dív. líquida/EBITDA;-19,87;-7,94;20,09;9,66;2,81;-266,35;30,20
Dív. líquida/EBIT;-22,89;-8,51;17,42;9,09;2,79;-458,44;28,66
PL/Ativos;0,21;0,30;0,38;0,30;0,37;-0,01;-0,02
Passivos/Ativos;0,79;0,70;0,62;0,70;0,63;1,01;1,02
Liq. corrente;-;-;-;-;-;1,23;1,25
M. Bruta;24,12%;100,00%;100,00%;100,00%;100,00%;88,41%;83,62%
M. EBITDA;15,29%;38,66%;-24,77%;-71,13%;-201,58%;2,47%;-36,57%
M. EBIT;13,27%;36,06%;-28,58%;-75,63%;-202,98%;1,44%;-38,53%
M. Líquida;52,19%;47,81%;-29,01%;-75,70%;-203,09%;0,30%;-38,40%
ROE;25,61%;17,70%;-8,08%;-14,78%;-50,55%;-5,15%;-109,81%
ROA;5,29%;5,39%;-3,07%;-4,41%;-18,65%;0,03%;-2,70%
ROIC;4,31%;8,99%;-8,08%;-14,78%;-50,55%;-13,37%;111,23%
Giro ativos;0,10;0,11;0,11;0,06;0,09;0,09;0,07
CAGR Receitas 5 anos;60,45%;-%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%
