;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;13.06;22.03;23.52;19.57;16.84;23.64;14.09;17.33;20.94
PEG Ratio;-3,72;-;-;-;-;-;-;-;-
P/VP;2,11;-;-;3,05;3,10;2,85;2,70;2,62;3,01
EV/EBITDA;-;9,24;10,99;11,83;10,67;13,52;11,41;13,72;11,50
EV/EBIT;15,76;13,84;15,91;15,11;13,27;18,15;14,35;17,00;13,80
P/EBITDA;-;9,24;10,99;10,77;9,96;13,13;10,84;12,48;10,59
P/EBIT;14,45;13,84;15,91;13,76;12,39;17,64;13,63;15,46;12,70
VPA;36,06;-;-;26,15;24,97;23,45;24,74;23,23;18,00
P/Ativo;1,05;-;-;1,22;1,25;1,23;1,37;1,09;1,08
LPA;5.84;3.14;3.22;4.08;4.6;2.83;4.73;3.52;2.59
P/SR;0,92;677,94;793,04;0,83;0,86;0,94;0,98;0,99;0,96
P/Cap. Giro;4,95;-;-;5,97;6,92;6,33;8,24;9,71;6,77
P/Ativo Circ. Liq.;-1,96;-;-;-2,28;-2,29;-2,40;-2,49;-2,15;-2,25
Dív. líquida/PL;0,19;-;-;0,30;0,22;0,08;0,14;0,26;0,26
Dív. líquida/EBITDA;-;-;-;1,06;0,71;0,38;0,57;1,24;0,91
Dív. líquida/EBIT;1,31;-;-;1,35;0,88;0,51;0,72;1,54;1,09
PL/Ativos;0,50;-;-;0,40;0,40;0,43;0,51;0,42;0,36
Passivos/Ativos;0,50;-;-;0,53;0,52;0,53;0,49;0,58;0,64
Liq. corrente;1,84;-;-;1,79;1,67;1,66;1,58;1,30;1,44
M. Bruta;31,21%;31,69%;31,28%;30,29%;29,61%;27,81%;30,95%;30,91%;30,92%
M. EBITDA;-%;7.338,44%;7.212,90%;7,73%;8,61%;7,18%;9,04%;7,90%;9,05%
M. EBIT;6,36%;4.900,18%;4.984,20%;6,05%;6,92%;5,35%;7,19%;6,38%;7,54%
M. Líquida;7,04%;3.077,41%;3.371,42%;4,25%;5,09%;3,99%;6,96%;5,69%;4,57%
ROE;16,18%;-%;-%;15,61%;18,43%;12,06%;19,14%;15,13%;14,39%
ROA;8,05%;-%;-%;6,25%;7,44%;5,20%;9,72%;6,30%;5,17%
ROIC;7,70%;-%;-%;12,95%;15,38%;11,02%;13,14%;10,91%;9,67%
Giro ativos;1,14;-;-;1,47;1,46;1,30;1,40;1,11;1,13
CAGR Receitas 5 anos;-73,65%;-73,49%;7,32%;1,39%;-0,98%;-0,75%;-0,30%;-0,13%;6,29%
CAGR Lucros 5 anos;-10,91%;-4,94%;5,78%;4,49%;-3,36%;8,31%;4,43%;0,92%;6,63%
