;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;1,19%;1,39%;1,82%;1,92%;2,37%;2,32%;3,17%;2,12%
Div;;4.98;4.57;4.27;4.0;3.72;3.43;3.15;2.87
P/L;27.5;28.95;23.26;23.08;28.42;24.21;20.05;15.09;30.46
PEG Ratio;-0,44;-;-;-;-;-;-;-;-
P/VP;6,46;6,89;6,14;5,34;5,09;4,11;4,13;3,05;4,53
EV/EBITDA;55,02;18,39;16,64;15,89;18,86;14,63;12,71;10,22;13,77
EV/EBIT;97,14;22,00;19,08;19,23;24,33;19,12;15,96;13,03;16,54
P/EBITDA;52,14;17,44;15,11;14,73;17,12;12,67;10,85;7,90;12,63
P/EBIT;92,05;20,87;17,33;17,83;22,09;16,55;13,63;10,08;15,17
VPA;69,27;60,79;53,54;43,97;40,90;38,17;35,80;32,55;29,87
P/Ativo;3,16;3,37;2,56;2,33;2,15;1,67;1,64;1,12;1,99
LPA;16.28;14.47;14.14;10.17;7.33;6.48;7.37;6.58;4.44
P/SR;4,18;4,00;3,29;2,55;2,71;2,03;1,75;1,21;2,02
P/Cap. Giro;32,34;27,63;20,95;13,51;13,95;13,30;11,02;6,76;8,24
P/Ativo Circ. Liq.;-5,02;-4,91;-3,72;-3,73;-3,34;-2,43;-2,42;-1,68;-3,50
Dív. líquida/PL;0,36;0,37;0,62;0,42;0,52;0,64;0,71;0,90;0,41
Dív. líquida/EBITDA;2,88;0,95;1,53;1,16;1,73;1,97;1,86;2,32;1,14
Dív. líquida/EBIT;5,09;1,13;1,76;1,40;2,24;2,57;2,33;2,96;1,36
PL/Ativos;0,49;0,49;0,42;0,44;0,42;0,41;0,40;0,37;0,44
Passivos/Ativos;0,51;0,51;0,58;0,56;0,58;0,59;0,60;0,63;0,56
Liq. corrente;1,36;1,64;1,64;1,86;1,76;1,67;1,86;1,96;2,27
M. Bruta;35,14%;33,83%;35,14%;29,74%;27,46%;28,89%;29,46%;29,02%;31,48%
M. EBITDA;8,03%;22,94%;21,77%;17,28%;15,81%;16,04%;16,14%;15,35%;15,98%
M. EBIT;4,55%;19,17%;18,98%;14,28%;12,26%;12,27%;12,85%;12,04%;13,30%
M. Líquida;15,22%;13,82%;14,14%;11,03%;9,53%;8,39%;8,73%;8,04%;6,63%
ROE;23,51%;23,80%;26,41%;23,12%;17,92%;16,97%;20,59%;20,23%;14,88%
ROA;11,50%;11,65%;10,99%;10,10%;7,56%;6,91%;8,18%;7,39%;6,53%
ROIC;0,69%;17,73%;16,00%;14,89%;11,59%;11,37%;13,55%;12,27%;10,96%
Giro ativos;0,76;0,84;0,78;0,92;0,79;0,82;0,94;0,92;0,99
CAGR Receitas 5 anos;4,16%;3,69%;6,16%;3,65%;4,31%;6,45%;7,08%;3,80%;4,07%
CAGR Lucros 5 anos;14,17%;16,10%;17,56%;6,40%;4,89%;4,33%;2,05%;-4,04%;1,88%
