;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,68%;1,40%;0,77%;0,62%;0,60%;0,61%;0,60%;0,70%;0,76%
Div;1.76;3.55;3.52;3.17;2.78;2.5;2.2;2.01;1.88
P/L;24.11;25.36;22.48;22.81;20.37;16.13;17.93;23.35;14.14
PEG Ratio;-4,82;-;-;-;-;-;-;-;-
P/VP;1,68;1,87;3,44;4,18;3,72;3,96;4,03;3,87;3,52
EV/EBITDA;224,73;12,27;13,50;15,05;16,19;10,40;11,95;15,95;7,54
EV/EBIT;-55,38;17,26;16,70;18,26;19,33;11,71;13,81;19,68;8,40
P/EBITDA;180,97;9,14;11,67;13,30;13,60;9,87;11,36;13,96;7,29
P/EBIT;-44,59;12,86;14,44;16,13;16,24;11,12;13,13;17,23;8,12
VPA;154,00;135,73;133,05;122,51;124,84;103,73;90,90;74,07;70,51
P/Ativo;0,63;0,66;1,19;1,49;1,35;1,55;1,67;1,55;1,27
LPA;10.73;10.0;20.36;22.45;22.77;25.44;20.44;12.27;17.54
P/SR;0,25;0,26;0,53;0,69;0,72;0,70;0,75;0,69;0,64
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,63;-0,66;-1,19;-1,49;-1,35;-1,55;-1,67;-1,55;-1,27
Dív. líquida/PL;0,41;0,64;0,54;0,55;0,71;0,21;0,21;0,55;0,12
Dív. líquida/EBITDA;43,76;3,13;1,83;1,76;2,59;0,53;0,59;1,99;0,25
Dív. líquida/EBIT;-10,78;4,40;2,26;2,13;3,09;0,60;0,69;2,45;0,27
PL/Ativos;0,37;0,35;0,35;0,36;0,36;0,39;0,41;0,40;0,36
Passivos/Ativos;0,63;0,65;0,65;0,64;0,64;0,61;0,59;0,60;0,64
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;3,03%;14,52%;16,90%;18,50%;16,69%;20,12%;17,00%;19,38%;19,10%
M. EBITDA;0,14%;2,84%;4,51%;5,18%;5,29%;7,13%;6,59%;4,95%;8,83%
M. EBIT;-0,55%;2,02%;3,64%;4,27%;4,43%;6,33%;5,70%;4,01%;7,93%
M. Líquida;1,02%;1,02%;2,34%;3,02%;3,53%;4,36%;4,17%;2,96%;4,55%
ROE;6,97%;7,37%;15,31%;18,33%;18,24%;24,53%;22,49%;16,56%;24,87%
ROA;2,60%;2,60%;5,29%;6,52%;6,61%;9,63%;9,31%;6,62%;9,01%
ROIC;-3,12%;6,77%;10,23%;11,12%;10,36%;16,78%;15,76%;10,44%;17,87%
Giro ativos;2,54;2,53;2,26;2,16;1,87;2,21;2,23;2,24;1,98
CAGR Receitas 5 anos;12,66%;13,33%;11,55%;8,84%;7,28%;5,99%;6,62%;6,56%;8,10%
CAGR Lucros 5 anos;-14,92%;8,14%;2,77%;36,72%;21,42%;18,74%;6,45%;14,91%;-15,43%
