;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,13%;1,92%;1,93%;0,55%;0,50%;0,66%;0,86%;0,72%;0,68%
Div;0.73;0.85;0.4;0.4;0.4;0.4;0.4;0.4;0.4
P/L;31.42;25.48;14.79;19.59;25.32;28.36;22.22;24.79;55.68
PEG Ratio;1,00;-;-;-;-;-;-;-;-
P/VP;5,64;4,50;2,48;2,61;3,26;2,83;2,46;3,27;3,88
EV/EBITDA;-32,64;-6,94;-9,79;-19,02;-17,73;-27,33;-14,96;-13,49;-14,19
EV/EBIT;-34,07;-7,03;-9,93;-19,55;-18,38;-28,45;-15,40;-13,70;-14,47
P/EBITDA;13,17;2,41;1,34;2,40;3,74;3,50;1,93;2,49;3,26
P/EBIT;13,75;2,44;1,36;2,47;3,88;3,65;1,99;2,53;3,32
VPA;11,46;9,83;8,37;27,68;24,39;21,49;18,92;17,07;15,25
P/Ativo;0,14;0,13;0,07;0,06;0,07;0,06;0,05;0,07;0,07
LPA;2.06;1.73;1.4;3.69;3.14;2.15;2.1;2.25;1.06
P/SR;9,12;3,71;2,04;2,43;2,87;2,49;1,85;2,20;2,49
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,14;-0,13;-0,07;-0,06;-0,07;-0,06;-0,05;-0,07;-0,07
Dív. líquida/PL;-19,63;-17,44;-20,50;-23,31;-18,69;-24,96;-21,55;-21,00;-20,80
Dív. líquida/EBITDA;-45,81;-9,35;-11,13;-21,42;-21,47;-30,84;-16,90;-15,98;-17,45
Dív. líquida/EBIT;-47,82;-9,46;-11,29;-22,01;-22,26;-32,10;-17,38;-16,23;-17,79
PL/Ativos;0,03;0,03;0,03;0,02;0,02;0,02;0,02;0,02;0,02
Passivos/Ativos;0,97;0,97;0,97;0,98;0,98;0,98;0,98;0,98;0,98
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;43,89%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%
M. EBITDA;69,24%;153,94%;152,05%;101,08%;76,82%;71,19%;95,61%;88,54%;76,32%
M. EBIT;66,33%;152,09%;149,88%;98,34%;74,10%;68,39%;92,93%;87,18%;74,85%
M. Líquida;29,02%;14,56%;13,82%;12,39%;11,35%;8,79%;8,31%;8,88%;4,47%
ROE;17,96%;17,64%;16,74%;13,34%;12,86%;9,99%;11,09%;13,18%;6,97%
ROA;0,46%;0,50%;0,47%;0,33%;0,28%;0,20%;0,22%;0,28%;0,12%
ROIC;28,45%;176,94%;173,51%;99,79%;76,80%;69,60%;51,29%;122,25%;42,05%
Giro ativos;0,02;0,03;0,03;0,03;0,02;0,02;0,03;0,03;0,03
CAGR Receitas 5 anos;21,77%;17,93%;12,50%;14,22%;13,28%;13,18%;12,08%;8,53%;0,55%
CAGR Lucros 5 anos;36,21%;28,84%;37,97%;29,67%;31,82%;29,04%;35,50%;12,71%;6,62%
