;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,26%;3,03%;5,07%;4,68%;9,17%;5,34%;4,96%;5,46%;3,85%
Div;6.71;6.66;8.29;6.6;12.25;6.5;6.43;6.21;5.9
P/L;35.07;33.81;19.95;77.89;20.9;19.42;12.18;11.84;24.69
PEG Ratio;1,49;-;-;-;-;-;-;-;-
P/VP;9,94;7,46;6,64;5,82;6,35;5,27;5,51;6,15;8,07
EV/EBITDA;38,00;20,02;13,12;23,66;13,23;12,35;9,61;8,27;10,63
EV/EBIT;87,28;32,47;18,72;71,57;27,40;26,30;14,66;11,35;14,65
P/EBITDA;32,37;16,72;10,19;17,79;9,67;8,60;6,54;6,24;8,58
P/EBIT;74,35;27,12;14,53;53,82;20,03;18,32;9,98;8,56;11,82
VPA;29,85;29,48;24,63;24,22;21,05;23,12;23,53;18,48;19,00
P/Ativo;1,90;1,48;1,11;1,00;0,91;0,70;0,76;0,84;1,13
LPA;8.46;6.5;8.2;1.81;6.39;6.27;10.65;9.6;6.21
P/SR;4,24;3,24;2,42;2,11;2,09;1,47;1,49;1,30;1,79
P/Cap. Giro;-115,45;151,96;-123,27;-53,48;-29,42;-154,21;159,81;9,46;11,48
P/Ativo Circ. Liq.;-2,44;-1,98;-1,46;-1,30;-1,17;-0,93;-1,01;-1,39;-1,88
Dív. líquida/PL;1,73;1,47;1,91;1,92;2,34;2,29;2,59;2,00;1,93
Dív. líquida/EBITDA;5,63;3,30;2,93;5,87;3,56;3,75;3,07;2,03;2,05
Dív. líquida/EBIT;12,93;5,35;4,18;17,75;7,37;7,98;4,68;2,78;2,83
PL/Ativos;0,19;0,20;0,17;0,17;0,14;0,13;0,14;0,14;0,14
Passivos/Ativos;0,81;0,80;0,83;0,83;0,86;0,87;0,86;0,86;0,86
Liq. corrente;0,93;1,04;0,96;0,92;0,88;0,98;1,02;1,29;1,33
M. Bruta;57,81%;56,65%;55,45%;54,00%;54,90%;48,32%;47,30%;46,41%;46,68%
M. EBITDA;13,10%;19,40%;23,75%;11,85%;21,64%;17,14%;22,77%;20,79%;20,92%
M. EBIT;5,70%;11,97%;16,65%;3,92%;10,45%;8,05%;14,92%;15,16%;15,18%
M. Líquida;12,09%;9,60%;12,13%;2,71%;10,01%;7,59%;12,22%;10,97%;7,27%
ROE;28,34%;22,06%;33,29%;7,47%;30,38%;27,14%;45,25%;51,96%;32,70%
ROA;5,40%;4,39%;5,55%;1,29%;4,35%;3,58%;6,20%;7,07%;4,59%
ROIC;2,37%;8,86%;11,53%;2,40%;8,31%;6,16%;12,87%;15,09%;9,89%
Giro ativos;0,45;0,46;0,46;0,48;0,43;0,47;0,51;0,65;0,63
CAGR Receitas 5 anos;-4,05%;-4,92%;-5,22%;-6,42%;-2,07%;-3,63%;-4,15%;-5,11%;-5,65%
CAGR Lucros 5 anos;-8,58%;-2,98%;-22,21%;-13,52%;-15,78%;-4,74%;-11,94%;-19,10%;-5,62%
