;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;16.4;409.64;23.57;52.52;17.11;-64.42;42.09;123.59;-63.83
PEG Ratio;-0,16;-;-;-;-;-;-;-;-
P/VP;4,19;3,88;2,71;4,09;4,30;7,29;7,24;7,03;12,26
EV/EBITDA;40,87;27,54;11,38;24,49;22,08;-96,96;30,82;70,47;-74,41
EV/EBIT;52,84;35,25;12,50;27,62;24,31;-75,12;34,26;103,62;-61,70
P/EBITDA;48,00;32,73;15,32;29,84;25,75;-106,87;34,63;78,74;-78,94
P/EBIT;62,06;41,89;16,83;33,64;28,35;-82,80;38,49;115,77;-65,45
VPA;23,69;17,82;23,14;19,62;17,05;11,92;12,06;9,05;7,73
P/Ativo;3,08;2,45;2,08;3,06;3,29;5,35;5,49;5,11;8,68
LPA;6.05;0.17;2.66;1.53;4.29;-1.35;2.07;0.51;-1.48
P/SR;4,05;3,15;3,81;5,27;5,43;7,14;8,71;7,19;13,01
P/Cap. Giro;6,63;8,37;4,14;6,09;7,17;11,02;9,56;9,62;17,70
P/Ativo Circ. Liq.;-9,50;-6,06;-6,59;-10,23;-8,94;-15,86;-19,90;-16,63;-25,06
Dív. líquida/PL;-0,62;-0,61;-0,70;-0,73;-0,61;-0,68;-0,80;-0,74;-0,70
Dív. líquida/EBITDA;-7,13;-5,19;-3,94;-5,35;-3,67;9,91;-3,80;-8,27;4,52
Dív. líquida/EBIT;-9,21;-6,65;-4,33;-6,03;-4,04;7,68;-4,23;-12,16;3,75
PL/Ativos;0,73;0,63;0,77;0,75;0,76;0,73;0,76;0,73;0,71
Passivos/Ativos;0,27;0,37;0,23;0,25;0,24;0,27;0,24;0,27;0,29
Liq. corrente;3,20;1,97;3,75;3,54;3,65;3,74;4,83;4,31;4,01
M. Bruta;22,65%;92,64%;93,10%;93,90%;94,94%;95,08%;94,71%;95,00%;94,83%
M. EBITDA;8,44%;9,62%;24,88%;17,66%;21,10%;-6,68%;25,16%;9,13%;-16,48%
M. EBIT;6,53%;7,52%;22,64%;15,67%;19,17%;-8,63%;22,64%;6,21%;-19,88%
M. Líquida;24,69%;0,77%;16,17%;10,04%;31,76%;-11,09%;20,70%;5,82%;-20,38%
ROE;25,55%;0,95%;11,51%;7,80%;25,16%;-11,32%;17,20%;5,69%;-19,20%
ROA;18,78%;0,60%;8,81%;5,83%;19,23%;-8,30%;13,04%;4,14%;-13,60%
ROIC;-1,82%;1,00%;11,49%;7,80%;5,11%;-11,09%;16,94%;5,71%;-18,51%
Giro ativos;0,76;0,78;0,54;0,58;0,61;0,75;0,63;0,71;0,67
CAGR Receitas 5 anos;14,46%;14,45%;17,18%;21,98%;28,75%;33,37%;39,60%;38,91%;63,56%
CAGR Lucros 5 anos;-40,76%;40,41%;-%;55,53%;-%;-%;-%;-%;-%
